node,layer,lat,lon,degree,geometry
44678,4,57.14369,-2.09869,69,"-2.09869, 57.14369"
84542,4,56.96328,-2.20922,14,"-2.20922, 56.96328"
87129,4,57.14639,-2.09909,11,"-2.09909, 57.14639"
87133,4,57.14642,-2.09951,12,"-2.09951, 57.14642"
101788,4,57.1448,-2.10538,8,"-2.10538, 57.1448"
101790,4,57.14449,-2.10593,10,"-2.10593, 57.14449"
102791,4,56.84438,-2.28021,12,"-2.28021, 56.84438"
105831,4,56.77503,-2.41598,11,"-2.41598, 56.77503"
105839,4,56.7753,-2.41531,11,"-2.41531, 56.7753"
188799,4,56.84398,-2.28111,12,"-2.28111, 56.84398"
202943,4,57.14461,-2.09629,2,"-2.09629, 57.14461"
212592,4,57.14458,-2.09631,8,"-2.09631, 57.14458"
