ori_node,des_node,ori_layer,des_layer,minutes,km
27290,167948,5,5,2,0.519
27290,248091,5,5,1,0.56
28377,121832,5,5,1,0.47
28377,206405,5,5,1,0.667
42294,42294,5,5,1,0
42294,89054,5,5,1,0.66
42294,112371,5,5,1,0.614
43187,43187,5,5,1,0
43187,64633,5,5,1,0.518
43187,133270,5,5,1,0.332
43187,133271,5,5,1,0.539
43187,143525,5,5,1,0.289
43187,148689,5,5,1,0.267
43187,148691,5,5,1,0.674
43187,208720,5,5,3,0.759
43187,242177,5,5,4,1.334
43187,242184,5,5,9,0.677
43187,258353,5,5,10,4.804
48633,196761,5,5,1,1.024
48633,196763,5,5,3,0.219
48633,212542,5,5,3,2.614
52480,182801,5,5,4,1.979
52480,192589,5,5,1,0.819
52480,262094,5,5,6,1.971
52518,160938,5,5,5,0.965
52518,216071,5,5,2,0.939
52756,52757,5,5,3,4.099
52756,244060,5,5,1,1.236
52757,52758,5,5,1,1.695
52757,52761,5,5,4,2.944
52758,52759,5,5,1,0.921
52758,214689,5,5,1,0.31
52759,52761,5,5,1,0.41
52760,125426,5,5,4,2.69
52760,209312,5,5,1,0.342
52761,52763,5,5,1,0.962
52761,242180,5,5,2,2.232
52762,52760,5,5,1,0.908
52763,242181,5,5,1,0.999
54037,199024,5,5,1,0.038
54037,208721,5,5,6,2.383
54038,169701,5,5,2,1.525
54038,176544,5,5,3,1.631
54039,67069,5,5,1,0.865
54664,54665,5,5,1,1.011
54665,54666,5,5,1,0.599
54666,80160,5,5,2,1.6
55933,121831,5,5,1,0.558
57213,121288,5,5,1,0.254
57214,57215,5,5,2,1.363
57214,220781,5,5,1,1.318
57215,86134,5,5,1,0.707
57216,216099,5,5,1,0.223
57217,57218,5,5,1,0.173
57218,57219,5,5,1,0.241
57219,112369,5,5,1,0.244
57220,102529,5,5,1,0.239
57221,57220,5,5,3,3.603
57330,196836,5,5,1,0.207
58500,196837,5,5,1,0.23
59984,70413,5,5,5,3.059
60880,143526,5,5,2,1.133
60880,224652,5,5,7,3.024
60881,60882,5,5,5,2.839
60881,176541,5,5,1,0.604
60881,202332,5,5,6,5.093
60882,153450,5,5,4,1.805
60882,202333,5,5,3,1.134
60883,60884,5,5,3,2.536
60884,79346,5,5,7,4.699
