node,layer,lat,lon,degree,geometry
27290,5,52.59515,-3.85455,19,"-3.85455, 52.59515"
28377,5,52.40451,-3.98308,13,"-3.98308, 52.40451"
42294,5,52.49104,-4.05019,14,"-4.05019, 52.49104"
43187,5,52.41406,-4.08191,43,"-4.08191, 52.41406"
48633,5,52.41137,-3.84008,15,"-3.84008, 52.41137"
52480,5,52.28894,-3.89071,4,"-3.89071, 52.28894"
52518,5,52.33112,-3.93262,4,"-3.93262, 52.33112"
52756,5,52.32701,-4.12433,4,"-4.12433, 52.32701"
52757,5,52.35854,-4.09288,5,"-4.09288, 52.35854"
52758,5,52.37271,-4.08356,3,"-4.08356, 52.37271"
52759,5,52.37825,-4.07344,5,"-4.07344, 52.37825"
52760,5,52.38122,-4.0724,4,"-4.0724, 52.38122"
52761,5,52.38187,-4.07221,4,"-4.07221, 52.38187"
52762,5,52.38933,-4.07063,2,"-4.07063, 52.38933"
52763,5,52.39046,-4.07033,2,"-4.07033, 52.39046"
54037,5,52.07781,-4.16291,3,"-4.16291, 52.07781"
54038,5,52.09127,-4.15578,3,"-4.15578, 52.09127"
54039,5,52.09124,-4.15569,2,"-4.15569, 52.09124"
54664,5,52.21361,-4.28107,4,"-4.28107, 52.21361"
54665,5,52.22158,-4.27386,2,"-4.27386, 52.22158"
54666,5,52.22696,-4.27313,2,"-4.27313, 52.22696"
55933,5,52.40328,-3.97164,2,"-3.97164, 52.40328"
57213,5,52.53653,-3.94291,2,"-3.94291, 52.53653"
57214,5,52.52277,-3.96863,3,"-3.96863, 52.52277"
57215,5,52.51149,-3.9766,3,"-3.9766, 52.51149"
57216,5,52.50296,-3.97947,2,"-3.97947, 52.50296"
57217,5,52.48978,-3.98144,2,"-3.98144, 52.48978"
57218,5,52.48822,-3.98149,2,"-3.98149, 52.48822"
57219,5,52.48609,-3.98222,2,"-3.98222, 52.48609"
57220,5,52.48376,-3.98266,2,"-3.98266, 52.48376"
57221,5,52.45769,-4.0144,2,"-4.0144, 52.45769"
57330,5,52.62297,-3.8459,3,"-3.8459, 52.62297"
58500,5,52.62183,-3.8487,3,"-3.8487, 52.62183"
59984,5,52.14309,-4.16387,2,"-4.16387, 52.14309"
60880,5,52.14067,-4.09019,3,"-4.09019, 52.14067"
60881,5,52.11302,-4.08054,12,"-4.08054, 52.11302"
60882,5,52.13829,-4.07408,4,"-4.07408, 52.13829"
60883,5,52.17676,-4.01268,2,"-4.01268, 52.17676"
60884,5,52.19406,-3.98835,2,"-3.98835, 52.19406"
60885,5,52.17682,-4.01238,2,"-4.01238, 52.17682"
60887,5,52.21283,-3.99142,2,"-3.99142, 52.21283"
61789,5,52.41807,-4.06685,2,"-4.06685, 52.41807"
61791,5,52.41788,-4.06713,2,"-4.06713, 52.41788"
61792,5,52.41773,-4.05354,5,"-4.05354, 52.41773"
61805,5,52.41599,-4.0546,2,"-4.0546, 52.41599"
61806,5,52.41699,-4.05731,2,"-4.05731, 52.41699"
61807,5,52.4187,-4.06002,5,"-4.06002, 52.4187"
64307,5,52.19417,-4.30752,3,"-4.30752, 52.19417"
64308,5,52.202,-4.29976,2,"-4.29976, 52.202"
64309,5,52.19568,-4.30582,2,"-4.30582, 52.19568"
64312,5,52.2004,-4.31891,2,"-4.31891, 52.2004"
64313,5,52.20402,-4.32762,2,"-4.32762, 52.20402"
64633,5,52.41409,-4.07425,2,"-4.07425, 52.41409"
64634,5,52.41122,-4.01259,4,"-4.01259, 52.41122"
64635,5,52.41116,-4.01262,4,"-4.01262, 52.41116"
64636,5,52.40728,-4.05789,5,"-4.05789, 52.40728"
64637,5,52.41169,-4.0695,3,"-4.0695, 52.41169"
65328,5,52.3997,-4.0706,7,"-4.0706, 52.3997"
65330,5,52.41835,-4.05998,4,"-4.05998, 52.41835"
65331,5,52.41692,-4.05732,2,"-4.05732, 52.41692"
65333,5,52.41922,-4.06161,3,"-4.06161, 52.41922"
65334,5,52.34336,-3.86803,2,"-3.86803, 52.34336"
65335,5,52.41658,-4.07288,4,"-4.07288, 52.41658"
67057,5,52.09284,-4.22485,2,"-4.22485, 52.09284"
67069,5,52.08397,-4.16026,2,"-4.16026, 52.08397"
67070,5,52.10365,-4.14328,3,"-4.14328, 52.10365"
68843,5,52.30038,-4.07305,3,"-4.07305, 52.30038"
68844,5,52.30735,-4.06515,2,"-4.06515, 52.30735"
68846,5,52.32134,-4.06528,2,"-4.06528, 52.32134"
68848,5,52.27367,-4.06862,3,"-4.06862, 52.27367"
68851,5,52.29486,-4.046,2,"-4.046, 52.29486"
68861,5,52.33917,-4.07823,2,"-4.07823, 52.33917"
68931,5,52.19861,-4.26643,2,"-4.26643, 52.19861"
69586,5,52.27368,-4.0682,2,"-4.0682, 52.27368"
70412,5,52.16683,-4.14049,2,"-4.14049, 52.16683"
70413,5,52.16694,-4.14136,4,"-4.14136, 52.16694"
70414,5,52.17973,-4.15113,6,"-4.15113, 52.17973"
70415,5,52.18417,-4.15761,2,"-4.15761, 52.18417"
70416,5,52.1911,-4.16549,2,"-4.16549, 52.1911"
70417,5,52.19643,-4.17143,2,"-4.17143, 52.19643"
70418,5,52.20953,-4.19447,7,"-4.19447, 52.20953"
70419,5,52.23446,-4.25727,3,"-4.25727, 52.23446"
70422,5,52.11293,-4.08054,1,"-4.08054, 52.11293"
70423,5,52.15233,-4.11891,6,"-4.11891, 52.15233"
70734,5,52.10937,-4.0745,4,"-4.0745, 52.10937"
73299,5,52.31594,-4.05632,2,"-4.05632, 52.31594"
73321,5,52.29596,-4.05026,2,"-4.05026, 52.29596"
74743,5,52.42158,-4.03796,6,"-4.03796, 52.42158"
74744,5,52.43807,-3.98304,1,"-3.98304, 52.43807"
74747,5,52.43852,-3.9893,4,"-3.9893, 52.43852"
79346,5,52.21971,-3.93341,7,"-3.93341, 52.21971"
79348,5,52.30495,-4.14489,3,"-4.14489, 52.30495"
79349,5,52.28459,-4.17499,3,"-4.17499, 52.28459"
79350,5,52.27976,-4.17907,2,"-4.17907, 52.27976"
79351,5,52.27845,-4.1795,2,"-4.1795, 52.27845"
79352,5,52.28184,-4.17723,4,"-4.17723, 52.28184"
80156,5,52.2426,-4.25843,6,"-4.25843, 52.2426"
80157,5,52.2427,-4.25821,9,"-4.25821, 52.2427"
80159,5,52.24283,-4.25796,7,"-4.25796, 52.24283"
80160,5,52.2401,-4.26344,4,"-4.26344, 52.2401"
86134,5,52.50523,-3.97854,3,"-3.97854, 52.50523"
89049,5,52.51046,-3.99618,3,"-3.99618, 52.51046"
89050,5,52.51197,-4.05265,3,"-4.05265, 52.51197"
89051,5,52.43561,-4.05872,3,"-4.05872, 52.43561"
89052,5,52.48556,-4.05104,2,"-4.05104, 52.48556"
89053,5,52.48145,-4.0512,2,"-4.0512, 52.48145"
89054,5,52.49687,-4.05216,2,"-4.05216, 52.49687"
90264,5,52.31601,-4.05641,2,"-4.05641, 52.31601"
90268,5,52.23438,-4.25729,3,"-4.25729, 52.23438"
90274,5,52.21597,-4.23232,2,"-4.23232, 52.21597"
90996,5,52.56134,-3.75482,2,"-3.75482, 52.56134"
91681,5,52.59271,-3.80779,3,"-3.80779, 52.59271"
94284,5,52.39429,-4.00594,2,"-4.00594, 52.39429"
94286,5,52.38119,-3.94939,2,"-3.94939, 52.38119"
94288,5,52.3757,-3.85399,2,"-3.85399, 52.3757"
94949,5,52.61217,-3.7062,2,"-3.7062, 52.61217"
98517,5,52.62395,-3.74574,4,"-3.74574, 52.62395"
98519,5,52.61571,-3.79274,2,"-3.79274, 52.61571"
98523,5,52.57018,-3.77837,2,"-3.77837, 52.57018"
98664,5,52.35649,-4.03024,2,"-4.03024, 52.35649"
98665,5,52.33778,-3.92074,4,"-3.92074, 52.33778"
98666,5,52.30798,-3.91882,3,"-3.91882, 52.30798"
98667,5,52.46262,-4.02408,3,"-4.02408, 52.46262"
98669,5,52.47229,-4.02854,2,"-4.02854, 52.47229"
98670,5,52.47944,-4.04382,2,"-4.04382, 52.47944"
100376,5,52.38129,-3.94966,2,"-3.94966, 52.38129"
100519,5,52.23996,-4.25615,6,"-4.25615, 52.23996"
101167,5,52.4104,-4.07062,5,"-4.07062, 52.4104"
101168,5,52.41353,-3.83942,2,"-3.83942, 52.41353"
101493,5,52.56308,-3.91257,2,"-3.91257, 52.56308"
101655,5,52.41607,-4.05437,3,"-4.05437, 52.41607"
102227,5,52.20395,-4.32763,2,"-4.32763, 52.20395"
102522,5,52.44987,-4.02129,3,"-4.02129, 52.44987"
102523,5,52.45395,-4.019,3,"-4.019, 52.45395"
102524,5,52.4436,-4.02711,4,"-4.02711, 52.4436"
102525,5,52.44646,-4.02503,2,"-4.02503, 52.44646"
102526,5,52.48993,-3.98166,2,"-3.98166, 52.48993"
102527,5,52.48826,-3.98164,2,"-3.98164, 52.48826"
102528,5,52.45774,-4.01412,2,"-4.01412, 52.45774"
102529,5,52.48591,-3.98236,2,"-3.98236, 52.48591"
102530,5,52.44224,-4.02769,7,"-4.02769, 52.44224"
104162,5,52.14844,-4.19434,2,"-4.19434, 52.14844"
104163,5,52.27929,-3.91761,2,"-3.91761, 52.27929"
104164,5,52.17422,-4.25783,2,"-4.25783, 52.17422"
107574,5,52.41212,-3.92966,2,"-3.92966, 52.41212"
107674,5,52.14897,-4.05407,2,"-4.05407, 52.14897"
107683,5,52.15811,-4.03648,2,"-4.03648, 52.15811"
107686,5,52.21855,-4.02258,4,"-4.02258, 52.21855"
108409,5,52.41004,-4.07759,5,"-4.07759, 52.41004"
108410,5,52.40792,-4.0808,2,"-4.0808, 52.40792"
108417,5,52.41364,-4.04788,4,"-4.04788, 52.41364"
108418,5,52.40902,-4.062,5,"-4.062, 52.40902"
110525,5,52.13168,-4.21596,2,"-4.21596, 52.13168"
112112,5,52.16456,-4.33547,5,"-4.33547, 52.16456"
112115,5,52.16583,-4.33741,2,"-4.33741, 52.16583"
112368,5,52.46258,-4.02427,2,"-4.02427, 52.46258"
112369,5,52.4839,-3.98255,6,"-3.98255, 52.4839"
112371,5,52.48552,-4.05093,2,"-4.05093, 52.48552"
112372,5,52.51204,-4.05289,2,"-4.05289, 52.51204"
112373,5,52.49677,-4.05193,2,"-4.05193, 52.49677"
112374,5,52.47931,-4.04355,2,"-4.04355, 52.47931"
112375,5,52.47225,-4.02858,2,"-4.02858, 52.47225"
112376,5,52.48143,-4.05108,2,"-4.05108, 52.48143"
114042,5,52.18011,-4.21506,2,"-4.21506, 52.18011"
114043,5,52.13769,-4.16037,2,"-4.16037, 52.13769"
114045,5,52.11062,-4.15205,2,"-4.15205, 52.11062"
114046,5,52.11062,-4.15185,2,"-4.15185, 52.11062"
117508,5,52.2159,-4.23236,2,"-4.23236, 52.2159"
118157,5,52.59081,-3.84793,4,"-3.84793, 52.59081"
121288,5,52.53838,-3.94069,2,"-3.94069, 52.53838"
121831,5,52.40378,-3.96343,2,"-3.96343, 52.40378"
121832,5,52.40338,-3.97639,3,"-3.97639, 52.40338"
121834,5,52.40557,-3.9928,3,"-3.9928, 52.40557"
121835,5,52.41368,-3.87603,2,"-3.87603, 52.41368"
121836,5,52.41058,-3.90486,2,"-3.90486, 52.41058"
121837,5,52.41221,-3.92968,2,"-3.92968, 52.41221"
121838,5,52.40921,-3.85461,2,"-3.85461, 52.40921"
121839,5,52.40992,-3.86415,2,"-3.86415, 52.40992"
123420,5,52.43768,-3.99853,3,"-3.99853, 52.43768"
123421,5,52.43477,-4.00833,2,"-4.00833, 52.43477"
123422,5,52.4333,-4.01679,5,"-4.01679, 52.4333"
123423,5,52.42236,-4.01613,4,"-4.01613, 52.42236"
123424,5,52.41505,-4.08666,2,"-4.08666, 52.41505"
123425,5,52.41735,-4.08433,4,"-4.08433, 52.41735"
123426,5,52.41965,-4.08419,4,"-4.08419, 52.41965"
125425,5,52.32683,-4.12438,4,"-4.12438, 52.32683"
125426,5,52.35978,-4.0909,5,"-4.0909, 52.35978"
125428,5,52.25147,-4.22811,8,"-4.22811, 52.25147"
125430,5,52.30623,-4.1445,6,"-4.1445, 52.30623"
126289,5,52.41163,-4.08054,2,"-4.08054, 52.41163"
127795,5,52.57461,-3.74871,2,"-3.74871, 52.57461"
127797,5,52.58414,-3.82772,2,"-3.82772, 52.58414"
127798,5,52.57485,-3.79743,2,"-3.79743, 52.57485"
127956,5,52.64026,-3.71684,2,"-3.71684, 52.64026"
127957,5,52.59266,-3.80773,2,"-3.80773, 52.59266"
128351,5,52.21869,-3.93794,3,"-3.93794, 52.21869"
129078,5,52.19263,-4.31038,3,"-4.31038, 52.19263"
131070,5,52.40921,-3.93562,2,"-3.93562, 52.40921"
131630,5,52.24009,-4.26328,3,"-4.26328, 52.24009"
131631,5,52.227,-4.27291,2,"-4.27291, 52.227"
131632,5,52.22133,-4.27395,2,"-4.27395, 52.22133"
131633,5,52.21356,-4.28092,4,"-4.28092, 52.21356"
131634,5,52.20196,-4.2997,2,"-4.2997, 52.20196"
131635,5,52.19565,-4.30556,3,"-4.30556, 52.19565"
131636,5,52.19416,-4.3074,2,"-4.3074, 52.19416"
131637,5,52.19258,-4.31031,3,"-4.31031, 52.19258"
131638,5,52.20042,-4.31912,2,"-4.31912, 52.20042"
133095,5,52.41158,-4.01184,2,"-4.01184, 52.41158"
133270,5,52.41705,-4.08179,4,"-4.08179, 52.41705"
133271,5,52.41005,-4.07741,6,"-4.07741, 52.41005"
135249,5,52.38828,-3.98133,2,"-3.98133, 52.38828"
135250,5,52.39629,-4.03015,2,"-4.03015, 52.39629"
135431,5,52.40941,-4.08504,2,"-4.08504, 52.40941"
135450,5,52.39423,-4.00588,2,"-4.00588, 52.39423"
135451,5,52.3814,-3.89958,2,"-3.89958, 52.3814"
139329,5,52.63661,-3.83368,2,"-3.83368, 52.63661"
142275,5,52.3687,-4.08675,3,"-4.08675, 52.3687"
142347,5,52.41641,-4.05773,7,"-4.05773, 52.41641"
142853,5,52.40933,-4.08519,3,"-4.08519, 52.40933"
143519,5,52.36159,-4.05751,2,"-4.05751, 52.36159"
143520,5,52.18747,-4.12838,3,"-4.12838, 52.18747"
143521,5,52.22821,-4.13593,4,"-4.13593, 52.22821"
143522,5,52.18622,-4.10083,2,"-4.10083, 52.18622"
143523,5,52.1883,-4.05654,2,"-4.05654, 52.1883"
143524,5,52.1863,-4.10085,2,"-4.10085, 52.1863"
143525,5,52.41212,-4.08477,4,"-4.08477, 52.41212"
143526,5,52.13836,-4.07399,3,"-4.07399, 52.13836"
145525,5,52.16579,-4.33751,2,"-4.33751, 52.16579"
145527,5,52.16454,-4.33531,7,"-4.33531, 52.16454"
148688,5,52.41221,-4.08485,2,"-4.08485, 52.41221"
148689,5,52.41181,-4.08048,3,"-4.08048, 52.41181"
148690,5,52.41607,-4.07878,3,"-4.07878, 52.41607"
148691,5,52.41666,-4.0729,3,"-4.0729, 52.41666"
151037,5,52.44061,-4.02884,8,"-4.02884, 52.44061"
153450,5,52.14902,-4.05417,2,"-4.05417, 52.14902"
