node,layer,lat,lon,degree,geometry
6363,5,57.68849,-4.17554,14,"-4.17554, 57.68849"
23870,5,57.7781,-3.99373,15,"-3.99373, 57.7781"
24234,5,57.69438,-4.24973,18,"-4.24973, 57.69438"
51979,5,57.69751,-4.26398,2,"-4.26398, 57.69751"
53521,5,57.80863,-4.05117,9,"-4.05117, 57.80863"
53522,5,57.80925,-4.05157,6,"-4.05157, 57.80925"
53912,5,57.69781,-4.1541,2,"-4.1541, 57.69781"
59991,5,57.69332,-4.27347,2,"-4.27347, 57.69332"
59992,5,57.6935,-4.27298,2,"-4.27298, 57.6935"
63192,5,57.74583,-4.07483,3,"-4.07483, 57.74583"
63193,5,57.74588,-4.07455,3,"-4.07455, 57.74588"
63194,5,57.75321,-4.06028,5,"-4.06028, 57.75321"
63195,5,57.75341,-4.06046,4,"-4.06046, 57.75341"
64957,5,57.70069,-4.22931,4,"-4.22931, 57.70069"
64960,5,57.70109,-4.22663,3,"-4.22663, 57.70109"
65248,5,57.69635,-4.25822,3,"-4.25822, 57.69635"
66745,5,57.8331,-4.1764,3,"-4.1764, 57.8331"
66831,5,57.66751,-4.32687,3,"-4.32687, 57.66751"
70006,5,57.69586,-4.17913,2,"-4.17913, 57.69586"
74168,5,57.70129,-4.22394,3,"-4.22394, 57.70129"
75057,5,57.78371,-3.91123,4,"-3.91123, 57.78371"
75856,5,57.78381,-3.91131,7,"-3.91131, 57.78381"
76300,5,57.69729,-4.26424,2,"-4.26424, 57.69729"
78416,5,57.7177,-4.00873,2,"-4.00873, 57.7177"
80147,5,57.65404,-4.33851,3,"-4.33851, 57.65404"
81577,5,57.81834,-3.91814,4,"-3.91814, 57.81834"
83123,5,57.73974,-3.97611,2,"-3.97611, 57.73974"
84219,5,57.69588,-4.27749,2,"-4.27749, 57.69588"
84220,5,57.69563,-4.27774,2,"-4.27774, 57.69563"
84905,5,57.72478,-4.09768,3,"-4.09768, 57.72478"
85177,5,57.66057,-4.33915,2,"-4.33915, 57.66057"
86490,5,57.69426,-4.15484,3,"-4.15484, 57.69426"
86491,5,57.69685,-4.15624,2,"-4.15624, 57.69685"
86492,5,57.69417,-4.15507,4,"-4.15507, 57.69417"
86748,5,57.74722,-4.07263,2,"-4.07263, 57.74722"
88561,5,57.69606,-4.25715,3,"-4.25715, 57.69606"
90463,5,57.80821,-4.05933,7,"-4.05933, 57.80821"
90580,5,57.78055,-4.07063,2,"-4.07063, 57.78055"
91967,5,57.74741,-4.07274,2,"-4.07274, 57.74741"
92051,5,57.69492,-4.17609,2,"-4.17609, 57.69492"
92059,5,57.81678,-4.06729,4,"-4.06729, 57.81678"
96215,5,57.69313,-4.17976,2,"-4.17976, 57.69313"
96474,5,57.76232,-3.89842,4,"-3.89842, 57.76232"
96475,5,57.76227,-3.89807,5,"-3.89807, 57.76227"
98551,5,57.6819,-4.29726,6,"-4.29726, 57.6819"
100063,5,57.80143,-3.95704,2,"-3.95704, 57.80143"
100218,5,57.69217,-4.17517,3,"-4.17517, 57.69217"
101872,5,57.75765,-4.00822,2,"-4.00822, 57.75765"
101873,5,57.75753,-4.00741,7,"-4.00741, 57.75753"
104851,5,57.69856,-4.26803,2,"-4.26803, 57.69856"
106205,5,57.75025,-3.92026,7,"-3.92026, 57.75025"
106615,5,57.83659,-3.82738,4,"-3.82738, 57.83659"
107207,5,57.81074,-4.05673,7,"-4.05673, 57.81074"
114508,5,57.6607,-4.33863,2,"-4.33863, 57.6607"
114782,5,57.69462,-4.27307,2,"-4.27307, 57.69462"
115145,5,57.77375,-3.96447,4,"-3.96447, 57.77375"
115147,5,57.77331,-3.96411,4,"-3.96411, 57.77331"
116343,5,57.66606,-4.33258,2,"-4.33258, 57.66606"
118125,5,57.75347,-3.91749,2,"-3.91749, 57.75347"
126236,5,57.70109,-4.23307,3,"-4.23307, 57.70109"
126237,5,57.70092,-4.23298,3,"-4.23298, 57.70092"
128770,5,57.69438,-4.15023,2,"-4.15023, 57.69438"
131553,5,57.69757,-4.14428,2,"-4.14428, 57.69757"
131554,5,57.6977,-4.14451,2,"-4.14451, 57.6977"
131555,5,57.69993,-4.14075,2,"-4.14075, 57.69993"
131556,5,57.69978,-4.1405,2,"-4.1405, 57.69978"
131557,5,57.70198,-4.13652,2,"-4.13652, 57.70198"
133152,5,57.70212,-4.22657,2,"-4.22657, 57.70212"
136101,5,57.69481,-4.27457,2,"-4.27457, 57.69481"
136102,5,57.69505,-4.27407,2,"-4.27407, 57.69505"
140636,5,57.81623,-4.06534,5,"-4.06534, 57.81623"
140643,5,57.81606,-4.06543,3,"-4.06543, 57.81606"
144266,5,57.81052,-4.05638,6,"-4.05638, 57.81052"
145595,5,57.80898,-4.0645,4,"-4.0645, 57.80898"
146124,5,57.69577,-4.1693,3,"-4.1693, 57.69577"
148999,5,57.71771,-4.00854,2,"-4.00854, 57.71771"
149499,5,57.70227,-4.1364,2,"-4.1364, 57.70227"
151108,5,57.68893,-4.16167,3,"-4.16167, 57.68893"
151215,5,57.6891,-4.1619,3,"-4.1619, 57.6891"
151393,5,57.81117,-4.05258,12,"-4.05258, 57.81117"
151686,5,57.72338,-4.00602,4,"-4.00602, 57.72338"
157211,5,57.73993,-4.07323,2,"-4.07323, 57.73993"
157212,5,57.73973,-4.07722,3,"-4.07722, 57.73973"
157213,5,57.74098,-4.07339,2,"-4.07339, 57.74098"
157214,5,57.73955,-4.0774,3,"-4.0774, 57.73955"
158032,5,57.69436,-4.15075,3,"-4.15075, 57.69436"
161517,5,57.66461,-4.32528,4,"-4.32528, 57.66461"
163187,5,57.6791,-4.29803,2,"-4.29803, 57.6791"
165827,5,57.69841,-4.26773,2,"-4.26773, 57.69841"
172474,5,57.66282,-4.33729,2,"-4.33729, 57.66282"
172475,5,57.66295,-4.33674,2,"-4.33674, 57.66295"
178066,5,57.75517,-3.91218,2,"-3.91218, 57.75517"
178067,5,57.75533,-3.91241,2,"-3.91241, 57.75533"
179055,5,57.83326,-4.17619,2,"-4.17619, 57.83326"
181438,5,57.68939,-4.16974,2,"-4.16974, 57.68939"
181439,5,57.68922,-4.16929,4,"-4.16929, 57.68922"
186267,5,57.79149,-4.04478,2,"-4.04478, 57.79149"
186270,5,57.80272,-4.06558,4,"-4.06558, 57.80272"
186271,5,57.77311,-4.09688,2,"-4.09688, 57.77311"
