ori_node,des_node,ori_layer,des_layer,minutes,km
255,255,5,5,1,0
255,68241,5,5,1,0.627
255,86697,5,5,5,1.389
255,159626,5,5,3,1.096
1297,1297,5,5,1,0
1297,163128,5,5,11,5.039
1297,248923,5,5,1,0.462
51077,51077,5,5,1,0
51077,62676,5,5,7,1.1
51077,81924,5,5,1,0.291
51077,146370,5,5,1,0.354
51077,206699,5,5,8,2.755
51077,224676,5,5,4,0.79
51077,253993,5,5,1,0.545
51962,170511,5,5,3,1.114
52310,146101,5,5,1,0.315
52310,164466,5,5,1,0.235
52312,146101,5,5,1,0.286
52324,52310,5,5,1,0.164
52324,52312,5,5,1,0.188
53002,53004,5,5,1,0.432
53003,253999,5,5,1,0.351
53004,53010,5,5,1,0.165
53005,53003,5,5,1,0.39
53006,67529,5,5,7,3.597
53006,159617,5,5,1,1.27
53006,233230,5,5,2,0.548
53008,194895,5,5,3,0.942
53008,246644,5,5,1,0.298
53008,253999,5,5,1,0.43
53009,62680,5,5,1,0.262
53010,53009,5,5,1,0.29
55410,224673,5,5,5,0.428
56143,56148,5,5,1,0.582
56144,65753,5,5,1,1.051
56145,56148,5,5,3,0.432
56145,56149,5,5,1,0.268
56145,123747,5,5,5,1.219
56146,210386,5,5,2,4.386
56147,56144,5,5,1,0.583
56147,56146,5,5,1,0.446
56147,210386,5,5,5,4.201
56147,253568,5,5,4,2.972
56148,56150,5,5,1,0.277
56149,56147,5,5,1,0.28
56150,56146,5,5,1,0.278
56150,123752,5,5,1,0.061
56216,112508,5,5,1,0.646
56216,142031,5,5,1,0.593
60636,53002,5,5,1,0.43
61920,78857,5,5,1,0.207
61921,61920,5,5,1,0.199
61927,142030,5,5,1,0.093
61928,148882,5,5,1,0.207
61928,217678,5,5,1,0.891
62676,82167,5,5,3,0.601
62676,88316,5,5,1,0.211
62677,88316,5,5,4,0.896
62677,157896,5,5,1,0.636
62678,62679,5,5,1,0.239
62679,53005,5,5,1,0.594
62679,233230,5,5,3,1.142
62680,62678,5,5,1,0.411
62681,62682,5,5,1,0.518
62682,51077,5,5,4,1.121
62682,81921,5,5,5,0.765
62682,88312,5,5,1,0.238
62924,89963,5,5,1,1.155
62928,62929,5,5,1,0.081
62929,215312,5,5,1,0.102
64186,242393,5,5,2,1.65
64187,188990,5,5,2,1.458
64188,126518,5,5,2,1.098
64189,252604,5,5,2,0.985
64190,179290,5,5,9,4.941
64190,188990,5,5,3,1.463
64191,244084,5,5,2,0.703
65751,65758,5,5,2,1.097
65751,259860,5,5,1,0.598
65752,65751,5,5,2,0.594
65753,83315,5,5,1,0.627
65753,253568,5,5,2,2.128
65754,56143,5,5,1,1.05
65755,65757,5,5,2,0.63
65755,67535,5,5,14,7.793
65755,116563,5,5,8,6.376
65755,210386,5,5,8,7.976
65755,253569,5,5,2,2.074
65756,65755,5,5,2,0.587
65756,65759,5,5,3,1.243
65756,126525,5,5,1,0.317
65756,253569,5,5,2,2.658
65757,75085,5,5,1,0.242
65758,65757,5,5,3,1.275
65759,65751,5,5,2,1.094
65759,138166,5,5,2,1.092
67529,149825,5,5,1,0.198
67531,65755,5,5,17,7.79
67531,161797,5,5,1,0.323
67531,161799,5,5,1,0.363
67535,151920,5,5,1,0.616
67537,75086,5,5,2,0.243
68228,53008,5,5,1,1.082
68230,86697,5,5,4,2.014
68241,149816,5,5,6,3.07
68961,137070,5,5,1,0.701
68961,230889,5,5,1,0.325
69729,235302,5,5,1,0.544
69759,123747,5,5,5,2.336
69769,69759,5,5,1,0.546
70045,139816,5,5,1,0.522
70068,159618,5,5,1,0.706
70075,129932,5,5,1,0.777
71436,234070,5,5,1,0.436
72183,224673,5,5,1,0.293
72183,224674,5,5,2,0.296
72183,224675,5,5,1,0.287
72183,224677,5,5,1,0.283
72183,224678,5,5,2,0.284
72183,247808,5,5,2,0.281
72184,72186,5,5,1,0.214
72185,72183,5,5,1,0.349
72186,177898,5,5,1,0.365
72187,72185,5,5,1,0.229
72188,72187,5,5,1,0.367
72190,72188,5,5,1,0.205
72191,62677,5,5,1,0.197
72192,72190,5,5,1,0.162
72416,224676,5,5,9,3.63
72417,180031,5,5,1,0.352
72418,198669,5,5,1,0.325
72419,183956,5,5,1,0.394
73561,133603,5,5,2,1.027
73599,101430,5,5,1,0.693
73601,82166,5,5,1,0.273
73602,129929,5,5,2,0.85
73603,139818,5,5,1,0.597
73783,155800,5,5,1,0.089
73790,99587,5,5,1,0.317
73790,99592,5,5,1,0.168
75080,183953,5,5,1,0.345
75085,185701,5,5,4,3.053
75086,65756,5,5,1,0.286
75195,221283,5,5,1,0.4
75196,79089,5,5,1,0.737
78346,88058,5,5,1,0.531
78571,213079,5,5,1,0.251
78572,78571,5,5,1,0.162
78573,192987,5,5,3,0.414
78573,242395,5,5,1,0.244
78575,242389,5,5,1,0.163
78576,242392,5,5,1,0.105
78577,252319,5,5,1,0.249
78578,242397,5,5,1,0.197
78857,78860,5,5,1,0.102
78860,90735,5,5,1,0.157
78870,78871,5,5,1,0.239
78871,78872,5,5,1,0.152
78872,81921,5,5,1,0.192
81921,51077,5,5,1,0.358
81921,146372,5,5,4,0.421
81922,72184,5,5,1,0.334
81922,81923,5,5,1,0.26
81923,51077,5,5,1,0.368
81924,72183,5,5,1,0.327
82165,233230,5,5,1,0.548
82166,253997,5,5,1,0.321
82167,206699,5,5,2,1.49
82168,62682,5,5,3,0.62
82168,143168,5,5,1,0.161
83310,83311,5,5,1,0.379
83311,73561,5,5,1,0.248
83312,65754,5,5,1,0.625
83313,83312,5,5,1,0.962
83315,83310,5,5,1,0.961
83318,83313,5,5,1,0.39
86689,68230,5,5,3,1.341
86697,255,5,5,2,1.389
88057,143365,5,5,1,0.263
88057,143367,5,5,1,0.272
88058,248922,5,5,1,0.336
88312,72192,5,5,1,0.555
88312,115403,5,5,1,0.283
88313,82168,5,5,2,0.262
88314,62681,5,5,1,0.1
88315,193704,5,5,1,0.139
88316,88313,5,5,1,0.216
88317,134939,5,5,1,0.342
88317,183952,5,5,1,0.323
88318,193706,5,5,1,0.153
88321,88322,5,5,1,0.193
88322,62928,5,5,1,0.196
89047,244103,5,5,1,1.028
89955,99593,5,5,1,0.475
89955,205847,5,5,1,0.358
89956,89955,5,5,1,0.404
89956,155799,5,5,1,0.381
89957,138176,5,5,1,1.643
89958,89961,5,5,1,0.174
89959,89958,5,5,1,0.206
89961,73790,5,5,1,0.239
89963,240653,5,5,1,0.361
89964,72419,5,5,1,1.105
90735,164990,5,5,1,0.063
91509,126517,5,5,2,1.079
91518,198670,5,5,1,0.307
91670,255285,5,5,2,1.528
91749,226265,5,5,3,2.027
91750,142031,5,5,2,0.638
91751,139817,5,5,1,0.29
95081,88057,5,5,1,0.599
95187,224663,5,5,1,0.342
99587,73783,5,5,1,0.432
99587,99588,5,5,1,0.301
99588,89959,5,5,1,0.177
99588,137788,5,5,1,0.191
99589,132273,5,5,1,0.179
99590,225247,5,5,1,0.176
99592,183956,5,5,1,0.726
99592,203412,5,5,2,0.69
99592,223016,5,5,1,0.285
99593,99592,5,5,1,0.176
99594,99587,5,5,1,0.302
101429,91749,5,5,1,0.226
101430,224675,5,5,2,0.273
101430,224678,5,5,2,0.27
101431,101429,5,5,1,0.303
101432,253993,5,5,1,0.177
101433,215308,5,5,1,0.258
101434,220548,5,5,1,0.51
101435,73602,5,5,4,1.732
101435,86689,5,5,1,0.558
103436,188986,5,5,2,0.459
103463,64186,5,5,2,1.468
103463,64191,5,5,2,1.448
104450,191015,5,5,3,1.79
105565,242397,5,5,1,0.144
105566,78576,5,5,1,0.115
107578,180851,5,5,1,0.428
107579,52324,5,5,5,3.58
107579,107580,5,5,1,0.355
107580,107582,5,5,1,0.73
107581,107586,5,5,1,0.442
107582,117454,5,5,1,1.322
107583,215299,5,5,1,0.587
107585,107583,5,5,1,0.376
107586,107585,5,5,1,0.387
112508,56145,5,5,6,5.348
112508,112509,5,5,1,0.519
112509,112510,5,5,2,2.066
112510,250040,5,5,1,0.464
112511,112513,5,5,1,0.478
112512,142031,5,5,1,0.589
112512,142033,5,5,1,0.626
112513,112512,5,5,3,2.032
112516,56145,5,5,3,4.367
112516,56148,5,5,5,4.209
112516,253568,5,5,4,5.868
112701,64187,5,5,2,1.732
115397,115398,5,5,1,0.161
115398,105565,5,5,1,0.109
115399,234276,5,5,1,0.136
115400,115397,5,5,1,0.137
115401,192333,5,5,1,0.145
115402,115399,5,5,1,0.21
115403,115406,5,5,1,0.254
115404,115401,5,5,1,0.223
115405,125074,5,5,1,0.071
115406,115405,5,5,1,0.258
116563,132046,5,5,1,0.336
116564,65755,5,5,4,6.381
116564,132044,5,5,1,1.856
116577,132043,5,5,1,0.414
117446,117447,5,5,1,1.27
117446,117453,5,5,1,0.163
117446,117454,5,5,1,0.076
117447,107581,5,5,1,0.666
117448,117450,5,5,1,0.439
117450,117452,5,5,1,0.247
117451,117449,5,5,1,0.438
117452,117446,5,5,1,0.15
117453,117451,5,5,1,0.244
117454,117453,5,5,1,0.092
118265,143363,5,5,1,0.283
120497,209057,5,5,1,0.449
120506,209055,5,5,1,0.45
123746,56146,5,5,5,1.19
123746,69729,5,5,5,2.334
123747,123753,5,5,1,1.127
123748,149820,5,5,1,0.53
123749,242997,5,5,1,0.776
123752,123746,5,5,1,1.116
123753,56146,5,5,1,0.25
123753,56149,5,5,1,0.061
125067,125073,5,5,1,0.19
125068,125067,5,5,1,0.165
125069,125068,5,5,1,0.192
125070,144947,5,5,1,0.077
125071,125072,5,5,1,0.167
125072,245867,5,5,3,1.133
125073,224673,5,5,3,0.558
125074,125075,5,5,1,0.164
125075,125070,5,5,1,0.092
126510,126515,5,5,2,0.874
126515,198667,5,5,2,1.074
126517,169467,5,5,2,0.874
126518,169472,5,5,1,0.255
126519,64189,5,5,1,1.108
126525,64188,5,5,2,0.997
127108,127111,5,5,1,0.398
127109,156930,5,5,1,0.618
128216,175336,5,5,1,0.601
128217,128223,5,5,1,0.507
128218,128225,5,5,1,0.502
128219,128221,5,5,1,0.251
128220,128218,5,5,1,0.236
128221,163125,5,5,1,0.986
128222,128216,5,5,1,0.52
128223,128224,5,5,1,0.369
128224,128219,5,5,1,0.527
128225,128222,5,5,1,0.386
129929,187380,5,5,1,0.412
129932,70045,5,5,1,0.623
129932,162924,5,5,1,0.376
129938,91751,5,5,1,0.337
132043,116563,5,5,2,1.857
132044,132049,5,5,1,0.405
132045,116564,5,5,1,0.216
132046,133606,5,5,1,0.863
132047,133602,5,5,1,0.213
132048,56216,5,5,1,0.513
132049,161800,5,5,1,1.332
132273,99590,5,5,1,0.174
133602,132045,5,5,1,1.027
133603,142031,5,5,2,0.579
133604,91750,5,5,1,0.216
133604,245627,5,5,3,1.041
133605,142027,5,5,1,0.41
133605,191019,5,5,3,1.385
133606,132048,5,5,1,0.259
133606,224258,5,5,1,0.596
134939,134940,5,5,1,0.144
134940,134941,5,5,1,0.083
134941,144946,5,5,1,0.066
134942,134943,5,5,1,0.129
134943,134944,5,5,1,0.2
134944,144942,5,5,1,0.196
134945,183955,5,5,1,0.188
134946,179300,5,5,1,0.171
137069,230897,5,5,1,0.553
137788,73783,5,5,1,0.354
138166,259860,5,5,1,0.597
138168,138179,5,5,1,0.198
138169,172899,5,5,1,0.747
138174,240656,5,5,3,2.596
138176,151835,5,5,1,1.155
138177,89956,5,5,1,1.68
138178,138177,5,5,1,1.122
138179,138178,5,5,1,0.554
138180,138169,5,5,1,0.162
139815,73603,5,5,1,0.183
139816,216383,5,5,1,0.467
139817,139819,5,5,1,0.848
139818,101434,5,5,2,0.985
139819,145902,5,5,1,0.592
139821,210475,5,5,1,0.581
139822,139821,5,5,1,0.415
140178,170510,5,5,1,0.388
140178,255287,5,5,2,0.703
142027,61927,5,5,1,0.212
142027,112508,5,5,2,0.823
142027,142032,5,5,1,0.851
142027,142033,5,5,2,0.848
142028,133605,5,5,1,0.178
142028,159626,5,5,5,2.407
142029,142028,5,5,1,0.104
142030,142029,5,5,1,0.249
142031,142027,5,5,1,0.813
142032,133604,5,5,1,0.52
142033,142035,5,5,1,0.559
142035,132047,5,5,1,0.505
143168,88314,5,5,1,0.153
143362,118265,5,5,1,0.278
143362,153267,5,5,1,0.114
143363,143364,5,5,1,0.245
143364,78346,5,5,1,0.269
143364,143367,5,5,1,0.21
143364,172906,5,5,1,0.115
143365,143362,5,5,1,0.242
143367,253456,5,5,1,0.165
143368,1297,5,5,1,0.359
144942,134945,5,5,1,0.12
144945,125069,5,5,1,0.187
144946,134942,5,5,1,0.174
