node,layer,lat,lon,degree,geometry
255,5,51.17006,-1.62078,16,"-1.62078, 51.17006"
1297,5,51.23741,-1.33818,15,"-1.33818, 51.23741"
51077,5,51.21155,-1.49224,25,"-1.49224, 51.21155"
51962,5,51.15199,-1.32365,2,"-1.32365, 51.15199"
51963,5,51.15206,-1.32392,2,"-1.32392, 51.15206"
52310,5,51.28098,-1.65576,4,"-1.65576, 51.28098"
52312,5,51.28112,-1.6554,3,"-1.6554, 51.28112"
52324,5,51.27958,-1.65654,6,"-1.65654, 51.27958"
53002,5,51.21512,-1.50881,2,"-1.50881, 51.21512"
53003,5,51.21175,-1.51081,2,"-1.51081, 51.21175"
53004,5,51.2178,-1.51332,3,"-1.51332, 51.2178"
53005,5,51.21502,-1.50874,2,"-1.50874, 51.21502"
53006,5,51.2105,-1.51304,6,"-1.51304, 51.2105"
53008,5,51.21065,-1.51335,6,"-1.51335, 51.21065"
53009,5,51.21416,-1.51634,2,"-1.51634, 51.21416"
53010,5,51.21649,-1.51445,2,"-1.51445, 51.21649"
55410,5,51.20691,-1.47622,2,"-1.47622, 51.20691"
56143,5,51.10243,-1.56017,2,"-1.56017, 51.10243"
56144,5,51.10241,-1.56024,2,"-1.56024, 51.10241"
56145,5,51.09367,-1.564,6,"-1.564, 51.09367"
56146,5,51.0935,-1.56381,6,"-1.56381, 51.0935"
56147,5,51.0975,-1.56321,6,"-1.56321, 51.0975"
56148,5,51.09752,-1.5631,6,"-1.5631, 51.09752"
56149,5,51.09532,-1.56119,3,"-1.56119, 51.09532"
56150,5,51.09535,-1.56112,3,"-1.56112, 51.09535"
56216,5,51.1441,-1.57964,3,"-1.57964, 51.1441"
60636,5,51.21155,-1.51122,2,"-1.51122, 51.21155"
61920,5,51.21269,-1.50653,2,"-1.50653, 51.21269"
61921,5,51.21434,-1.5054,2,"-1.5054, 51.21434"
61927,5,51.14568,-1.59482,2,"-1.59482, 51.14568"
61928,5,51.21608,-1.49886,5,"-1.49886, 51.21608"
62676,5,51.22063,-1.4986,5,"-1.4986, 51.22063"
62677,5,51.21666,-1.49074,3,"-1.49074, 51.21666"
62678,5,51.21761,-1.51736,2,"-1.51736, 51.21761"
62679,5,51.21891,-1.51461,3,"-1.51461, 51.21891"
62680,5,51.21433,-1.52011,2,"-1.52011, 51.21433"
62681,5,51.225,-1.50199,2,"-1.50199, 51.225"
62682,5,51.22083,-1.49862,5,"-1.49862, 51.22083"
62924,5,51.21424,-1.45918,2,"-1.45918, 51.21424"
62928,5,51.22468,-1.48683,2,"-1.48683, 51.22468"
62929,5,51.22421,-1.48773,2,"-1.48773, 51.22421"
64186,5,51.1816,-1.47446,2,"-1.47446, 51.1816"
64187,5,51.18156,-1.47428,2,"-1.47428, 51.18156"
