ori_node,des_node,ori_layer,des_layer,minutes,km
104,169676,5,5,1,0.653
104,185940,5,5,1,0.448
3391,88166,5,5,4,2.026
11096,70636,5,5,13,8.89
11096,205579,5,5,1,1.097
11096,211594,5,5,1,0.39
22832,22832,5,5,1,0
22832,74158,5,5,1,0.32
22832,137915,5,5,1,0.372
22832,165432,5,5,1,0.602
22832,226070,5,5,10,3.249
26309,170583,5,5,1,0.321
26309,202035,5,5,1,0.208
26309,226887,5,5,5,0.93
35577,59892,5,5,1,0.901
35577,69472,5,5,1,0.996
35577,69473,5,5,3,2.019
35577,70636,5,5,2,0.604
35577,75863,5,5,5,1.751
35577,185737,5,5,3,1.162
35577,230716,5,5,5,2.061
41883,77891,5,5,1,0.613
41883,260732,5,5,1,0.259
45019,45019,5,5,1,0
45019,74145,5,5,1,0.747
45019,84540,5,5,1,0.738
45019,113094,5,5,1,0.502
45019,119738,5,5,8,1.328
45019,174480,5,5,5,2.782
45019,178847,5,5,6,2.987
45019,181317,5,5,3,1.458
45019,187730,5,5,4,0.845
45019,190966,5,5,1,0.598
45019,195238,5,5,3,1.183
45019,195775,5,5,4,0.952
45019,198057,5,5,2,0.916
45019,205713,5,5,3,1.248
45019,214544,5,5,1,0.298
45019,214548,5,5,1,0.348
45019,215870,5,5,1,0.888
45019,222383,5,5,1,0.523
45019,222607,5,5,1,0.748
45019,227428,5,5,4,1.547
52014,92575,5,5,3,2.18
52016,45019,5,5,4,1.118
52052,45019,5,5,8,1.055
52052,60028,5,5,1,0.235
52300,243858,5,5,6,3.537
52471,173201,5,5,2,1.146
52662,210575,5,5,1,0.773
53379,130870,5,5,1,0.837
54345,117349,5,5,1,0.304
54508,76498,5,5,3,1.898
54508,155561,5,5,4,1.561
54509,113093,5,5,1,0.505
55192,63174,5,5,1,0.693
55729,211594,5,5,3,1.81
56427,64463,5,5,1,0.336
57692,212069,5,5,1,0.252
57804,160483,5,5,1,0.282
58066,191236,5,5,2,1.188
58066,261014,5,5,1,0.309
58083,191910,5,5,1,0.386
58954,85041,5,5,1,0.167
59098,262064,5,5,1,0.21
59891,35577,5,5,2,0.91
59892,85141,5,5,1,1.179
59892,230716,5,5,4,1.19
60028,189166,5,5,1,0.247
60327,52300,5,5,4,1.671
60502,55729,5,5,4,1.522
60705,52662,5,5,4,3.949
60705,202857,5,5,1,0.441
60705,223113,5,5,3,1.531
60705,231001,5,5,1,0.351
60920,238434,5,5,1,0.234
60921,70459,5,5,2,2.449
60922,250408,5,5,2,1.392
63174,97095,5,5,1,0.47
64463,104,5,5,1,0.612
64463,185940,5,5,2,1.009
65089,72982,5,5,1,0.261
65311,210336,5,5,1,0.228
66194,55192,5,5,1,1.265
66319,66321,5,5,2,0.681
66319,246673,5,5,6,1.642
66321,154256,5,5,2,0.296
66322,146070,5,5,1,0.09
66593,190524,5,5,1,0.246
66816,116600,5,5,1,0.359
67363,158138,5,5,1,0.207
67363,256071,5,5,1,0.878
67975,52052,5,5,1,0.421
68418,252072,5,5,5,2.585
68497,76416,5,5,2,0.387
68497,157047,5,5,1,1.252
69181,247299,5,5,2,0.968
69472,69473,5,5,1,1.026
69473,196655,5,5,1,0.843
69473,250977,5,5,2,1.471
69474,174306,5,5,5,1.646
69474,182319,5,5,4,1.724
69475,35577,5,5,2,0.95
69477,85141,5,5,3,1.518
70459,196225,5,5,1,0.389
70460,242965,5,5,1,0.224
70461,210133,5,5,1,0.315
70462,70460,5,5,1,0.278
70507,11096,5,5,4,1.653
70507,117628,5,5,4,1.605
70636,57804,5,5,1,0.297
71005,143608,5,5,1,0.255
71255,179192,5,5,1,0.242
71255,223563,5,5,1,0.211
71778,156650,5,5,2,0.392
71778,190524,5,5,1,0.081
72264,26309,5,5,1,0.374
72489,108522,5,5,1,0.596
72489,248249,5,5,1,0.303
72645,80826,5,5,1,0.191
72982,81193,5,5,1,0.091
72982,182476,5,5,1,0.392
74145,156272,5,5,1,0.126
74150,76498,5,5,2,0.51
74150,113093,5,5,4,2.038
74150,165158,5,5,8,1.443
74150,229693,5,5,2,0.49
74158,133084,5,5,1,0.252
74746,65311,5,5,1,0.218
75332,234621,5,5,5,2.625
75450,11096,5,5,1,0.258
75863,52052,5,5,1,0.395
75863,60028,5,5,2,0.628
76345,60502,5,5,5,2.839
76345,68418,5,5,4,3.157
76416,221928,5,5,1,1.126
76416,238434,5,5,3,1.462
76416,243625,5,5,3,1.727
76498,92540,5,5,1,0.125
76498,191910,5,5,2,1.333
76984,67975,5,5,4,0.748
76984,219428,5,5,1,0.313
77172,101260,5,5,1,0.205
77172,227428,5,5,2,0.809
77678,199117,5,5,5,2.917
77891,187400,5,5,9,4.581
77891,204308,5,5,1,0.174
77917,207023,5,5,6,2.333
78164,105841,5,5,1,0.241
79087,71005,5,5,1,0.221
79943,45019,5,5,2,0.755
79943,168992,5,5,1,0.167
79943,202840,5,5,10,1.701
79943,223104,5,5,1,0.308
80270,89816,5,5,1,0.513
80404,93549,5,5,2,1.554
80404,251907,5,5,5,2.971
80826,105763,5,5,1,0.289
80826,254808,5,5,1,0.292
81193,77172,5,5,2,0.449
81193,89247,5,5,1,0.128
81813,89816,5,5,1,0.247
81813,103017,5,5,1,0.529
81900,208562,5,5,1,0.212
83495,80404,5,5,2,1.198
83922,190590,5,5,1,0.212
84540,187730,5,5,1,0.108
84540,205713,5,5,1,0.512
84540,229693,5,5,2,1.032
85041,76984,5,5,1,0.159
85141,35577,5,5,5,2.048
85141,59891,5,5,3,1.164
85141,69473,5,5,1,0.558
85157,77172,5,5,1,0.263
85618,77678,5,5,1,0.811
86131,204842,5,5,1,0.669
86131,228690,5,5,1,0.228
86135,157369,5,5,4,1.265
86135,201877,5,5,6,1.887
87029,202513,5,5,1,0.269
87907,185517,5,5,1,0.116
88166,76345,5,5,2,0.518
88602,234819,5,5,3,1.631
88602,248248,5,5,1,1.139
89247,97253,5,5,1,0.335
89816,85157,5,5,1,0.275
89816,227699,5,5,2,0.679
89818,141667,5,5,1,0.125
89821,92674,5,5,1,0.233
90970,107102,5,5,5,1.729
90970,242686,5,5,3,1.255
91571,99613,5,5,1,0.487
92082,79943,5,5,2,0.629
92082,100174,5,5,2,0.798
92082,119742,5,5,1,0.464
92082,177873,5,5,3,1.57
92406,52471,5,5,4,3.162
92540,218970,5,5,1,0.233
92575,168048,5,5,5,4.324
92575,259452,5,5,9,4.839
92674,184221,5,5,1,0.466
93205,175450,5,5,1,0.133
93549,189197,5,5,3,1.937
93915,207023,5,5,4,1.376
94249,220582,5,5,1,1.579
94835,155952,5,5,1,0.192
97095,41883,5,5,5,3.001
97095,191099,5,5,8,5.622
97253,105198,5,5,1,0.342
98683,226806,5,5,4,2.614
98683,262125,5,5,4,2.272
99096,170924,5,5,1,0.248
99096,221922,5,5,1,0.936
99096,254808,5,5,5,0.572
99613,75332,5,5,2,1.223
99658,117348,5,5,3,1.396
99658,235805,5,5,1,0.206
100043,259452,5,5,2,0.753
100174,79943,5,5,5,0.496
100174,179626,5,5,1,0.559
100375,11096,5,5,3,3.236
100375,70507,5,5,5,1.615
100981,71778,5,5,2,0.319
100981,202513,5,5,1,0.347
101260,93205,5,5,1,0.264
101820,136922,5,5,4,0.854
101984,98683,5,5,2,2.148
101984,112846,5,5,4,2.48
101984,168048,5,5,5,4.329
103005,197343,5,5,1,0.247
103017,80270,5,5,1,0.227
104175,66593,5,5,1,0.289
104175,156650,5,5,2,0.77
104175,190524,5,5,1,0.535
104175,200684,5,5,1,0.149
104183,142562,5,5,1,0.344
104183,204843,5,5,1,0.196
104697,206147,5,5,1,0.236
104697,227428,5,5,1,0.44
105198,60920,5,5,1,0.27
105198,77172,5,5,2,0.459
105763,116838,5,5,1,0.235
105841,41883,5,5,5,2.74
105841,123014,5,5,7,5.597
105841,204840,5,5,1,0.359
106513,230896,5,5,1,0.349
107102,212198,5,5,1,3.561
107102,242686,5,5,1,0.562
107218,232608,5,5,1,0.238
107743,226806,5,5,4,2.144
107864,158296,5,5,4,0.439
107864,214545,5,5,1,0.207
108522,116670,5,5,1,1.132
108721,26309,5,5,1,0.391
108721,202035,5,5,1,0.6
109189,100174,5,5,1,0.041
109189,133432,5,5,2,0.752
109189,174388,5,5,6,1.17
109189,261771,5,5,5,1.158
109318,189488,5,5,1,0.171
112846,92575,5,5,4,2.49
112846,254720,5,5,7,4.025
113090,54508,5,5,1,0.388
113091,45019,5,5,1,0.469
113091,214544,5,5,1,0.223
113092,57804,5,5,1,0.365
113093,142564,5,5,1,0.27
113094,222607,5,5,1,0.453
113848,105763,5,5,1,0.173
