ori_node,des_node,ori_layer,des_layer,minutes,km
24800,83122,5,5,5,1.48
24800,242199,5,5,1,0.277
24800,242200,5,5,1,0.425
30501,90988,5,5,1,0.73
30501,177909,5,5,8,3.266
30501,232086,5,5,9,4.061
40260,232081,5,5,15,18.199
56686,163323,5,5,11,8.273
56686,170795,5,5,5,4.241
56686,193259,5,5,7,4.515
60130,114585,5,5,1,0.45
60130,163231,5,5,1,0.197
60740,143428,5,5,3,5.753
60740,183481,5,5,2,4.283
61577,232079,5,5,15,10.891
64200,135239,5,5,8,3.837
64200,170793,5,5,6,3.585
64200,170795,5,5,2,4.331
64200,193259,5,5,7,4.094
75735,83122,5,5,15,8.431
75735,178746,5,5,4,8.867
75735,222204,5,5,2,0.784
75735,245200,5,5,8,6.216
75853,87179,5,5,7,4.127
78439,169500,5,5,1,0.099
83119,87577,5,5,3,0.208
83122,141067,5,5,10,10.37
84615,92028,5,5,3,3.106
85753,233313,5,5,1,1.887
87179,233318,5,5,2,0.72
87179,259521,5,5,7,6.436
87577,231296,5,5,15,18.092
87577,233317,5,5,1,0.372
90988,233315,5,5,1,2.276
92028,186268,5,5,4,7.116
92028,193259,5,5,19,10.819
101263,60130,5,5,1,0.479
101263,222643,5,5,1,0.18
105696,116999,5,5,2,0.396
105696,193259,5,5,1,0.179
105696,236545,5,5,1,0.171
114585,163779,5,5,1,0.35
116999,135239,5,5,1,0.666
116999,170793,5,5,1,0.406
116999,236548,5,5,1,0.246
120304,85753,5,5,5,6.592
120304,250830,5,5,3,2.807
123893,168107,5,5,4,1.704
126078,135247,5,5,7,4.733
126078,141067,5,5,4,3.701
126078,236534,5,5,3,3.71
133629,101263,5,5,8,6.242
133629,141515,5,5,7,5.658
134471,218044,5,5,1,0.326
135239,134471,5,5,1,0.427
135239,135247,5,5,7,0.918
135239,170793,5,5,4,0.523
135239,236545,5,5,2,0.881
135247,134471,5,5,1,0.494
135247,135239,5,5,3,0.918
135247,236545,5,5,2,0.161
139185,257020,5,5,19,15.381
141067,196692,5,5,4,3.698
141067,236535,5,5,1,0.238
141515,83122,5,5,12,7.893
141515,101263,5,5,1,0.583
141515,222204,5,5,2,0.784
141515,245200,5,5,7,5.672
142719,141067,5,5,1,0.24
142719,236534,5,5,1,0.235
143428,146942,5,5,1,0.65
143428,230368,5,5,1,0.632
143429,170795,5,5,3,5.743
146942,169497,5,5,2,0.847
157157,170444,5,5,1,0.605
163231,114585,5,5,1,0.253
163231,163779,5,5,2,0.603
163231,222203,5,5,1,0.081
163323,84615,5,5,3,3.126
163779,83119,5,5,3,0.233
163779,221296,5,5,5,5.377
163779,231295,5,5,17,17.494
163779,259521,5,5,6,2.224
168107,209302,5,5,3,2.137
169497,198591,5,5,1,0.145
169500,230368,5,5,1,0.827
170441,126078,5,5,12,9.168
170441,243072,5,5,1,0.135
170441,246001,5,5,1,0.352
170444,192496,5,5,1,0.602
170444,232082,5,5,15,17.145
170793,134471,5,5,1,0.242
170793,135239,5,5,2,0.523
170793,135247,5,5,2,0.555
170793,218044,5,5,2,0.463
170793,236545,5,5,1,0.611
170795,105696,5,5,1,1.501
173151,231294,5,5,3,3.012
177909,187708,5,5,6,3.082
178746,170441,5,5,1,0.327
178746,243072,5,5,1,0.457
183481,56686,5,5,3,1.361
183481,163323,5,5,3,7.455
185845,245160,5,5,2,1.706
186268,64200,5,5,1,0.332
187708,123893,5,5,4,3.072
188476,163779,5,5,6,1.131
192496,139185,5,5,1,0.536
193259,60740,5,5,3,1.61
193259,116999,5,5,1,0.217
193259,135239,5,5,2,0.869
193259,142719,5,5,1,0.75
193259,170793,5,5,2,0.606
193259,236548,5,5,1,0.462
196473,243070,5,5,1,0.258
196692,170441,5,5,12,9.186
198591,169500,5,5,1,0.161
198591,185845,5,5,4,4.094
198591,227059,5,5,7,4.108
199627,259521,5,5,5,2.169
209302,199627,5,5,7,4.518
218044,236545,5,5,1,0.157
220039,24800,5,5,5,1.494
220039,141515,5,5,12,7.918
221296,233316,5,5,2,2.189
222203,114585,5,5,1,0.243
222203,196473,5,5,1,0.091
222204,60130,5,5,3,0.902
222204,101263,5,5,1,0.765
222204,114585,5,5,5,1.177
222204,141515,5,5,2,0.784
222204,178746,5,5,7,8.922
222204,188476,5,5,1,0.401
222643,60130,5,5,1,0.299
227059,78439,5,5,5,4.162
227059,198591,5,5,7,4.108
227059,245160,5,5,2,1.692
230368,143429,5,5,1,0.634
230368,169497,5,5,2,0.83
231294,231295,5,5,6,5.703
231295,30501,5,5,1,0.673
231295,232081,5,5,1,0.622
231296,87577,5,5,15,18.092
231296,90988,5,5,1,0.676
231296,232082,5,5,5,3.976
232079,61577,5,5,15,10.891
232079,157157,5,5,13,16.058
232079,232082,5,5,1,0.576
232081,232086,5,5,4,4.061
232082,30501,5,5,8,3.977
232082,170444,5,5,15,17.145
232082,231296,5,5,4,3.976
232086,127428,5,5,15,17.043
232086,232079,5,5,1,0.479
232814,242534,5,5,3,2.259
232815,232814,5,5,7,4.488
233313,87577,5,5,3,3.551
233314,75853,5,5,9,4.021
233315,120304,5,5,2,3.38
233316,173151,5,5,1,1.39
233317,196473,5,5,1,0.148
233317,222203,5,5,1,0.178
233317,243070,5,5,1,0.406
233318,259521,5,5,6,5.716
236534,196692,5,5,4,3.706
236534,220039,5,5,10,10.347
236534,236535,5,5,1,0.234
236535,105696,5,5,1,0.572
236545,56686,5,5,10,4.507
236545,60740,5,5,1,1.594
236545,142719,5,5,1,0.742
236548,134471,5,5,1,0.013
236548,170793,5,5,12,0.254
236548,218044,5,5,2,0.316
236548,236545,5,5,2,0.472
237405,75735,5,5,1,0.213
242186,133629,5,5,1,1.227
242199,227059,5,5,2,1.689
242200,242186,5,5,1,0.278
242200,245227,5,5,1,0.105
242534,242535,5,5,4,1.634
242535,242536,5,5,6,3.117
242536,242537,5,5,4,3.019
242537,30501,5,5,8,3.302
243070,75735,5,5,1,0.498
243070,222204,5,5,3,0.907
243070,237405,5,5,1,0.285
245160,24800,5,5,1,0.268
245200,245227,5,5,1,1.408
245200,245234,5,5,1,1.27
245227,24800,5,5,1,0.531
245227,242186,5,5,1,0.175
245234,245227,5,5,1,0.138
246001,101263,5,5,9,8.901
246001,222204,5,5,7,8.906
250830,85753,5,5,4,3.797
257020,232082,5,5,2,0.757
259521,87577,5,5,8,2.28
259521,221296,5,5,8,5.647
259521,232815,5,5,5,2.116
259521,233314,5,5,7,6.618
