ori_node,des_node,ori_layer,des_layer,minutes,km
4,17164,5,5,1,0.081
4,160137,5,5,1,0.105
5,15224,5,5,1,0.592
5,50480,5,5,1,0.233
143,144,5,5,1,0.287
143,19077,5,5,1,0.424
144,143,5,5,1,0.287
144,145,5,5,1,0.47
144,5187,5,5,1,0.41
144,57338,5,5,13,9.811
144,95590,5,5,21,7.813
145,144,5,5,1,0.47
145,903,5,5,1,0.207
147,19077,5,5,1,0.411
147,66947,5,5,2,2.128
149,150,5,5,1,0.215
149,254747,5,5,1,0.298
150,149,5,5,1,0.215
150,151,5,5,1,0.214
151,150,5,5,1,0.214
151,152,5,5,1,0.149
152,151,5,5,1,0.149
152,34344,5,5,1,0.277
165,166,5,5,1,0.221
165,168,5,5,1,0.203
165,32563,5,5,1,0.935
166,165,5,5,1,0.221
166,169,5,5,1,0.68
166,32563,5,5,1,0.717
167,168,5,5,1,0.178
167,137112,5,5,1,0.31
168,165,5,5,1,0.203
168,167,5,5,1,0.178
169,166,5,5,1,0.68
169,118464,5,5,1,0.441
169,119370,5,5,2,0.566
386,64966,5,5,2,1.351
386,152064,5,5,1,0.527
903,145,5,5,1,0.207
903,111753,5,5,14,4.956
903,157259,5,5,4,3.98
1539,155022,5,5,1,0.251
1539,155025,5,5,1,0.203
1541,18036,5,5,15,10.597
1541,59003,5,5,1,0.251
1541,230535,5,5,4,1.027
1542,1541,5,5,1,0.322
1542,47225,5,5,1,0.26
1542,59003,5,5,1,0.18
1542,68647,5,5,1,0.229
1952,9459,5,5,1,0.204
1952,49604,5,5,1,0.125
1953,16355,5,5,1,0.54
1953,49604,5,5,1,0.174
1954,1957,5,5,1,0.238
1954,11783,5,5,2,0.943
1954,28540,5,5,1,0.201
1956,1957,5,5,1,0.28
1956,11754,5,5,1,0.21
1957,1954,5,5,1,0.238
1957,1956,5,5,1,0.28
2697,13350,5,5,3,1.971
2697,24291,5,5,5,3.856
2697,33453,5,5,1,0.68
2970,24538,5,5,1,0.553
2970,32779,5,5,1,0.376
2970,48144,5,5,12,8.156
3612,3612,5,5,1,0
3612,17164,5,5,1,0.577
3612,18031,5,5,1,0.5
3612,48805,5,5,1,0.647
3612,199363,5,5,1,0.259
4160,17026,5,5,1,0.281
4160,234395,5,5,1,0.208
4368,35030,5,5,1,0.278
4368,48598,5,5,1,0.146
5187,144,5,5,2,0.41
5187,105713,5,5,4,3.784
5246,32561,5,5,1,0.262
5246,32562,5,5,1,0.17
