node,layer,lat,lon,degree,geometry
4,5,55.56366,-4.64217,4,"-4.64217, 55.56366"
5,5,55.52239,-4.59326,4,"-4.59326, 55.52239"
143,5,55.44399,-4.5093,4,"-4.5093, 55.44399"
144,5,55.44389,-4.51386,10,"-4.51386, 55.44389"
145,5,55.44607,-4.52026,4,"-4.52026, 55.44607"
147,5,55.44657,-4.49683,4,"-4.49683, 55.44657"
149,5,55.47397,-4.52404,4,"-4.52404, 55.47397"
150,5,55.4756,-4.52218,4,"-4.52218, 55.4756"
151,5,55.47724,-4.52037,4,"-4.52037, 55.47724"
152,5,55.47851,-4.51958,4,"-4.51958, 55.47851"
165,5,55.45746,-4.23959,6,"-4.23959, 55.45746"
166,5,55.45737,-4.24311,6,"-4.24311, 55.45737"
167,5,55.45646,-4.23384,4,"-4.23384, 55.45646"
168,5,55.4567,-4.23664,4,"-4.23664, 55.4567"
169,5,55.46174,-4.23553,5,"-4.23553, 55.46174"
386,5,55.53457,-4.6409,4,"-4.6409, 55.53457"
903,5,55.44687,-4.52323,5,"-4.52323, 55.44687"
1539,5,55.35675,-4.49939,4,"-4.49939, 55.35675"
1541,5,55.32539,-4.39702,6,"-4.39702, 55.32539"
1542,5,55.32309,-4.40014,7,"-4.40014, 55.32309"
1952,5,55.4779,-4.61629,4,"-4.61629, 55.4779"
1953,5,55.47529,-4.61751,4,"-4.61751, 55.47529"
1954,5,55.49374,-4.59839,5,"-4.59839, 55.49374"
1956,5,55.49678,-4.59671,4,"-4.59671, 55.49678"
1957,5,55.49449,-4.59483,4,"-4.59483, 55.49449"
2697,5,55.4258,-4.61944,6,"-4.61944, 55.4258"
2970,5,55.39776,-4.18373,8,"-4.18373, 55.39776"
3612,5,55.56105,-4.65113,18,"-4.65113, 55.56105"
4160,5,55.45231,-4.61158,4,"-4.61158, 55.45231"
4368,5,55.44935,-4.63925,4,"-4.63925, 55.44935"
5187,5,55.44063,-4.51693,4,"-4.51693, 55.44063"
5246,5,55.45393,-4.25959,4,"-4.25959, 55.45393"
5510,5,55.48149,-4.6131,4,"-4.6131, 55.48149"
5648,5,55.48556,-4.61177,4,"-4.61177, 55.48556"
6344,5,55.58771,-4.60095,4,"-4.60095, 55.58771"
6618,5,55.49205,-4.60479,4,"-4.60479, 55.49205"
6715,5,55.51404,-4.38373,5,"-4.38373, 55.51404"
6728,5,55.48755,-4.52578,5,"-4.52578, 55.48755"
6880,5,55.47067,-4.61426,4,"-4.61426, 55.47067"
6933,5,55.45129,-4.60425,5,"-4.60425, 55.45129"
6971,5,55.39778,-4.58852,4,"-4.58852, 55.39778"
7391,5,55.43682,-4.4622,4,"-4.4622, 55.43682"
7417,5,55.58016,-4.59755,6,"-4.59755, 55.58016"
7613,5,55.4942,-4.60441,8,"-4.60441, 55.4942"
7961,5,55.48999,-4.61151,4,"-4.61151, 55.48999"
8294,5,55.44521,-4.62275,4,"-4.62275, 55.44521"
8751,5,55.35421,-4.69364,4,"-4.69364, 55.35421"
9022,5,55.39077,-4.194,4,"-4.194, 55.39077"
9023,5,55.39348,-4.18062,6,"-4.18062, 55.39348"
9024,5,55.39323,-4.17789,6,"-4.17789, 55.39323"
9450,5,55.49291,-4.60741,4,"-4.60741, 55.49291"
9452,5,55.49607,-4.60201,4,"-4.60201, 55.49607"
9453,5,55.49808,-4.59978,5,"-4.59978, 55.49808"
9455,5,55.48841,-4.61173,4,"-4.61173, 55.48841"
9457,5,55.49158,-4.61028,4,"-4.61028, 55.49158"
9459,5,55.47956,-4.61488,4,"-4.61488, 55.47956"
9462,5,55.3259,-4.64212,4,"-4.64212, 55.3259"
9733,5,55.43413,-4.46338,4,"-4.46338, 55.43413"
9738,5,55.41691,-4.43063,5,"-4.43063, 55.41691"
9739,5,55.43743,-4.45872,7,"-4.45872, 55.43743"
9740,5,55.41995,-4.41967,2,"-4.41967, 55.41995"
9741,5,55.4354,-4.46431,6,"-4.46431, 55.4354"
10448,5,55.44732,-4.62222,4,"-4.62222, 55.44732"
10823,5,55.44266,-4.61837,4,"-4.61837, 55.44266"
11476,5,55.54855,-4.65192,4,"-4.65192, 55.54855"
11526,5,55.50969,-4.33762,4,"-4.33762, 55.50969"
11528,5,55.50341,-4.32272,6,"-4.32272, 55.50341"
11754,5,55.49815,-4.59903,5,"-4.59903, 55.49815"
11783,5,55.48618,-4.60525,5,"-4.60525, 55.48618"
12039,5,55.4065,-4.75795,4,"-4.75795, 55.4065"
12047,5,55.54591,-4.66286,5,"-4.66286, 55.54591"
12067,5,55.50298,-4.59851,4,"-4.59851, 55.50298"
12280,5,55.39885,-4.58483,6,"-4.58483, 55.39885"
12354,5,55.43074,-4.65505,5,"-4.65505, 55.43074"
12698,5,55.55251,-4.64033,4,"-4.64033, 55.55251"
12699,5,55.55003,-4.63618,5,"-4.63618, 55.55003"
12700,5,55.54803,-4.63492,4,"-4.63492, 55.54803"
12701,5,55.55473,-4.64135,6,"-4.64135, 55.55473"
13110,5,55.48437,-4.60607,4,"-4.60607, 55.48437"
13349,5,55.45505,-4.5914,5,"-4.5914, 55.45505"
13350,5,55.43537,-4.59307,10,"-4.59307, 55.43537"
13351,5,55.4505,-4.60815,5,"-4.60815, 55.4505"
13553,5,55.55452,-4.65421,4,"-4.65421, 55.55452"
13571,5,55.55184,-4.6568,4,"-4.6568, 55.55184"
13914,5,55.56935,-4.63936,4,"-4.63936, 55.56935"
14708,5,55.43299,-4.46334,4,"-4.46334, 55.43299"
14711,5,55.43729,-4.4579,6,"-4.4579, 55.43729"
15224,5,55.51835,-4.59943,4,"-4.59943, 55.51835"
