ori_node,des_node,ori_layer,des_layer,minutes,km
106,13966,5,5,4,2.628
106,30865,5,5,2,1.138
2128,10683,5,5,5,2.738
2128,49821,5,5,4,3.824
2503,50498,5,5,6,3.466
2503,254859,5,5,1,0.176
2798,33982,5,5,1,0.278
2798,49810,5,5,1,0.141
3023,9042,5,5,15,8.965
3023,18083,5,5,5,2.866
3023,37719,5,5,1,0.302
3023,69331,5,5,4,2.322
3023,76604,5,5,3,3.005
3023,227438,5,5,2,2.17
3499,3499,5,5,1,0
3499,23982,5,5,1,0.637
3499,119555,5,5,3,2.15
4815,21525,5,5,1,0.301
4815,25251,5,5,1,0.253
4815,136422,5,5,1,0.296
4815,259847,5,5,1,0.174
5785,25242,5,5,6,3.517
5785,45780,5,5,6,2.409
7099,10839,5,5,1,0.245
7099,25232,5,5,1,0.149
8160,27250,5,5,5,3.839
8160,31342,5,5,5,2.703
8160,39817,5,5,3,1.433
9042,3023,5,5,15,8.965
9042,9042,5,5,5,0
9042,50683,5,5,15,6.128
9042,53994,5,5,1,1.111
9042,67215,5,5,5,4.503
9042,90294,5,5,2,0.333
9042,101643,5,5,1,1.044
9042,103754,5,5,4,2.99
9042,125080,5,5,7,4.163
9042,135337,5,5,7,4.194
9042,149768,5,5,5,1.653
9042,158167,5,5,3,0.391
9042,195141,5,5,2,1.16
9042,210250,5,5,2,1.358
9042,230694,5,5,9,3.79
9042,244391,5,5,1,0.699
9042,252792,5,5,1,0.381
9042,254927,5,5,1,0.71
9637,32127,5,5,1,0.228
9637,38142,5,5,1,0.42
10683,2128,5,5,5,2.738
10683,50498,5,5,5,1.609
10684,12770,5,5,7,4.535
10684,30865,5,5,9,4.791
10684,31258,5,5,5,3.294
10839,7099,5,5,1,0.245
10839,18679,5,5,1,0.179
11693,26781,5,5,1,0.246
11693,34533,5,5,3,1.241
11695,22848,5,5,3,1.594
11695,26577,5,5,1,0.354
12770,10684,5,5,7,4.535
12770,50683,5,5,4,1.634
13083,30659,5,5,3,1.311
13083,150968,5,5,4,2.172
13966,106,5,5,4,2.628
13966,27250,5,5,4,2.767
13966,31342,5,5,3,1.388
18083,3023,5,5,5,2.866
18083,19063,5,5,1,0.594
18083,19987,5,5,3,4.392
18083,205459,5,5,19,11.436
18679,10839,5,5,2,0.179
18679,28450,5,5,1,0.303
19063,18083,5,5,1,0.594
