node,layer,lat,lon,degree,geometry
106,5,52.13884,-1.15955,4,"-1.15955, 52.13884"
2128,5,52.09736,-1.22727,4,"-1.22727, 52.09736"
2503,5,52.08917,-1.14434,4,"-1.14434, 52.08917"
2798,5,52.07187,-1.26274,4,"-1.26274, 52.07187"
3023,5,51.99507,-1.25079,13,"-1.25079, 51.99507"
3499,5,52.02135,-1.28093,16,"-1.28093, 52.02135"
4815,5,52.02524,-1.14991,8,"-1.14991, 52.02524"
5785,5,52.05991,-1.17723,4,"-1.17723, 52.05991"
7099,5,52.03002,-1.15572,4,"-1.15572, 52.03002"
8160,5,52.1064,-1.08621,6,"-1.08621, 52.1064"
9042,5,52.06031,-1.32813,79,"-1.32813, 52.06031"
9637,5,52.03545,-1.15031,4,"-1.15031, 52.03545"
10683,5,52.1164,-1.20173,4,"-1.20173, 52.1164"
10684,5,52.11873,-1.20902,6,"-1.20902, 52.11873"
10839,5,52.03017,-1.15213,4,"-1.15213, 52.03017"
11693,5,52.08981,-1.28142,4,"-1.28142, 52.08981"
11695,5,52.13537,-1.2729,4,"-1.2729, 52.13537"
12770,5,52.07827,-1.21821,4,"-1.21821, 52.07827"
13083,5,52.16531,-1.29937,4,"-1.29937, 52.16531"
13966,5,52.11799,-1.14129,6,"-1.14129, 52.11799"
18083,5,51.99798,-1.20913,8,"-1.20913, 51.99798"
18679,5,52.02893,-1.15045,4,"-1.15045, 52.02893"
19063,5,51.99732,-1.2005,4,"-1.2005, 51.99732"
19381,5,52.05314,-1.11767,5,"-1.11767, 52.05314"
19987,5,52.00874,-1.14728,10,"-1.14728, 52.00874"
19988,5,52.05365,-1.21971,4,"-1.21971, 52.05365"
20834,5,52.02087,-1.23214,4,"-1.23214, 52.02087"
21525,5,52.02781,-1.1485,21,"-1.1485, 52.02781"
21563,5,52.05288,-1.218,6,"-1.218, 52.05288"
22002,5,52.19959,-1.22099,4,"-1.22099, 52.19959"
22848,5,52.14877,-1.26448,6,"-1.26448, 52.14877"
23981,5,52.02258,-1.26743,4,"-1.26743, 52.02258"
23982,5,52.02185,-1.27164,4,"-1.27164, 52.02185"
