ori_node,des_node,ori_layer,des_layer,minutes,km
1677,1677,5,5,1,0
1677,68291,5,5,1,0.363
1677,137905,5,5,1,0.269
1677,222273,5,5,1,0.343
7569,103072,5,5,6,2.876
7569,108616,5,5,1,0.172
7569,174080,5,5,4,5.554
7569,174083,5,5,1,0.178
7569,210875,5,5,5,2.864
7569,233363,5,5,1,0.633
7569,233368,5,5,5,3.119
11992,202156,5,5,1,0.62
11992,252213,5,5,1,0.802
30128,30128,5,5,1,0
30128,118700,5,5,5,1.715
30128,124898,5,5,1,0.391
30128,128367,5,5,8,2.211
30128,148291,5,5,4,0.904
30128,158152,5,5,3,0.87
30128,158156,5,5,4,0.901
30128,164304,5,5,1,0.412
30128,233650,5,5,1,0.335
30128,252696,5,5,1,0.3
31344,31344,5,5,1,0
31344,116426,5,5,2,0.568
31344,126243,5,5,2,0.711
31344,137903,5,5,17,8.647
31344,138142,5,5,1,0.468
31344,154955,5,5,15,21.751
31344,163027,5,5,1,0.347
31344,173441,5,5,1,0.425
31344,173442,5,5,3,0.463
31344,173443,5,5,2,0.515
31344,238211,5,5,6,3.384
35514,60002,5,5,1,0.284
35514,219368,5,5,4,2.555
35514,252219,5,5,1,0.736
40242,40242,5,5,1,0
40242,119441,5,5,1,0.264
40242,152081,5,5,1,0.714
40242,152082,5,5,2,0.537
40242,173324,5,5,1,0.272
40242,202163,5,5,1,0.618
51550,109522,5,5,1,0.329
51551,62276,5,5,5,2.754
51551,93912,5,5,2,0.751
51551,218865,5,5,2,0.884
51551,261226,5,5,10,6.01
51552,51553,5,5,1,0.285
51552,164465,5,5,5,3.596
51552,210039,5,5,4,3.421
51553,158789,5,5,1,0.507
51554,109522,5,5,1,0.626
51555,150655,5,5,1,0.499
51555,173327,5,5,2,0.33
51805,152089,5,5,6,2.1
51805,192807,5,5,5,3.025
51807,51555,5,5,1,0.297
51807,109522,5,5,2,0.402
51808,84414,5,5,5,1.963
51808,109520,5,5,2,1.537
51808,241798,5,5,5,1.685
51833,81716,5,5,1,0.356
52081,128380,5,5,1,0.224
52082,203455,5,5,1,0.576
52333,94505,5,5,5,2.303
52333,191266,5,5,2,1.776
54003,258917,5,5,1,0.485
54016,62276,5,5,1,0.904
54020,218862,5,5,2,1.435
54030,202371,5,5,1,0.237
54030,202372,5,5,2,0.707
54030,221972,5,5,1,0.715
54063,54016,5,5,1,0.084
54401,138328,5,5,1,0.458
54966,31344,5,5,1,0.469
55214,73684,5,5,1,1.907
55215,55214,5,5,1,1.011
55216,55215,5,5,1,0.676
55216,55219,5,5,7,5.25
55216,227175,5,5,8,5.693
55216,256442,5,5,1,0.361
55217,213226,5,5,1,0.218
55217,239726,5,5,3,1.74
55219,117182,5,5,1,0.294
55589,152377,5,5,10,2.616
55589,232068,5,5,5,2.796
55844,63740,5,5,2,0.387
55844,231612,5,5,3,1.008
55844,257965,5,5,1,0.812
55847,181478,5,5,5,2.409
55847,208749,5,5,1,0.625
55847,220225,5,5,3,1.909
56806,187515,5,5,2,0.251
56807,100285,5,5,1,0.164
56808,100286,5,5,1,0.164
56809,74251,5,5,3,0.742
56809,142327,5,5,1,0.505
56810,56809,5,5,1,0.345
56811,85728,5,5,2,0.633
56811,142331,5,5,1,0.08
56812,66430,5,5,1,1.111
56813,246791,5,5,1,0.166
56814,118714,5,5,2,1.084
56984,31344,5,5,2,0.332
56984,156495,5,5,4,1.204
57010,192810,5,5,1,0.577
57010,209092,5,5,4,1.889
57011,202593,5,5,1,0.567
57012,220507,5,5,5,3.95
57012,224560,5,5,6,3.878
57013,202589,5,5,2,1.758
57013,251305,5,5,1,0.808
57013,262164,5,5,1,0.07
57014,85965,5,5,1,0.414
57015,143557,5,5,1,0.572
57016,57014,5,5,1,0.536
57017,57013,5,5,1,0.58
57017,202589,5,5,3,2.017
57018,54003,5,5,1,0.571
57172,65434,5,5,5,3.185
57172,98455,5,5,4,3.193
57172,237967,5,5,5,3.159
57280,248146,5,5,1,0.358
57283,202127,5,5,3,1.535
57283,251068,5,5,1,0.898
57284,238656,5,5,2,1.777
57285,260351,5,5,1,0.835
57286,243990,5,5,1,0.721
57287,81699,5,5,2,1.677
57287,248146,5,5,3,1.831
57642,247229,5,5,1,0.17
57750,54966,5,5,1,0.103
58469,109771,5,5,4,2.654
58494,247494,5,5,1,0.129
58495,207902,5,5,1,0.706
58496,58498,5,5,1,0.914
58496,152373,5,5,1,0.897
58497,225467,5,5,2,0.168
58498,236707,5,5,2,1.071
58499,124440,5,5,1,0.623
58501,58496,5,5,1,0.555
58501,58497,5,5,1,0.262
58501,225467,5,5,1,0.427
58502,58499,5,5,1,0.126
58624,142196,5,5,2,1.437
58624,143305,5,5,5,3.326
58625,58624,5,5,1,0.207
58625,58626,5,5,1,0.292
58626,58627,5,5,1,0.174
58627,58628,5,5,1,0.179
58628,11992,5,5,2,0.627
58630,94811,5,5,2,1.249
58630,197007,5,5,1,0.389
59624,57285,5,5,1,0.666
59624,260351,5,5,1,1.129
59855,128378,5,5,1,0.264
59858,208917,5,5,1,0.2
59859,59858,5,5,1,0.277
59860,257904,5,5,1,0.754
59862,59859,5,5,1,0.767
59863,193608,5,5,1,1.046
59864,189252,5,5,1,1.015
60002,35514,5,5,1,0.284
60002,60004,5,5,5,2.276
60002,219368,5,5,2,2.273
60002,252219,5,5,1,0.639
60003,238214,5,5,1,0.095
60004,102333,5,5,2,1.27
60004,137905,5,5,2,1.337
60005,57642,5,5,2,1.263
60005,137903,5,5,4,2.613
60005,178113,5,5,1,2.556
60006,35514,5,5,1,0.738
60006,60002,5,5,1,0.643
60007,69602,5,5,1,0.179
60768,93906,5,5,5,2.914
60768,139865,5,5,5,3.553
60768,230564,5,5,5,2.628
61253,61262,5,5,5,2.406
61253,61263,5,5,4,0.925
61254,210535,5,5,1,0.226
61256,51550,5,5,1,0.749
61257,61256,5,5,1,0.91
61258,58469,5,5,1,1.098
61260,261226,5,5,1,0.367
61262,109774,5,5,1,0.393
61262,139860,5,5,1,0.686
61263,61262,5,5,5,1.513
61263,246597,5,5,1,0.492
62276,72013,5,5,2,1.444
62276,171913,5,5,3,2.525
63740,55844,5,5,2,0.387
63740,149062,5,5,1,0.834
63740,158790,5,5,1,0.172
63740,211994,5,5,5,2.786
63740,215863,5,5,1,0.299
63740,231612,5,5,3,1.015
63740,238656,5,5,2,2.284
63740,238658,5,5,2,2.294
63740,253879,5,5,1,0.32
63740,257965,5,5,1,0.919
64140,139865,5,5,6,3.8
64140,164465,5,5,6,4.299
64140,202371,5,5,5,2.762
65247,203458,5,5,1,0.775
65307,153437,5,5,1,0.188
65308,137904,5,5,1,0.073
65309,107492,5,5,7,4.058
65309,152085,5,5,5,4.003
65434,237973,5,5,5,2.379
65435,202593,5,5,3,1.894
65439,136114,5,5,1,0.612
65440,201032,5,5,4,0.779
65935,74837,5,5,1,0.35
65935,237218,5,5,1,0.172
66173,66174,5,5,1,0.13
66174,66180,5,5,1,0.239
66174,172433,5,5,1,0.446
66174,246276,5,5,1,0.23
66175,66174,5,5,1,0.172
66175,66176,5,5,4,0.093
66175,107043,5,5,7,3.894
66175,142444,5,5,5,2.725
66176,66174,5,5,1,0.096
66176,128367,5,5,10,10.707
66176,172433,5,5,1,0.508
66180,172433,5,5,1,0.21
66180,182305,5,5,2,0.169
66180,218667,5,5,2,0.255
66180,256229,5,5,1,0.098
66181,185345,5,5,1,0.389
66430,119287,5,5,1,0.211
66431,142886,5,5,2,1.329
66432,56812,5,5,2,1.374
66433,56811,5,5,2,1.242
66433,85728,5,5,5,1.864
66434,142887,5,5,1,0.975
66629,143557,5,5,1,0.333
66629,221064,5,5,2,0.719
66630,209090,5,5,1,0.441
66631,66630,5,5,1,0.37
66632,202594,5,5,1,0.325
66633,76495,5,5,1,0.309
66634,127930,5,5,1,0.09
66635,57012,5,5,2,1.953
66801,194779,5,5,1,0.112
67005,65307,5,5,1,0.26
67006,51555,5,5,1,0.246
67196,128383,5,5,1,0.251
68147,256401,5,5,2,1.098
68148,172436,5,5,3,1.089
68149,216053,5,5,1,0.264
68151,116697,5,5,1,0.58
68151,234976,5,5,1,0.461
68152,214085,5,5,1,0.114
68154,152933,5,5,1,0.072
68287,153726,5,5,1,0.447
68291,102321,5,5,1,0.491
68293,153733,5,5,1,0.192
68447,204382,5,5,2,0.511
69235,248729,5,5,1,0.32
69447,56811,5,5,1,0.627
69447,238163,5,5,1,0.327
69448,85728,5,5,1,0.322
69449,66431,5,5,1,1.143
69450,69449,5,5,1,0.319
69451,69453,5,5,1,0.265
69451,248077,5,5,1,0.727
69452,74245,5,5,1,0.063
69452,74249,5,5,1,0.108
69452,74251,5,5,1,0.288
69452,132896,5,5,1,0.561
69453,84035,5,5,1,0.53
69454,69452,5,5,1,0.663
69454,74249,5,5,2,0.754
69456,69454,5,5,1,0.637
69456,257907,5,5,1,0.59
69599,71366,5,5,1,0.007
69599,200886,5,5,1,1.61
69601,253885,5,5,1,0.112
69602,218968,5,5,1,0.085
69605,57015,5,5,2,0.525
69605,66631,5,5,1,0.296
69605,105280,5,5,1,0.127
70725,127681,5,5,1,1.072
70736,171733,5,5,1,0.259
70758,201031,5,5,3,0.638
71366,257746,5,5,1,0.497
71718,256445,5,5,1,0.224
71745,204385,5,5,5,1.562
72013,171913,5,5,2,1.291
73217,221611,5,5,1,0.39
73558,208734,5,5,2,1.197
73684,117182,5,5,1,1.981
73684,227175,5,5,2,2.144
74245,132899,5,5,1,0.441
74246,248079,5,5,2,1.21
74248,123083,5,5,1,0.23
74249,78328,5,5,1,0.224
74249,228447,5,5,1,0.682
74250,96087,5,5,2,1.798
74250,224017,5,5,2,1.861
74251,248077,5,5,1,0.561
74251,248473,5,5,1,0.284
74252,191226,5,5,1,0.692
74268,74724,5,5,5,2.184
74724,117889,5,5,1,0.339
74724,188691,5,5,1,1.963
74837,116163,5,5,1,0.149
74837,202745,5,5,1,0.147
74840,63740,5,5,2,0.638
74840,149057,5,5,1,0.449
74841,57280,5,5,1,0.726
74841,235021,5,5,1,1.011
74841,248146,5,5,1,1.071
74844,158792,5,5,1,0.525
74845,57287,5,5,1,0.218
74845,153954,5,5,2,2.283
74845,200175,5,5,4,2.003
74846,220507,5,5,4,3.89
74847,107491,5,5,1,0.701
74847,107492,5,5,2,1.764
74848,115352,5,5,6,2.088
75629,142447,5,5,1,0.356
76046,203456,5,5,1,0.255
76114,218663,5,5,1,0.22
76495,57015,5,5,2,0.705
76495,57016,5,5,1,0.434
76495,66631,5,5,1,0.703
76496,57016,5,5,1,0.236
76496,105280,5,5,1,0.279
76497,148681,5,5,1,0.455
76499,230564,5,5,4,4.384
76617,230054,5,5,1,0.086
76619,142190,5,5,1,0.197
77709,169213,5,5,4,1.758
78328,191226,5,5,1,0.213
78822,78830,5,5,1,0.091
78823,127531,5,5,1,0.496
78824,251479,5,5,1,0.491
78825,108618,5,5,1,0.323
78826,78825,5,5,1,0.142
78829,251486,5,5,1,0.248
78830,251487,5,5,1,0.254
79365,202591,5,5,3,3.948
79365,202592,5,5,4,3.895
79538,79539,5,5,1,0.417
79539,185122,5,5,2,0.655
79540,79541,5,5,1,1.658
79541,69235,5,5,1,0.147
79542,248730,5,5,1,0.127
79543,185114,5,5,1,0.126
79665,94528,5,5,1,0.384
79665,136084,5,5,1,0.408
79665,201031,5,5,6,0.487
79665,201033,5,5,4,1.745
79665,208747,5,5,1,0.415
81699,144093,5,5,1,1.415
81699,220153,5,5,1,0.433
81710,94232,5,5,1,0.183
81716,63740,5,5,1,0.322
82672,172803,5,5,2,1.447
84009,40242,5,5,1,0.317
84013,218863,5,5,1,0.947
84032,157239,5,5,1,0.39
84033,248081,5,5,1,0.22
84033,249861,5,5,1,0.302
84034,103545,5,5,1,0.265
84035,84036,5,5,1,0.991
84035,144580,5,5,1,0.551
84036,59863,5,5,1,0.407
84036,144578,5,5,1,0.332
84414,84013,5,5,1,2.512
84414,119445,5,5,3,1.978
84414,124895,5,5,1,0.716
84414,162472,5,5,2,0.642
84414,172439,5,5,8,6.06
84414,241798,5,5,1,0.278
84414,243422,5,5,5,1.73
84414,247555,5,5,1,0.656
84414,256232,5,5,1,0.16
84512,71718,5,5,16,10.936
84512,84414,5,5,6,6.049
84512,107043,5,5,1,0.512
