node,layer,lat,lon,degree,geometry
229,5,53.56031,-1.47252,10,"-1.47252, 53.56031"
230,5,53.56352,-1.47093,6,"-1.47093, 53.56352"
231,5,53.56531,-1.47171,6,"-1.47171, 53.56531"
232,5,53.5832,-1.50837,4,"-1.50837, 53.5832"
236,5,53.56778,-1.47234,4,"-1.47234, 53.56778"
286,5,53.51919,-1.47418,5,"-1.47418, 53.51919"
845,5,53.54171,-1.47997,4,"-1.47997, 53.54171"
859,5,53.54192,-1.47826,7,"-1.47826, 53.54192"
872,5,53.5417,-1.47571,4,"-1.47571, 53.5417"
884,5,53.56371,-1.45291,7,"-1.45291, 53.56371"
930,5,53.51506,-1.54878,6,"-1.54878, 53.51506"
932,5,53.53958,-1.52056,7,"-1.52056, 53.53958"
936,5,53.53709,-1.5198,4,"-1.5198, 53.53709"
996,5,53.57501,-1.41349,5,"-1.41349, 53.57501"
1029,5,53.58211,-1.41342,4,"-1.41342, 53.58211"
1044,5,53.56952,-1.40863,4,"-1.40863, 53.56952"
1068,5,53.56753,-1.40591,4,"-1.40591, 53.56753"
1332,5,53.52596,-1.40551,5,"-1.40551, 53.52596"
1462,5,53.56303,-1.4916,4,"-1.4916, 53.56303"
1487,5,53.56439,-1.4984,9,"-1.4984, 53.56439"
1777,5,53.59684,-1.38547,9,"-1.38547, 53.59684"
1784,5,53.5955,-1.38345,8,"-1.38345, 53.5955"
1797,5,53.59834,-1.41455,3,"-1.41455, 53.59834"
1879,5,53.50335,-1.4086,7,"-1.4086, 53.50335"
2020,5,53.53795,-1.46518,5,"-1.46518, 53.53795"
2021,5,53.53568,-1.47354,4,"-1.47354, 53.53568"
2034,5,53.53458,-1.47553,6,"-1.47553, 53.53458"
2039,5,53.54026,-1.46802,4,"-1.46802, 53.54026"
2063,5,53.50078,-1.44643,6,"-1.44643, 53.50078"
2064,5,53.5091,-1.44045,6,"-1.44045, 53.5091"
2065,5,53.50855,-1.442,8,"-1.442, 53.50855"
2067,5,53.50879,-1.43966,4,"-1.43966, 53.50879"
2272,5,53.57861,-1.45925,4,"-1.45925, 53.57861"
2276,5,53.50901,-1.37967,4,"-1.37967, 53.50901"
2605,5,53.55961,-1.48677,4,"-1.48677, 53.55961"
2612,5,53.56362,-1.49389,4,"-1.49389, 53.56362"
2621,5,53.56563,-1.50249,4,"-1.50249, 53.56563"
2739,5,53.52712,-1.46882,8,"-1.46882, 53.52712"
2741,5,53.53204,-1.46763,4,"-1.46763, 53.53204"
2742,5,53.53288,-1.47336,4,"-1.47336, 53.53288"
2743,5,53.53505,-1.46456,5,"-1.46456, 53.53505"
2745,5,53.52647,-1.47038,10,"-1.47038, 53.52647"
2746,5,53.53149,-1.47208,6,"-1.47208, 53.53149"
2747,5,53.52879,-1.47108,9,"-1.47108, 53.52879"
2748,5,53.52982,-1.46931,5,"-1.46931, 53.52982"
2929,5,53.53363,-1.67966,4,"-1.67966, 53.53363"
2930,5,53.51075,-1.67997,4,"-1.67997, 53.51075"
2931,5,53.51139,-1.67171,4,"-1.67171, 53.51139"
3322,5,53.51776,-1.32897,6,"-1.32897, 53.51776"
3357,5,53.52343,-1.32232,4,"-1.32232, 53.52343"
3744,5,53.60048,-1.55175,5,"-1.55175, 53.60048"
3907,5,53.52809,-1.31636,4,"-1.31636, 53.52809"
3908,5,53.52481,-1.3167,5,"-1.3167, 53.52481"
3911,5,53.52281,-1.31849,4,"-1.31849, 53.52281"
3912,5,53.52033,-1.32468,4,"-1.32468, 53.52033"
4064,5,53.56701,-1.43202,5,"-1.43202, 53.56701"
4070,5,53.55424,-1.45465,4,"-1.45465, 53.55424"
4253,5,53.59574,-1.44538,8,"-1.44538, 53.59574"
4267,5,53.55004,-1.51135,8,"-1.51135, 53.55004"
4270,5,53.59294,-1.45199,4,"-1.45199, 53.59294"
4276,5,53.5954,-1.45031,6,"-1.45031, 53.5954"
4336,5,53.53358,-1.71519,4,"-1.71519, 53.53358"
4345,5,53.51072,-1.70398,14,"-1.70398, 53.51072"
4656,5,53.50877,-1.31159,4,"-1.31159, 53.50877"
4686,5,53.54104,-1.45974,4,"-1.45974, 53.54104"
4690,5,53.54584,-1.44315,10,"-1.44315, 53.54584"
5081,5,53.58443,-1.5175,7,"-1.5175, 53.58443"
5086,5,53.56814,-1.54592,6,"-1.54592, 53.56814"
5087,5,53.56816,-1.53417,8,"-1.53417, 53.56816"
5388,5,53.52734,-1.64998,7,"-1.64998, 53.52734"
5389,5,53.51938,-1.63227,4,"-1.63227, 53.51938"
5393,5,53.52575,-1.66409,6,"-1.66409, 53.52575"
5476,5,53.50979,-1.36549,5,"-1.36549, 53.50979"
5478,5,53.5085,-1.3654,4,"-1.3654, 53.5085"
5900,5,53.51113,-1.37079,6,"-1.37079, 53.51113"
6322,5,53.53885,-1.60003,5,"-1.60003, 53.53885"
6323,5,53.53865,-1.60348,4,"-1.60348, 53.53865"
6324,5,53.53916,-1.60521,4,"-1.60521, 53.53916"
6327,5,53.54403,-1.73557,4,"-1.73557, 53.54403"
6492,5,53.58041,-1.4601,8,"-1.4601, 53.58041"
6494,5,53.58021,-1.46599,7,"-1.46599, 53.58021"
6496,5,53.58068,-1.47118,5,"-1.47118, 53.58068"
6872,5,53.59075,-1.50071,5,"-1.50071, 53.59075"
6901,5,53.5903,-1.49637,8,"-1.49637, 53.5903"
7155,5,53.55313,-1.45823,4,"-1.45823, 53.55313"
