ori_node,des_node,ori_layer,des_layer,minutes,km
11802,11802,5,5,1,0
11802,105422,5,5,2,0.705
11802,135404,5,5,1,0.411
11802,164575,5,5,2,0.587
11802,169515,5,5,3,0.751
11802,226669,5,5,1,0.777
11802,246884,5,5,4,0.546
12695,96516,5,5,2,1.08
12695,121919,5,5,5,3.986
12695,129994,5,5,7,2.5
12695,131690,5,5,1,0.778
12695,143593,5,5,4,0.313
12695,143595,5,5,1,0.382
12695,148616,5,5,3,0.596
12695,260487,5,5,1,0.215
14786,178042,5,5,1,0.39
14786,226668,5,5,1,0.477
18047,168219,5,5,1,0.573
18047,168221,5,5,3,0.456
18047,178039,5,5,1,0.26
33618,64663,5,5,2,1.281
33618,216727,5,5,5,3.24
33739,184696,5,5,4,3.02
33739,184698,5,5,4,2.582
33739,238301,5,5,5,3.18
45459,76943,5,5,1,0.678
45459,91273,5,5,1,0.232
45459,206927,5,5,1,0.622
45459,223690,5,5,4,0.621
54896,86652,5,5,1,0.168
54896,86653,5,5,1,1.235
54896,223683,5,5,5,1.693
55057,104214,5,5,9,5.432
55058,153526,5,5,1,0.491
57699,57708,5,5,2,1.062
57699,116868,5,5,1,0.939
57700,241062,5,5,2,1.245
57701,57708,5,5,2,0.833
57701,116867,5,5,1,0.725
57702,57704,5,5,1,0.569
57703,57701,5,5,1,0.616
57704,57705,5,5,1,0.558
57705,67343,5,5,2,1.165
57705,67344,5,5,1,0.702
57708,258883,5,5,4,1.938
57709,57700,5,5,1,1.114
57709,57702,5,5,1,0.889
58671,123878,5,5,1,0.211
58672,238253,5,5,1,0.228
58672,238254,5,5,1,0.265
58674,58671,5,5,1,0.101
58674,133752,5,5,1,0.109
58674,258888,5,5,1,0.401
58675,184812,5,5,2,0.532
58675,184813,5,5,6,1.646
59263,168222,5,5,1,0.263
63829,208781,5,5,1,0.06
63830,88339,5,5,1,0.126
64661,135552,5,5,5,1.98
64662,33618,5,5,2,1.271
64663,159688,5,5,3,2.218
66832,194475,5,5,1,0.227
67343,67350,5,5,1,1.227
67344,67350,5,5,1,0.643
67345,67351,5,5,1,0.784
67346,67348,5,5,1,0.592
67347,67345,5,5,1,0.966
67348,76938,5,5,1,0.893
67349,114386,5,5,2,0.765
67349,178160,5,5,1,0.735
67350,67352,5,5,1,0.792
67351,67349,5,5,1,0.607
67352,67346,5,5,1,0.953
68270,123881,5,5,1,0.506
68271,123879,5,5,1,0.245
68271,133751,5,5,2,0.304
68325,135552,5,5,2,0.479
68636,96415,5,5,2,0.408
68636,262358,5,5,1,0.192
70699,70701,5,5,1,0.187
70700,70706,5,5,2,1.364
70701,80424,5,5,1,0.655
70702,70700,5,5,1,0.184
