node,layer,lat,lon,degree,geometry
11802,5,51.07396,-4.06315,26,"-4.06315, 51.07396"
12695,5,51.01763,-3.8348,24,"-3.8348, 51.01763"
14786,5,51.07279,-4.09496,12,"-4.09496, 51.07279"
18047,5,51.07207,-4.12127,15,"-4.12127, 51.07207"
33618,5,50.93607,-3.90544,14,"-3.90544, 50.93607"
33739,5,51.01653,-4.02476,13,"-4.02476, 51.01653"
43180,5,51.21078,-4.11137,1,"-4.11137, 51.21078"
45459,5,51.10751,-4.16075,16,"-4.16075, 51.10751"
54896,5,51.09339,-4.13693,14,"-4.13693, 51.09339"
55057,5,51.02595,-3.97858,2,"-3.97858, 51.02595"
55058,5,51.03449,-3.91062,2,"-3.91062, 51.03449"
57699,5,51.17731,-4.14569,3,"-4.14569, 51.17731"
57700,5,51.1771,-4.14612,3,"-4.14612, 51.1771"
57701,5,51.17303,-4.13431,3,"-4.13431, 51.17303"
57702,5,51.1725,-4.13459,3,"-4.13459, 51.1725"
57703,5,51.16879,-4.14003,2,"-4.14003, 51.16879"
57704,5,51.16861,-4.13992,2,"-4.13992, 51.16861"
57705,5,51.16359,-4.13938,3,"-4.13938, 51.16359"
57708,5,51.18028,-4.13118,3,"-4.13118, 51.18028"
57709,5,51.18017,-4.13088,3,"-4.13088, 51.18017"
58671,5,51.20636,-4.12713,4,"-4.12713, 51.20636"
58672,5,51.20616,-4.12571,4,"-4.12571, 51.20616"
58674,5,51.20599,-4.12579,7,"-4.12579, 51.20599"
58675,5,51.19588,-4.17009,4,"-4.17009, 51.19588"
59263,5,51.06997,-4.13348,2,"-4.13348, 51.06997"
59851,5,51.2011,-4.06202,1,"-4.06202, 51.2011"
63829,5,51.08018,-4.04968,2,"-4.04968, 51.08018"
63830,5,51.08052,-4.05207,2,"-4.05207, 51.08052"
64661,5,50.90969,-3.89686,2,"-3.89686, 50.90969"
64662,5,50.92509,-3.90029,2,"-3.90029, 50.92509"
64663,5,50.92503,-3.90011,2,"-3.90011, 50.92503"
66832,5,51.19752,-4.12897,2,"-4.12897, 51.19752"
67343,5,51.15869,-4.12457,2,"-4.12457, 51.15869"
67344,5,51.15783,-4.1352,2,"-4.1352, 51.15783"
67345,5,51.14665,-4.14551,2,"-4.14551, 51.14665"
67346,5,51.13878,-4.15109,2,"-4.15109, 51.13878"
67347,5,51.13877,-4.15142,2,"-4.15142, 51.13877"
67348,5,51.13357,-4.15293,2,"-4.15293, 51.13357"
67349,5,51.15743,-4.13532,3,"-4.13532, 51.15743"
67350,5,51.15264,-4.13932,3,"-4.13932, 51.15264"
67351,5,51.15267,-4.13961,2,"-4.13961, 51.15267"
67352,5,51.14653,-4.1452,2,"-4.1452, 51.14653"
68270,5,51.20956,-4.12383,3,"-4.12383, 51.20956"
68271,5,51.20947,-4.12364,3,"-4.12364, 51.20947"
68325,5,50.91441,-3.87535,2,"-3.87535, 50.91441"
68636,5,51.0789,-4.05683,3,"-4.05683, 51.0789"
70699,5,51.131,-4.06687,2,"-4.06687, 51.131"
70700,5,51.13098,-4.06717,2,"-4.06717, 51.13098"
70701,5,51.13001,-4.06469,2,"-4.06469, 51.13001"
70702,5,51.12997,-4.06506,2,"-4.06506, 51.12997"
70703,5,51.15085,-4.08105,2,"-4.08105, 51.15085"
70704,5,51.15085,-4.08161,2,"-4.08161, 51.15085"
70705,5,51.14227,-4.07476,2,"-4.07476, 51.14227"
70706,5,51.14223,-4.07507,2,"-4.07507, 51.14223"
70707,5,51.1736,-4.09106,2,"-4.09106, 51.1736"
70708,5,51.17358,-4.09138,2,"-4.09138, 51.17358"
72753,5,51.02605,-3.97828,2,"-3.97828, 51.02605"
73642,5,51.09064,-4.13684,2,"-4.13684, 51.09064"
73645,5,51.09229,-4.13426,2,"-4.13426, 51.09229"
73646,5,51.09237,-4.13557,3,"-4.13557, 51.09237"
73647,5,51.09014,-4.13378,2,"-4.13378, 51.09014"
73648,5,51.09146,-4.1299,2,"-4.1299, 51.09146"
75126,5,51.0544,-4.17836,2,"-4.17836, 51.0544"
