node,layer,lat,lon,degree,geometry
1317,5,54.36735,-3.06129,10,"-3.06129, 54.36735"
1376,5,54.16584,-3.19032,19,"-3.19032, 54.16584"
1436,5,54.13921,-3.20132,8,"-3.20132, 54.13921"
1440,5,54.12143,-3.21922,4,"-3.21922, 54.12143"
1441,5,54.1242,-3.21661,6,"-3.21661, 54.1242"
1442,5,54.13041,-3.21101,9,"-3.21101, 54.13041"
1443,5,54.12608,-3.21498,5,"-3.21498, 54.12608"
1444,5,54.13499,-3.2041,10,"-3.2041, 54.13499"
1445,5,54.13321,-3.20713,7,"-3.20713, 54.13321"
2255,5,54.19159,-3.09792,38,"-3.09792, 54.19159"
4150,5,54.3386,-3.1023,4,"-3.1023, 54.3386"
4888,5,54.1883,-3.19485,4,"-3.19485, 54.1883"
6620,5,54.18904,-3.20452,19,"-3.20452, 54.18904"
6650,5,54.12157,-3.18497,5,"-3.18497, 54.12157"
6651,5,54.13912,-3.22032,4,"-3.22032, 54.13912"
6652,5,54.14091,-3.21589,4,"-3.21589, 54.14091"
6653,5,54.12983,-3.21984,4,"-3.21984, 54.12983"
6654,5,54.12888,-3.23205,6,"-3.23205, 54.12888"
6655,5,54.15741,-3.07414,4,"-3.07414, 54.15741"
6658,5,54.18909,-3.08893,5,"-3.08893, 54.18909"
6659,5,54.2001,-3.08009,6,"-3.08009, 54.2001"
6660,5,54.18517,-3.09211,6,"-3.09211, 54.18517"
6772,5,54.1115,-3.23969,10,"-3.23969, 54.1115"
7013,5,54.1107,-3.20791,6,"-3.20791, 54.1107"
7014,5,54.11158,-3.20436,7,"-3.20436, 54.11158"
7269,5,54.35313,-2.93884,10,"-2.93884, 54.35313"
7384,5,54.15424,-3.17901,32,"-3.17901, 54.15424"
7495,5,54.16619,-3.16247,4,"-3.16247, 54.16619"
7497,5,54.1723,-3.1483,13,"-3.1483, 54.1723"
7500,5,54.16029,-3.16933,8,"-3.16933, 54.16029"
7915,5,54.17968,-3.12705,4,"-3.12705, 54.17968"
8034,5,54.12767,-3.1415,4,"-3.1415, 54.12767"
8047,5,54.18569,-3.11649,4,"-3.11649, 54.18569"
8049,5,54.17444,-3.1415,4,"-3.1415, 54.17444"
8897,5,54.13737,-3.20983,25,"-3.20983, 54.13737"
8898,5,54.12278,-3.20672,9,"-3.20672, 54.12278"
8900,5,54.11248,-3.22898,10,"-3.22898, 54.11248"
8901,5,54.12104,-3.18567,5,"-3.18567, 54.12104"
