node,layer,lat,lon,degree,geometry
9496,5,51.01877,-4.20415,20,"-4.20415, 51.01877"
12027,5,51.0434,-4.225,12,"-4.225, 51.0434"
14784,5,51.0186,-4.2044,21,"-4.2044, 51.0186"
50073,5,51.04026,-4.21336,17,"-4.21336, 51.04026"
50297,5,51.16338,-4.65791,3,"-4.65791, 51.16338"
52558,5,51.04246,-4.21396,2,"-4.21396, 51.04246"
53392,5,50.99311,-4.43611,2,"-4.43611, 50.99311"
58507,5,50.8777,-4.3069,2,"-4.3069, 50.8777"
58508,5,50.87781,-4.30715,2,"-4.30715, 50.87781"
58509,5,50.88975,-4.27801,2,"-4.27801, 50.88975"
58510,5,50.88981,-4.27829,2,"-4.27829, 50.88981"
58512,5,50.94642,-4.20457,2,"-4.20457, 50.94642"
58837,5,50.93732,-4.18113,2,"-4.18113, 50.93732"
58838,5,50.93724,-4.18112,2,"-4.18112, 50.93724"
58839,5,50.94748,-4.15459,2,"-4.15459, 50.94748"
58840,5,50.94729,-4.15473,2,"-4.15473, 50.94729"
58841,5,50.94871,-4.1544,2,"-4.1544, 50.94871"
58842,5,50.94884,-4.15459,4,"-4.15459, 50.94884"
59258,5,50.89067,-4.09362,4,"-4.09362, 50.89067"
59259,5,50.89061,-4.09355,2,"-4.09355, 50.89061"
59260,5,51.02842,-4.21313,8,"-4.21313, 51.02842"
59261,5,51.02841,-4.21339,5,"-4.21339, 51.02841"
60393,5,50.95273,-4.15104,4,"-4.15104, 50.95273"
60394,5,50.95268,-4.15019,5,"-4.15019, 50.95268"
60395,5,50.95654,-4.1665,2,"-4.1665, 50.95654"
60396,5,50.95685,-4.16552,2,"-4.16552, 50.95685"
60397,5,50.94651,-4.1517,2,"-4.1517, 50.94651"
60398,5,50.94919,-4.15394,2,"-4.15394, 50.94919"
60399,5,50.95131,-4.14606,2,"-4.14606, 50.95131"
60400,5,50.95285,-4.1434,9,"-4.1434, 50.95285"
61175,5,51.05144,-4.19804,2,"-4.19804, 51.05144"
61176,5,51.04838,-4.20167,2,"-4.20167, 51.04838"
61177,5,51.05189,-4.19553,2,"-4.19553, 51.05189"
61178,5,51.0516,-4.19801,2,"-4.19801, 51.0516"
61179,5,51.05187,-4.19149,3,"-4.19149, 51.05187"
61180,5,51.05171,-4.19541,2,"-4.19541, 51.05171"
61181,5,51.05435,-4.19105,3,"-4.19105, 51.05435"
61182,5,51.05199,-4.19168,2,"-4.19168, 51.05199"
61183,5,51.05694,-4.19827,2,"-4.19827, 51.05694"
61184,5,51.05446,-4.19086,2,"-4.19086, 51.05446"
63754,5,50.91292,-4.23609,3,"-4.23609, 50.91292"
63755,5,50.9129,-4.23629,3,"-4.23629, 50.9129"
63763,5,50.8376,-4.21882,2,"-4.21882, 50.8376"
68156,5,50.96539,-4.2027,2,"-4.2027, 50.96539"
68157,5,50.94627,-4.20473,2,"-4.20473, 50.94627"
68159,5,50.99397,-4.19508,3,"-4.19508, 50.99397"
68160,5,50.97662,-4.20416,2,"-4.20416, 50.97662"
68161,5,50.97651,-4.20452,2,"-4.20452, 50.97651"
68162,5,50.96521,-4.20318,2,"-4.20318, 50.96521"
68163,5,50.99404,-4.19479,3,"-4.19479, 50.99404"
68487,5,50.86399,-4.20369,2,"-4.20369, 50.86399"
68488,5,50.86399,-4.20397,2,"-4.20397, 50.86399"
68489,5,50.91247,-4.23718,3,"-4.23718, 50.91247"
68490,5,50.87476,-4.20256,2,"-4.20256, 50.87476"
68491,5,50.87472,-4.20291,2,"-4.20291, 50.87472"
68492,5,50.91984,-4.20449,2,"-4.20449, 50.91984"
68493,5,50.91977,-4.20409,2,"-4.20409, 50.91977"
68494,5,50.91256,-4.23718,3,"-4.23718, 50.91256"
74334,5,51.03356,-4.21271,3,"-4.21271, 51.03356"
77994,5,51.04358,-4.20477,3,"-4.20477, 51.04358"
78582,5,51.01469,-4.19913,3,"-4.19913, 51.01469"
87315,5,51.04386,-4.21747,2,"-4.21747, 51.04386"
88068,5,50.96588,-4.37858,2,"-4.37858, 50.96588"
88069,5,50.98485,-4.37224,2,"-4.37224, 50.98485"
88475,5,51.01783,-4.22662,2,"-4.22662, 51.01783"
88476,5,51.01769,-4.2269,2,"-4.2269, 51.01769"
88478,5,51.01688,-4.21859,2,"-4.21859, 51.01688"
88479,5,51.017,-4.21842,2,"-4.21842, 51.017"
88480,5,51.01663,-4.22067,2,"-4.22067, 51.01663"
88481,5,51.01677,-4.22075,2,"-4.22075, 51.01677"
88482,5,51.01702,-4.22279,4,"-4.22279, 51.01702"
88483,5,51.01686,-4.22279,6,"-4.22279, 51.01686"
90039,5,51.03747,-4.21396,3,"-4.21396, 51.03747"
90040,5,51.03434,-4.21275,2,"-4.21275, 51.03434"
90041,5,51.03883,-4.2137,2,"-4.2137, 51.03883"
90042,5,51.03814,-4.21358,2,"-4.21358, 51.03814"
90043,5,51.03128,-4.21263,5,"-4.21263, 51.03128"
90044,5,51.02665,-4.21386,4,"-4.21386, 51.02665"
90046,5,51.03143,-4.21239,3,"-4.21239, 51.03143"
95782,5,51.04271,-4.21079,2,"-4.21079, 51.04271"
98099,5,50.98524,-4.30186,2,"-4.30186, 50.98524"
98100,5,50.98537,-4.30197,2,"-4.30197, 50.98537"
98101,5,50.99532,-4.27675,3,"-4.27675, 50.99532"
98102,5,50.99513,-4.2766,2,"-4.2766, 50.99513"
98103,5,50.99849,-4.27002,2,"-4.27002, 50.99849"
98104,5,50.99871,-4.26991,2,"-4.26991, 50.99871"
98105,5,51.01615,-4.24714,3,"-4.24714, 51.01615"
99682,5,51.02639,-4.21358,5,"-4.21358, 51.02639"
100589,5,51.01659,-4.24391,2,"-4.24391, 51.01659"
100763,5,51.04339,-4.21399,2,"-4.21399, 51.04339"
100764,5,51.04243,-4.21406,2,"-4.21406, 51.04243"
