ori_node,des_node,ori_layer,des_layer,minutes,km
413,141702,5,5,1,0.829
413,152324,5,5,1,1.459
954,12384,5,5,1,0.223
954,38884,5,5,1,0.268
1074,30271,5,5,1,0.077
1074,30272,5,5,1,0.345
1074,38885,5,5,1,0.369
1254,1254,5,5,1,0
1254,144931,5,5,1,0.503
1254,185730,5,5,1,0.528
1254,237428,5,5,1,0.285
1254,250598,5,5,3,0.776
1254,258787,5,5,1,0.307
1459,205075,5,5,1,0.417
1459,248439,5,5,1,0.256
3628,194865,5,5,1,0.384
3628,197665,5,5,1,0.564
3628,238562,5,5,3,1.234
3628,238602,5,5,1,0.513
4271,5826,5,5,1,0.633
4271,67241,5,5,1,0.439
4271,124541,5,5,1,0.348
4271,130666,5,5,1,3.685
4271,232419,5,5,1,0.931
5316,5316,5,5,1,0
5316,154865,5,5,1,0.562
5316,174453,5,5,1,0.278
5316,190807,5,5,1,0.426
5826,5826,5,5,1,0
5826,24269,5,5,1,0.573
5826,57657,5,5,1,0.554
5826,67243,5,5,1,0.383
5826,96527,5,5,1,0.627
5826,121022,5,5,1,0.496
5826,125787,5,5,1,0.321
5826,130822,5,5,1,0.57
5826,157215,5,5,1,0.542
5826,157216,5,5,1,0.556
5826,166984,5,5,1,0.644
6694,20067,5,5,1,0.228
6694,25861,5,5,2,0.773
6694,221556,5,5,4,0.931
8309,213071,5,5,1,0.445
8309,259490,5,5,1,0.307
10298,10298,5,5,1,0
10298,137339,5,5,1,0.475
10298,157461,5,5,1,0.278
10298,167236,5,5,1,0.496
10298,191908,5,5,1,0.437
10298,254169,5,5,1,0.332
11038,12363,5,5,1,0.433
11038,16121,5,5,1,0.222
11040,19780,5,5,1,0.281
11040,25867,5,5,1,0.164
12195,12195,5,5,1,0
12195,154037,5,5,1,0.545
12195,192208,5,5,1,0.647
12195,232338,5,5,1,0.289
12258,12258,5,5,1,0
12258,152069,5,5,1,0.367
12258,240646,5,5,1,0.366
12258,256550,5,5,1,0.403
12363,11038,5,5,1,0.433
12363,35989,5,5,1,0.293
12363,39197,5,5,1,0.315
12384,954,5,5,1,0.223
12384,32235,5,5,1,1.03
15036,19778,5,5,1,0.244
15036,22681,5,5,1,0.278
15036,30277,5,5,1,0.753
15040,30279,5,5,1,0.213
15040,47678,5,5,1,0.685
15527,56439,5,5,1,0.359
15527,67561,5,5,1,0.276
15527,67724,5,5,1,0.355
15527,93331,5,5,1,0.153
15527,134734,5,5,1,0.34
15527,211603,5,5,1,0.258
16121,11038,5,5,1,0.222
16121,12363,5,5,1,0.655
16121,47678,5,5,1,0.7
16125,20064,5,5,1,0.805
16125,33163,5,5,1,0.629
16125,38882,5,5,1,0.405
16125,39196,5,5,4,0.879
16126,25861,5,5,1,0.548
16126,30272,5,5,1,0.571
16439,16439,5,5,1,0
16439,152324,5,5,1,0.414
16439,210920,5,5,1,0.386
18415,18415,5,5,1,0
18415,98031,5,5,1,0.291
18415,117599,5,5,1,0.38
18415,132315,5,5,1,0.51
18415,153604,5,5,1,0.569
18761,18761,5,5,1,0
18761,104750,5,5,1,0.482
18761,167271,5,5,1,0.328
18918,25864,5,5,1,0.391
18918,89152,5,5,1,0.36
18918,185779,5,5,1,0.731
19778,15036,5,5,1,0.244
19778,30277,5,5,1,0.515
19780,11040,5,5,1,0.281
19780,33410,5,5,1,0.26
20062,20063,5,5,2,1.195
20062,35988,5,5,1,0.398
20063,20062,5,5,2,1.195
20063,30280,5,5,2,0.819
20063,180869,5,5,1,0.741
20064,33410,5,5,1,0.221
20064,38882,5,5,1,0.418
20064,39196,5,5,1,0.136
20067,6694,5,5,1,0.228
20067,162964,5,5,1,0.783
22034,22034,5,5,1,0
22034,98422,5,5,1,0.409
22034,149061,5,5,1,0.389
22034,228795,5,5,1,0.28
22455,125293,5,5,1,0.336
22455,157460,5,5,1,0.396
22455,260235,5,5,1,0.358
22680,27783,5,5,1,0.209
22680,34747,5,5,1,0.225
22681,15036,5,5,1,0.278
22681,27783,5,5,1,0.318
24269,5826,5,5,1,0.573
24269,24269,5,5,1,0
24269,35446,5,5,2,0.613
24269,53213,5,5,1,0.506
24269,61072,5,5,1,0.313
24269,96527,5,5,1,0.269
24269,111151,5,5,1,1.017
24269,130822,5,5,1,0.332
24269,157216,5,5,1,0.498
24269,166984,5,5,1,0.628
24269,243299,5,5,1,0.879
25580,25580,5,5,1,0
25580,70077,5,5,1,0.336
25580,114417,5,5,1,0.364
25580,232151,5,5,1,0.825
25861,16126,5,5,1,0.548
25861,229528,5,5,1,0.438
25862,30271,5,5,1,0.283
25862,30280,5,5,1,1.076
25864,18918,5,5,1,0.391
25864,41667,5,5,1,0.444
25864,45005,5,5,1,0.384
25867,11040,5,5,1,0.164
25867,45006,5,5,1,0.237
27783,22680,5,5,1,0.209
27783,22681,5,5,1,0.318
28486,35988,5,5,1,0.308
29171,29171,5,5,1,0
29171,165142,5,5,1,0.528
29171,168518,5,5,1,0.791
29171,179155,5,5,1,0.271
29171,182690,5,5,1,0.448
29171,223107,5,5,1,0.426
29455,30273,5,5,2,0.364
29455,30274,5,5,1,0.24
29455,39195,5,5,1,0.33
29455,39196,5,5,1,0.227
