node,layer,lat,lon,degree,geometry
413,5,53.40915,-3.07857,14,"-3.07857, 53.40915"
954,5,53.295,-2.99547,4,"-2.99547, 53.295"
1074,5,53.29232,-3.00712,6,"-3.00712, 53.29232"
1254,5,53.37319,-3.18377,18,"-3.18377, 53.37319"
1459,5,53.31416,-2.96443,14,"-2.96443, 53.31416"
3628,5,53.40445,-3.05754,19,"-3.05754, 53.40445"
4271,5,53.38327,-3.01642,17,"-3.01642, 53.38327"
5316,5,53.39023,-3.17884,16,"-3.17884, 53.39023"
5826,5,53.38833,-3.02083,52,"-3.02083, 53.38833"
6694,5,53.2937,-3.04061,6,"-3.04061, 53.2937"
8309,5,53.3948,-3.17145,12,"-3.17145, 53.3948"
10298,5,53.43741,-3.04797,18,"-3.04797, 53.43741"
11038,5,53.29946,-3.05637,4,"-3.05637, 53.29946"
11040,5,53.27863,-3.06064,4,"-3.06064, 53.27863"
12195,5,53.32973,-3.07371,15,"-3.07371, 53.32973"
12258,5,53.35767,-3.00364,17,"-3.00364, 53.35767"
12363,5,53.30303,-3.05373,7,"-3.05373, 53.30303"
12384,5,53.29578,-2.99236,4,"-2.99236, 53.29578"
15036,5,53.30063,-3.08838,5,"-3.08838, 53.30063"
15040,5,53.29249,-3.07411,5,"-3.07411, 53.29249"
15527,5,53.3282,-3.09767,10,"-3.09767, 53.3282"
16121,5,53.29767,-3.05789,5,"-3.05789, 53.29767"
16125,5,53.27637,-3.0482,6,"-3.0482, 53.27637"
16126,5,53.29383,-3.0207,4,"-3.0207, 53.29383"
16439,5,53.40806,-3.0996,14,"-3.0996, 53.40806"
18415,5,53.37267,-3.01083,20,"-3.01083, 53.37267"
18761,5,53.40229,-3.02103,6,"-3.02103, 53.40229"
18918,5,53.30038,-2.95734,7,"-2.95734, 53.30038"
19778,5,53.30147,-3.08498,4,"-3.08498, 53.30147"
19780,5,53.27713,-3.05722,4,"-3.05722, 53.27713"
20062,5,53.26312,-3.0217,4,"-3.0217, 53.26312"
20063,5,53.27364,-3.01785,6,"-3.01785, 53.27364"
20064,5,53.28134,-3.05704,6,"-3.05704, 53.28134"
20067,5,53.29466,-3.04365,4,"-3.04365, 53.29466"
22034,5,53.39742,-3.03911,16,"-3.03911, 53.39742"
22455,5,53.40978,-3.0163,14,"-3.0163, 53.40978"
22680,5,53.29435,-3.08231,4,"-3.08231, 53.29435"
22681,5,53.29852,-3.08612,4,"-3.08612, 53.29852"
24269,5,53.39338,-3.02268,30,"-3.02268, 53.39338"
25580,5,53.4229,-3.06914,16,"-3.06914, 53.4229"
25861,5,53.29388,-3.02896,4,"-3.02896, 53.29388"
25862,5,53.28916,-3.00625,4,"-3.00625, 53.28916"
25864,5,53.29687,-2.95672,6,"-2.95672, 53.29687"
25867,5,53.27927,-3.06288,4,"-3.06288, 53.27927"
27783,5,53.29603,-3.08375,4,"-3.08375, 53.29603"
28486,5,53.25861,-3.02321,4,"-3.02321, 53.25861"
29171,5,53.32186,-2.9869,19,"-2.9869, 53.32186"
29455,5,53.2842,-3.0585,8,"-3.0585, 53.2842"
30271,5,53.29171,-3.00655,6,"-3.00655, 53.29171"
30272,5,53.29288,-3.01224,4,"-3.01224, 53.29288"
30273,5,53.28397,-3.05302,6,"-3.05302, 53.28397"
30274,5,53.28394,-3.06209,6,"-3.06209, 53.28394"
30277,5,53.30433,-3.07885,7,"-3.07885, 53.30433"
30279,5,53.29334,-3.07699,4,"-3.07699, 53.29334"
30280,5,53.28,-3.01157,6,"-3.01157, 53.28"
32235,5,53.29722,-2.97702,16,"-2.97702, 53.29722"
32297,5,53.38651,-3.08416,18,"-3.08416, 53.38651"
33163,5,53.27227,-3.04165,4,"-3.04165, 53.27227"
33410,5,53.27943,-3.05799,4,"-3.05799, 53.27943"
33411,5,53.28311,-3.06516,4,"-3.06516, 53.28311"
33412,5,53.28857,-3.0552,5,"-3.0552, 53.28857"
34747,5,53.29305,-3.07969,5,"-3.07969, 53.29305"
