ori_node,des_node,ori_layer,des_layer,minutes,km
17099,125959,4,4,15,7.982
17099,254185,4,4,15,2.312
22446,144126,4,4,19,10.875
23798,144126,4,4,25,10.219
33053,34498,4,4,5,3.824
33053,144126,4,4,10,1.666
34498,33053,4,4,5,3.824
34498,144126,4,4,15,5.451
86629,144126,4,4,10,4.687
86629,216058,4,4,5,4.211
125959,17099,4,4,10,7.982
144126,22446,4,4,20,10.875
144126,23798,4,4,25,10.219
144126,33053,4,4,5,1.666
144126,34498,4,4,10,5.451
144126,86629,4,4,10,4.687
176783,192528,4,4,20,11.272
192528,176783,4,4,25,11.272
216057,86629,4,4,5,4.157
216057,144126,4,4,15,8.668
