node,layer,lat,lon,degree,geometry
17099,4,52.49639,-1.97064,45,"-1.97064, 52.49639"
22446,4,52.45226,-1.73249,71,"-1.73249, 52.45226"
23798,4,52.41475,-1.77433,19,"-1.77433, 52.41475"
33053,4,52.4711,-1.91295,37,"-1.91295, 52.4711"
34498,4,52.47182,-1.96948,18,"-1.96948, 52.47182"
86629,4,52.51621,-1.90113,21,"-1.90113, 52.51621"
125959,4,52.56727,-1.95078,13,"-1.95078, 52.56727"
144126,4,52.47464,-1.88901,89,"-1.88901, 52.47464"
176783,4,52.48182,-1.89258,17,"-1.89258, 52.48182"
192528,4,52.45261,-1.73297,14,"-1.73297, 52.45261"
216057,4,52.54761,-1.93466,15,"-1.93466, 52.54761"
216058,4,52.54792,-1.93536,16,"-1.93536, 52.54792"
251225,4,52.63521,-1.69627,23,"-1.69627, 52.63521"
254185,4,52.50427,-1.93896,16,"-1.93896, 52.50427"
