ori_node,des_node,ori_layer,des_layer,minutes,km
334,334,5,5,1,0
334,99977,5,5,4,1.244
334,234020,5,5,1,0.493
334,234023,5,5,1,0.396
6232,6232,5,5,1,0
6232,104713,5,5,1,0.341
6232,115648,5,5,1,0.294
6878,6878,5,5,1,0
6878,88260,5,5,1,0.398
6878,97978,5,5,1,0.668
6878,117131,5,5,1,0.412
6878,117134,5,5,1,0.404
6878,127163,5,5,1,0.368
6878,147437,5,5,1,0.517
6878,151581,5,5,1,0.325
6878,179143,5,5,1,0.448
6878,190577,5,5,1,0.447
6878,205787,5,5,1,0.389
6878,237477,5,5,2,0.432
6878,239116,5,5,1,0.424
6878,243639,5,5,1,0.439
9335,130612,5,5,1,0.302
9335,196484,5,5,1,0.607
24921,24921,5,5,1,0
24921,91534,5,5,1,0.401
24921,130531,5,5,1,0.314
24921,240070,5,5,1,0.312
24921,249987,5,5,1,0.351
26522,26522,5,5,1,0
26522,99976,5,5,4,1.314
26522,103643,5,5,3,1.044
28896,28896,5,5,1,0
28896,81792,5,5,1,0.386
28896,97878,5,5,1,0.783
28896,139040,5,5,1,0.552
28896,145014,5,5,3,0.65
28896,145019,5,5,1,0.399
28896,205326,5,5,1,0.3
35928,35928,5,5,1,0
35928,83867,5,5,2,0.851
35928,112739,5,5,1,0.359
35928,117092,5,5,1,0.574
35928,141882,5,5,7,0.713
35928,171697,5,5,1,0.484
35928,171698,5,5,1,0.614
35928,181581,5,5,2,0.514
35928,191350,5,5,1,0.288
35928,192199,5,5,1,0.361
35928,201138,5,5,1,0.294
35928,201139,5,5,1,0.373
35928,201140,5,5,1,0.352
35928,209182,5,5,1,0.351
35928,209183,5,5,1,0.343
35928,209184,5,5,1,0.337
35928,212042,5,5,1,0.367
35928,212053,5,5,1,0.376
35928,218951,5,5,1,0.347
35928,249387,5,5,1,0.507
40776,40776,5,5,1,0
40776,76582,5,5,1,0.424
40776,126953,5,5,1,0.417
40776,136833,5,5,1,0.309
40776,164875,5,5,1,0.327
40776,174642,5,5,1,0.461
40776,184432,5,5,1,0.671
40776,213491,5,5,1,0.278
41574,41574,5,5,1,0
41574,89809,5,5,3,0.454
41574,101232,5,5,1,0.262
41574,127656,5,5,1,0.448
41574,221272,5,5,1,0.517
41574,230875,5,5,1,0.516
46740,46740,5,5,1,0
46740,67644,5,5,10,2.002
46740,150078,5,5,1,0.615
46740,158317,5,5,22,9.432
46740,158798,5,5,1,0.667
46740,177905,5,5,13,6.35
46740,189407,5,5,15,9.901
48817,48817,5,5,1,0
48817,69306,5,5,1,0.289
48817,137505,5,5,1,0.547
48817,168077,5,5,1,0.327
48817,212431,5,5,1,0.618
48817,215829,5,5,1,0.456
48817,215832,5,5,2,0.927
48817,215834,5,5,1,0.314
48817,225748,5,5,1,0.337
48817,225749,5,5,1,0.3
51795,54186,5,5,1,0.109
51795,211779,5,5,1,0.179
51840,152549,5,5,3,1.088
53677,234952,5,5,1,0.247
53686,171056,5,5,1,0.434
53876,53878,5,5,1,0.22
53876,53882,5,5,2,0.379
53877,86819,5,5,1,0.452
53878,53883,5,5,1,0.241
53878,63496,5,5,1,0.05
53879,63497,5,5,1,0.18
53880,53877,5,5,2,0.408
53881,53880,5,5,1,0.186
53882,209185,5,5,3,0.255
53883,63501,5,5,1,0.183
53884,53879,5,5,1,0.262
54180,117516,5,5,1,0.333
54180,144731,5,5,1,0.358
54182,54185,5,5,1,0.324
54183,54182,5,5,1,0.324
54185,187673,5,5,1,1.121
54185,200271,5,5,1,0.694
54186,215828,5,5,23,7.212
54186,223635,5,5,1,0.698
54187,211782,5,5,1,0.218
54983,97819,5,5,1,0.606
54983,182138,5,5,2,1.076
55144,95299,5,5,3,0.361
55144,247910,5,5,1,0.191
55146,148194,5,5,1,0.192
55155,247899,5,5,1,0.282
55169,55191,5,5,1,0.095
55169,189988,5,5,1,0.201
55191,95299,5,5,1,0.165
55191,189988,5,5,1,0.118
55191,192407,5,5,1,0.319
55293,194836,5,5,4,2.183
55775,96581,5,5,1,0.237
56085,103981,5,5,1,0.526
56085,103983,5,5,1,0.425
56085,103984,5,5,2,0.416
56086,126154,5,5,1,0.082
56086,137791,5,5,1,0.411
56087,223700,5,5,1,0.55
56912,185124,5,5,3,0.322
56912,185695,5,5,1,0.123
56913,135430,5,5,1,0.169
56919,115712,5,5,1,0.299
56919,253838,5,5,1,0.125
56920,92801,5,5,1,0.191
57410,57415,5,5,1,0.117
57410,145166,5,5,1,0.52
57411,57417,5,5,1,0.143
57413,57414,5,5,1,0.256
57413,57415,5,5,1,0.142
57414,57416,5,5,1,0.218
57415,174635,5,5,1,0.708
57416,145166,5,5,1,0.166
57417,57410,5,5,1,0.296
57417,57413,5,5,1,0.273
57420,57410,5,5,1,0.083
57420,57413,5,5,1,0.107
57420,57414,5,5,1,0.333
57835,150074,5,5,1,0.129
57836,145015,5,5,1,0.221
57837,243639,5,5,1,0.302
58091,58097,5,5,1,0.018
58091,97820,5,5,2,1.507
58092,189409,5,5,1,0.246
58097,228085,5,5,1,0.136
58117,58120,5,5,1,0.287
58119,58122,5,5,1,0.487
58119,67796,5,5,1,0.24
58120,58123,5,5,1,0.722
58121,58124,5,5,1,0.036
58121,168196,5,5,3,2.884
58122,67795,5,5,1,0.767
58123,187383,5,5,1,0.46
58124,67794,5,5,1,0.722
58124,224706,5,5,2,1.481
59060,204999,5,5,1,0.417
59278,88262,5,5,1,0.201
59279,88255,5,5,1,0.237
59280,59282,5,5,2,0.578
59280,249310,5,5,1,0.369
59281,59280,5,5,2,0.377
59281,128575,5,5,1,0.323
59282,107273,5,5,1,0.251
59282,128577,5,5,1,0.487
59282,179130,5,5,1,0.107
59448,218449,5,5,1,0.227
59452,218445,5,5,1,0.324
60916,78301,5,5,2,0.721
60916,86450,5,5,1,0.35
60916,121979,5,5,1,0.337
60916,148127,5,5,2,0.317
60916,158190,5,5,1,0.415
60916,194553,5,5,1,0.339
61893,88261,5,5,1,0.351
62188,184304,5,5,1,0.318
62188,216042,5,5,1,0.35
62188,216368,5,5,1,0.041
62189,135822,5,5,1,0.399
62189,194958,5,5,1,0.324
62190,110900,5,5,1,0.325
62190,137406,5,5,1,0.705
62573,92679,5,5,1,0.337
62575,151988,5,5,1,0.392
62638,128276,5,5,1,0.25
62716,62739,5,5,1,0.332
62726,126153,5,5,1,0.277
62739,126155,5,5,1,0.254
62739,175111,5,5,1,0.247
62965,78298,5,5,2,0.6
62965,249210,5,5,1,0.279
63278,164742,5,5,1,0.081
63496,82761,5,5,1,0.108
63497,53877,5,5,1,0.223
63498,63500,5,5,1,0.149
63499,152178,5,5,2,0.714
63500,53884,5,5,1,0.201
63501,63499,5,5,1,0.149
64093,159020,5,5,1,0.481
64093,241537,5,5,1,0.179
64094,64093,5,5,1,0.174
64096,174734,5,5,1,0.325
64099,64094,5,5,1,0.338
64099,135822,5,5,1,0.451
64100,98588,5,5,1,0.283
64236,64241,5,5,1,0.227
64237,64241,5,5,1,0.262
64238,64241,5,5,1,0.27
64239,76211,5,5,1,0.132
64239,85872,5,5,1,0.128
64241,172784,5,5,1,0.242
64419,103407,5,5,3,0.29
64419,226877,5,5,1,0.269
64493,64495,5,5,1,0.213
64493,64497,5,5,1,0.133
64493,73928,5,5,1,0.121
64494,64493,5,5,1,0.217
64494,73928,5,5,1,0.206
64495,73931,5,5,1,0.435
64496,64493,5,5,1,0.142
65701,56085,5,5,1,0.436
65702,103981,5,5,1,0.274
65702,103983,5,5,5,0.252
65703,56086,5,5,1,0.25
65703,103983,5,5,1,0.228
65703,103984,5,5,2,0.217
65704,65981,5,5,1,0.442
65705,186358,5,5,2,1.847
65981,55169,5,5,1,0.298
66536,77928,5,5,1,0.216
66967,76585,5,5,1,0.308
66968,174639,5,5,1,0.166
66969,164874,5,5,1,0.279
67416,81794,5,5,2,0.39
67416,195365,5,5,20,2.783
67473,112788,5,5,3,2.177
67473,172651,5,5,2,0.664
67523,95756,5,5,1,0.29
67523,105403,5,5,1,0.323
67527,247396,5,5,1,0.205
67644,80182,5,5,4,1.83
67644,97817,5,5,1,0.424
67644,125123,5,5,8,2.107
67644,177905,5,5,19,4.995
67644,181293,5,5,4,1.895
67750,58119,5,5,2,0.742
67794,224706,5,5,1,0.759
67795,58121,5,5,1,0.739
67796,58122,5,5,1,0.247
67825,91531,5,5,2,0.391
67825,91532,5,5,1,0.339
67826,88998,5,5,1,0.425
67826,187962,5,5,1,0.365
67835,89005,5,5,1,0.13
68272,123877,5,5,1,0.24
68288,102722,5,5,1,0.401
68581,127159,5,5,1,0.199
68581,145242,5,5,1,0.258
68878,68952,5,5,1,0.662
68878,90126,5,5,1,0.459
68878,118111,5,5,1,0.333
68924,164811,5,5,1,0.222
68925,68926,5,5,1,0.476
68925,117134,5,5,9,2.371
68926,127157,5,5,2,0.675
68926,204227,5,5,1,0.183
68927,79951,5,5,1,0.055
68928,88353,5,5,1,0.279
68928,127220,5,5,6,0.495
68928,140131,5,5,1,0.323
68952,230882,5,5,1,0.609
68953,89811,5,5,1,0.518
68953,230881,5,5,2,0.837
69018,69021,5,5,1,0.116
69018,171703,5,5,1,0.363
69019,210017,5,5,1,0.192
69020,78703,5,5,1,0.183
69021,69019,5,5,2,0.335
69022,150577,5,5,2,0.439
69022,198311,5,5,3,0.869
69023,69022,5,5,1,0.23
