ori_node,des_node,ori_layer,des_layer,minutes,km
334,24921,2,2,2,1.13
334,26522,2,2,2,1.703
6232,6878,2,2,5,2.632
6878,6232,2,2,4,2.632
6878,28896,2,2,2,1.407
6878,35928,2,2,8,7.201
9335,46740,2,2,4,3.168
9335,48817,2,2,7,5.59
24921,334,2,2,2,1.13
24921,35928,2,2,3,1.926
26522,334,2,2,3,1.703
28896,6878,2,2,3,1.407
28896,89572,2,2,3,2.415
35928,6878,2,2,7,7.201
35928,24921,2,2,3,1.926
35928,40776,2,2,7,5.463
35928,41574,2,2,6,3.721
35928,89572,2,2,5,4.307
40776,35928,2,2,7,5.463
41574,35928,2,2,6,3.721
41574,46740,2,2,4,3.427
46740,9335,2,2,4,3.168
46740,41574,2,2,4,3.427
48817,9335,2,2,6,5.59
89572,28896,2,2,3,2.415
89572,35928,2,2,5,4.307
