ori_node,des_node,ori_layer,des_layer,minutes,km
5840,194961,5,5,2,0.296
5840,209729,5,5,1,0.385
5840,219635,5,5,1,0.293
7421,7421,5,5,1,0
7421,34492,5,5,1,0.276
7421,41437,5,5,1,0.251
7421,87558,5,5,1,0.431
7421,116673,5,5,7,1.876
7568,20634,5,5,1,0.684
8827,8827,5,5,1,0
8827,13725,5,5,1,0.693
8827,14649,5,5,1,0.747
8827,63407,5,5,1,0.266
8827,77848,5,5,2,0.561
8827,87556,5,5,1,0.408
8827,126470,5,5,1,0.259
8827,160992,5,5,3,0.59
8827,221856,5,5,1,0.263
8827,243303,5,5,10,3.162
10977,14649,5,5,2,0.667
10977,36382,5,5,1,0.353
11684,11684,5,5,1,0
11684,12708,5,5,1,0.388
11684,24900,5,5,1,0.339
11684,116767,5,5,1,0.556
11684,136321,5,5,1,0.388
12708,11684,5,5,1,0.388
12708,12708,5,5,1,0
12708,35449,5,5,1,0.547
12976,12976,5,5,1,0
12976,36382,5,5,2,0.591
12976,47835,5,5,1,0.554
13547,13547,5,5,1,0
13547,30200,5,5,2,0.277
13547,47835,5,5,1,0.592
13547,72917,5,5,1,0.585
13615,13615,5,5,1,0
13615,13947,5,5,1,0.394
13615,23003,5,5,3,1.76
13615,34487,5,5,1,0.443
13615,199877,5,5,2,0.462
13615,213547,5,5,3,0.51
13658,13658,5,5,1,0
13658,15074,5,5,1,0.317
13658,43875,5,5,1,0.62
13658,52254,5,5,5,4.146
13658,199123,5,5,1,0.619
13725,8827,5,5,1,0.693
13725,13725,5,5,1,0
13725,41437,5,5,1,0.419
13947,13615,5,5,1,0.394
13947,13947,5,5,1,0
13947,17541,5,5,1,0.61
13947,77877,5,5,1,0.346
13947,188727,5,5,2,0.466
13947,207154,5,5,1,0.298
14649,8827,5,5,1,0.747
14649,10977,5,5,2,0.667
14649,14649,5,5,1,0
14649,76108,5,5,1,0.668
14649,126470,5,5,1,0.488
14649,144951,5,5,1,0.408
15074,13658,5,5,1,0.317
15074,15074,5,5,1,0
15074,224525,5,5,1,0.501
17541,13615,5,5,1,1
17541,17541,5,5,1,0
17541,23003,5,5,1,0.762
17541,204237,5,5,1,0.353
18079,58302,5,5,1,0.304
18079,259481,5,5,1,0.341
20634,20634,5,5,1,0
20634,34487,5,5,1,0.545
20634,61988,5,5,1,0.46
20634,138990,5,5,2,0.701
20634,248530,5,5,1,0.398
23003,13615,5,5,2,1.76
23003,17541,5,5,1,0.762
23003,31639,5,5,1,0.399
23003,34487,5,5,2,2.201
23577,24900,5,5,1,0.275
23577,29043,5,5,2,0.606
23577,48466,5,5,1,0.269
24900,11684,5,5,1,0.339
24900,23577,5,5,1,0.275
25525,25525,5,5,1,0
25525,87662,5,5,1,0.274
25525,162771,5,5,1,0.778
25525,253819,5,5,1,0.354
28978,69824,5,5,3,1.72
28978,75806,5,5,1,0.319
28978,207509,5,5,2,0.599
28978,230469,5,5,1,0.906
29043,29043,5,5,1,0
29043,33060,5,5,1,0.438
29043,48466,5,5,2,0.337
30200,13547,5,5,1,0.277
30200,30200,5,5,1,0
30200,219079,5,5,1,0.322
31639,23003,5,5,1,0.399
31639,31639,5,5,1,0
31639,61426,5,5,1,0.465
31639,156672,5,5,1,0.582
31639,199123,5,5,4,0.738
31639,233109,5,5,1,0.923
33060,7568,5,5,1,0.327
33060,29043,5,5,1,0.438
33060,33060,5,5,1,0
34487,13615,5,5,1,0.443
34487,20634,5,5,1,0.545
34487,34487,5,5,1,0
34487,77607,5,5,1,0.366
34487,80502,5,5,2,0.355
34487,114883,5,5,1,0.365
34487,204236,5,5,1,0.368
34487,213547,5,5,2,0.351
34487,224528,5,5,2,0.361
34492,7421,5,5,1,0.276
34492,34492,5,5,1,0
34492,35449,5,5,1,0.648
35059,35059,5,5,2,0
35059,82878,5,5,6,1.373
35059,87558,5,5,7,1.353
35059,89274,5,5,1,0.679
35059,95608,5,5,1,0.474
35449,12708,5,5,2,0.547
35449,34492,5,5,1,0.648
35449,35449,5,5,1,0
36382,10977,5,5,1,0.353
36382,12976,5,5,1,0.591
36382,36382,5,5,1,0
36382,253219,5,5,2,0.434
36482,72918,5,5,1,0.416
36482,166888,5,5,1,0.368
40955,93355,5,5,3,2.297
40955,97979,5,5,6,2.263
40955,195858,5,5,5,2.369
40955,209726,5,5,4,2.288
41437,7421,5,5,1,0.251
41437,13725,5,5,1,0.419
41437,41437,5,5,1,0
41437,82882,5,5,1,0.423
41437,106934,5,5,1,0.76
42634,42634,5,5,1,0
42634,72817,5,5,3,0.506
42634,85515,5,5,2,0.303
42634,85519,5,5,1,0.323
42634,93351,5,5,1,0.302
42634,146285,5,5,1,0.364
42634,163691,5,5,1,0.396
42634,175571,5,5,1,0.304
42634,202014,5,5,1,0.527
42634,205773,5,5,1,0.394
42634,231743,5,5,2,0.932
43009,43009,5,5,1,0
43009,252773,5,5,1,0.429
43009,253819,5,5,2,0.795
43875,15074,5,5,1,0.305
43875,43875,5,5,1,0
43875,161925,5,5,2,0.513
44159,44159,5,5,1,0
44159,107910,5,5,2,0.27
44159,125198,5,5,1,0.632
44159,157222,5,5,1,0.289
44159,174562,5,5,1,0.466
44159,199121,5,5,1,0.278
44159,228323,5,5,1,0.405
44159,228326,5,5,1,0.403
47835,12976,5,5,2,0.554
47835,13547,5,5,1,0.592
47835,47835,5,5,1,0
47835,79594,5,5,1,0.378
47835,132865,5,5,3,0.448
47835,197801,5,5,1,0.39
47835,243303,5,5,1,0.575
48466,23577,5,5,1,0.269
48466,48466,5,5,1,0
48466,68099,5,5,1,0.349
48466,259642,5,5,2,0.25
49233,49233,5,5,1,0
49233,69817,5,5,1,0.25
49233,75804,5,5,1,1.04
49233,106230,5,5,1,0.324
49233,256685,5,5,1,0.378
50955,85516,5,5,1,0.287
50955,203110,5,5,1,0.289
51017,51017,5,5,1,0
51017,56446,5,5,2,0.259
51017,103014,5,5,1,0.349
51017,192280,5,5,2,0.275
51017,255799,5,5,3,0.754
51839,59768,5,5,1,0.247
51839,169409,5,5,1,0.371
51841,62830,5,5,1,0.832
51841,216779,5,5,1,0.97
51842,80501,5,5,1,0.293
52039,227023,5,5,1,0.274
52047,77660,5,5,1,0.267
52047,227024,5,5,1,0.226
52215,42634,5,5,1,0.319
52251,208252,5,5,1,0.395
52252,52253,5,5,1,0.111
52253,56108,5,5,1,0.271
52254,52252,5,5,1,0.281
52254,141228,5,5,1,0.187
52255,52256,5,5,1,0.222
52255,215364,5,5,20,4.737
52255,235089,5,5,1,0.243
52256,56089,5,5,1,0.139
52256,164386,5,5,1,0.121
52258,52255,5,5,1,0.186
52878,233113,5,5,1,0.366
52882,169409,5,5,1,0.404
53160,72310,5,5,1,0.21
53160,216061,5,5,1,0.225
53161,103016,5,5,1,0.113
53728,157146,5,5,1,0.228
53729,53728,5,5,1,0.335
53730,84165,5,5,1,0.149
53731,53730,5,5,1,0.214
53732,56925,5,5,1,0.215
53733,201290,5,5,1,0.216
53735,236820,5,5,1,0.248
54085,54086,5,5,1,0.122
54086,81810,5,5,1,0.216
54869,54870,5,5,1,0.273
54870,227026,5,5,2,1.045
54871,54872,5,5,1,0.174
54872,54869,5,5,1,0.057
54872,216889,5,5,1,0.072
54872,255857,5,5,1,0.183
55294,44159,5,5,3,0.368
55294,107910,5,5,2,0.336
55294,157222,5,5,2,0.325
56089,52251,5,5,1,0.372
56108,52255,5,5,1,0.396
56108,52258,5,5,1,0.212
56442,103015,5,5,1,0.109
56443,51017,5,5,1,0.321
56444,56445,5,5,1,0.293
56445,106022,5,5,1,0.265
56446,56447,5,5,1,0.295
56447,56444,5,5,1,0.247
56447,103011,5,5,2,0.696
56447,195862,5,5,1,0.417
56447,255799,5,5,3,0.72
56924,77747,5,5,3,0.726
56924,119426,5,5,1,0.223
56925,56924,5,5,1,0.258
56925,206243,5,5,4,0.369
56927,56929,5,5,1,0.254
56927,170778,5,5,1,0.134
56928,56925,5,5,1,0.245
56929,56928,5,5,1,0.291
56930,56933,5,5,1,0.22
56931,56930,5,5,1,0.224
56932,84364,5,5,1,0.305
56933,56932,5,5,1,0.161
56933,114480,5,5,1,0.354
56933,201292,5,5,1,0.232
57438,122780,5,5,1,0.261
58019,169877,5,5,1,0.298
58048,216786,5,5,1,0.334
58302,259478,5,5,1,0.308
58303,58304,5,5,1,0.278
58304,18079,5,5,1,0.305
58305,58306,5,5,1,0.262
58306,58303,5,5,1,0.261
58307,58305,5,5,1,0.169
58308,58309,5,5,1,0.167
58309,92738,5,5,1,0.324
58454,137561,5,5,1,0.727
58455,58454,5,5,1,0.166
58455,201288,5,5,1,0.179
58456,178778,5,5,1,0.285
58457,58458,5,5,1,0.218
58457,190232,5,5,1,0.036
58458,58456,5,5,1,0.197
58551,72313,5,5,1,0.135
58551,235827,5,5,1,0.565
58552,208788,5,5,1,0.267
58552,218525,5,5,1,0.244
59161,180535,5,5,1,0.287
59161,232882,5,5,1,0.444
59167,87464,5,5,1,0.249
59333,87669,5,5,1,0.224
59748,228327,5,5,1,0.404
59748,235825,5,5,1,0.312
59761,203830,5,5,1,0.293
59767,242570,5,5,3,0.316
59768,43875,5,5,2,0.331
60042,186154,5,5,1,0.491
60079,137292,5,5,1,0.605
60080,60079,5,5,1,0.298
60080,92930,5,5,1,0.095
60081,60079,5,5,2,1.006
60081,60080,5,5,1,0.712
60081,92930,5,5,1,0.807
60082,157221,5,5,1,0.239
60083,96276,5,5,1,0.174
60084,60083,5,5,1,0.421
60084,96276,5,5,1,0.595
60087,252777,5,5,2,1.157
60087,253547,5,5,2,0.48
60088,100783,5,5,1,0.682
60088,261322,5,5,1,0.312
60249,60252,5,5,1,0.135
60249,72910,5,5,1,0.19
60250,60249,5,5,1,0.151
60251,60256,5,5,1,0.312
60252,60251,5,5,1,0.336
60253,60250,5,5,1,0.365
60255,66073,5,5,1,0.243
60255,207509,5,5,1,0.2
60256,66073,5,5,1,0.104
60256,230469,5,5,1,0.317
60296,94779,5,5,1,0.448
60296,115971,5,5,1,0.349
60297,42634,5,5,1,0.483
61425,199120,5,5,1,0.22
61425,218525,5,5,2,0.369
61426,13658,5,5,1,0.391
61426,213549,5,5,1,0.24
61986,124486,5,5,1,0.293
61987,61986,5,5,1,0.349
61988,148969,5,5,1,0.183
62552,72312,5,5,4,3.086
62552,93765,5,5,5,1.3
62553,91389,5,5,1,0.34
62830,197155,5,5,1,0.225
62830,221743,5,5,2,0.823
62831,124844,5,5,1,0.174
62832,197163,5,5,1,0.252
63277,132962,5,5,6,1.201
63277,145096,5,5,13,1.211
63277,252775,5,5,1,0.296
63277,252984,5,5,1,0.202
63403,47835,5,5,2,0.309
63404,63405,5,5,1,0.187
63404,96699,5,5,1,0.426
63405,123528,5,5,1,0.278
63406,66544,5,5,1,0.081
63406,241585,5,5,1,0.105
63407,8827,5,5,2,0.266
63407,14649,5,5,1,0.48
63408,63406,5,5,1,0.215
64089,96553,5,5,1,0.719
64089,100029,5,5,6,0.948
64089,159475,5,5,3,0.742
64090,64089,5,5,1,1.22
64271,85517,5,5,1,0.207
66073,28978,5,5,1,0.529
66075,66076,5,5,1,0.153
66076,53161,5,5,1,0.447
66076,140249,5,5,1,0.253
66544,143031,5,5,1,0.257
66545,66546,5,5,1,0.366
66546,66547,5,5,1,0.23
66546,215364,5,5,1,0.447
66547,143043,5,5,1,0.306
67386,216779,5,5,1,0.366
67474,13947,5,5,1,0.322
67695,67698,5,5,1,0.054
67695,232882,5,5,6,1.911
67696,67695,5,5,1,0.239
67697,67706,5,5,1,0.205
67698,67697,5,5,1,0.307
67699,67701,5,5,2,0.563
67699,67702,5,5,1,0.226
67701,67696,5,5,1,0.29
67701,67706,5,5,1,0.053
67702,67701,5,5,1,0.353
67705,238015,5,5,2,0.421
67705,242767,5,5,1,0.09
67706,77303,5,5,3,0.848
67706,261363,5,5,2,0.489
67943,58308,5,5,1,0.278
67944,67943,5,5,1,0.28
68098,58457,5,5,1,0.347
68099,24900,5,5,2,0.413
68197,68199,5,5,1,0.364
68197,97266,5,5,3,0.429
68198,242768,5,5,1,0.288
68199,68200,5,5,1,0.181
68199,68201,5,5,1,0.185
68199,74364,5,5,1,0.418
68200,63404,5,5,1,0.348
68200,68202,5,5,1,0.266
68201,63404,5,5,1,0.347
68201,97266,5,5,1,0.222
68201,201296,5,5,2,0.55
68202,153191,5,5,1,0.253
69465,53733,5,5,1,0.24
69580,256684,5,5,1,0.21
69817,28978,5,5,1,0.334
69817,75806,5,5,1,0.022
69817,163217,5,5,1,0.079
69819,69820,5,5,1,0.152
69820,69821,5,5,1,0.414
69821,69822,5,5,1,0.225
69822,69823,5,5,1,0.185
69823,69824,5,5,1,0.389
69823,166886,5,5,1,0.264
69824,8827,5,5,10,3.229
69824,69825,5,5,1,0.398
69825,47835,5,5,1,0.259
72201,86517,5,5,3,0.668
72201,210967,5,5,1,0.109
72202,72203,5,5,1,0.093
72202,96698,5,5,1,0.059
72202,200960,5,5,1,0.45
72203,200961,5,5,1,0.189
72309,221743,5,5,1,0.27
72310,80674,5,5,1,0.065
72311,199877,5,5,1,0.178
72312,235821,5,5,1,0.222
72313,235827,5,5,1,0.431
72314,248912,5,5,1,0.173
72803,52255,5,5,1,0.171
72817,85518,5,5,1,0.211
72910,84169,5,5,1,0.394
72910,182675,5,5,2,0.347
72917,36482,5,5,1,0.244
72918,72920,5,5,1,0.114
72920,182689,5,5,1,0.273
73915,73916,5,5,1,0.311
73916,73917,5,5,1,0.103
73917,98054,5,5,2,0.471
73917,165528,5,5,2,0.53
74339,152508,5,5,1,0.254
74360,68199,5,5,1,0.413
74361,74360,5,5,1,0.185
74362,74361,5,5,1,0.254
74363,74362,5,5,1,0.235
74364,68200,5,5,1,0.289
74364,68201,5,5,2,0.303
74474,156702,5,5,1,0.162
74474,167479,5,5,2,0.444
74475,196114,5,5,1,0.272
74475,203833,5,5,1,0.268
75428,44159,5,5,1,0.521
75428,159475,5,5,2,0.613
75725,166973,5,5,4,1.318
75804,75805,5,5,1,0.559
75805,75807,5,5,1,0.309
75806,49233,5,5,1,0.247
