node,layer,lat,lon,degree,geometry
5840,5,53.78739,-2.88181,20,"-2.88181, 53.78739"
7421,5,53.83292,-3.05512,19,"-3.05512, 53.83292"
7568,5,53.86709,-3.04656,12,"-3.04656, 53.86709"
8827,5,53.82193,-3.04928,70,"-3.04928, 53.82193"
10977,5,53.81038,-3.05573,14,"-3.05573, 53.81038"
11684,5,53.84964,-3.0533,17,"-3.0533, 53.84964"
12708,5,53.84615,-3.05365,17,"-3.05365, 53.84615"
12976,5,53.80187,-3.05549,16,"-3.05549, 53.80187"
13547,5,53.7954,-3.05627,16,"-3.05627, 53.7954"
13615,5,53.88139,-3.03903,23,"-3.03903, 53.88139"
13658,5,53.90483,-3.03133,17,"-3.03133, 53.90483"
13725,5,53.8269,-3.0557,13,"-3.0557, 53.8269"
13947,5,53.88489,-3.04005,21,"-3.04005, 53.88489"
14649,5,53.81639,-3.05577,19,"-3.05577, 53.81639"
15074,5,53.90732,-3.02895,16,"-3.02895, 53.90732"
17541,5,53.89039,-3.03995,18,"-3.03995, 53.89039"
18079,5,53.74157,-2.99306,24,"-2.99306, 53.74157"
20634,5,53.87288,-3.04295,20,"-3.04295, 53.87288"
23003,5,53.89725,-3.03945,16,"-3.03945, 53.89725"
23577,5,53.85503,-3.05117,13,"-3.05117, 53.85503"
24900,5,53.85263,-3.05222,13,"-3.05222, 53.85263"
25525,5,53.92011,-3.01695,14,"-3.01695, 53.92011"
28978,5,53.77801,-3.04172,11,"-3.04172, 53.77801"
29043,5,53.86037,-3.04919,14,"-3.04919, 53.86037"
30200,5,53.79291,-3.05659,12,"-3.05659, 53.79291"
31639,5,53.90052,-3.03691,19,"-3.03691, 53.90052"
33060,5,53.86421,-3.04762,14,"-3.04762, 53.86421"
34487,5,53.87742,-3.03978,27,"-3.03978, 53.87742"
34492,5,53.83541,-3.05497,14,"-3.05497, 53.83541"
35059,5,53.83564,-3.03023,18,"-3.03023, 53.83564"
35449,5,53.84124,-3.05435,16,"-3.05435, 53.84124"
36382,5,53.8072,-3.05538,16,"-3.05538, 53.8072"
36482,5,53.78824,-3.05381,12,"-3.05381, 53.78824"
40955,5,53.76444,-2.94353,16,"-2.94353, 53.76444"
41437,5,53.83068,-3.05567,17,"-3.05567, 53.83068"
42634,5,53.7534,-3.02913,28,"-3.02913, 53.7534"
43009,5,53.91652,-3.02035,14,"-3.02035, 53.91652"
43875,5,53.9099,-3.02734,14,"-3.02734, 53.9099"
44159,5,53.84815,-2.99029,29,"-2.99029, 53.84815"
47835,5,53.79862,-3.04906,31,"-3.04906, 53.79862"
48466,5,53.8574,-3.05029,16,"-3.05029, 53.8574"
49233,5,53.77678,-3.04943,31,"-3.04943, 53.77678"
50955,5,53.75404,-3.03713,13,"-3.03713, 53.75404"
51017,5,53.73929,-2.96404,30,"-2.96404, 53.73929"
51839,5,53.91445,-3.03036,3,"-3.03036, 53.91445"
51841,5,53.89481,-3.01817,3,"-3.01817, 53.89481"
51842,5,53.89462,-3.01843,3,"-3.01843, 53.89462"
52039,5,53.7845,-3.02286,2,"-3.02286, 53.7845"
52047,5,53.78156,-3.02082,3,"-3.02082, 53.78156"
52079,5,53.92633,-3.0088,2,"-3.0088, 53.92633"
52215,5,53.75363,-3.02428,2,"-3.02428, 53.75363"
52251,5,53.85546,-3.03271,2,"-3.03271, 53.85546"
52252,5,53.86665,-3.02523,2,"-3.02523, 53.86665"
52253,5,53.86579,-3.02611,2,"-3.02611, 53.86579"
52254,5,53.86793,-3.02152,5,"-3.02152, 53.86793"
52255,5,53.86013,-3.02565,6,"-3.02565, 53.86013"
52256,5,53.85817,-3.02639,3,"-3.02639, 53.85817"
52258,5,53.86178,-3.02621,2,"-3.02621, 53.86178"
52876,5,53.92088,-3.03652,2,"-3.03652, 53.92088"
52878,5,53.91507,-3.03816,2,"-3.03816, 53.91507"
52882,5,53.91516,-3.03811,2,"-3.03811, 53.91516"
53160,5,53.88065,-3.01795,4,"-3.01795, 53.88065"
53161,5,53.74136,-2.97586,3,"-2.97586, 53.74136"
53728,5,53.78705,-3.01332,2,"-3.01332, 53.78705"
53729,5,53.7899,-3.01501,2,"-3.01501, 53.7899"
53730,5,53.79212,-3.01614,2,"-3.01614, 53.79212"
53731,5,53.79395,-3.01719,2,"-3.01719, 53.79395"
53732,5,53.79855,-3.00603,2,"-3.00603, 53.79855"
53733,5,53.79827,-3.00518,2,"-3.00518, 53.79827"
53735,5,53.7922,-3.01639,2,"-3.01639, 53.7922"
54085,5,53.91059,-3.04091,2,"-3.04091, 53.91059"
54086,5,53.91155,-3.04,2,"-3.04, 53.91155"
54869,5,53.7655,-3.01501,3,"-3.01501, 53.7655"
54870,5,53.76654,-3.01123,2,"-3.01123, 53.76654"
54871,5,53.76649,-3.01812,3,"-3.01812, 53.76649"
54872,5,53.7657,-3.01582,4,"-3.01582, 53.7657"
55294,5,53.84901,-2.99572,4,"-2.99572, 53.84901"
56089,5,53.85746,-3.02815,3,"-3.02815, 53.85746"
56108,5,53.86351,-3.0276,4,"-3.0276, 53.86351"
56442,5,53.74143,-2.97528,2,"-2.97528, 53.74143"
56443,5,53.7405,-2.96848,2,"-2.96848, 53.7405"
56444,5,53.73764,-2.95442,2,"-2.95442, 53.73764"
56445,5,53.73791,-2.94997,2,"-2.94997, 53.73791"
56446,5,53.7371,-2.96264,3,"-2.96264, 53.7371"
56447,5,53.73744,-2.95818,5,"-2.95818, 53.73744"
56924,5,53.80047,-3.0123,3,"-3.0123, 53.80047"
56925,5,53.79982,-3.00851,4,"-3.00851, 53.79982"
56927,5,53.79975,-2.99651,3,"-2.99651, 53.79975"
56928,5,53.80004,-3.00478,2,"-3.00478, 53.80004"
56929,5,53.79963,-3.00039,2,"-3.00039, 53.79963"
56930,5,53.79753,-2.99023,2,"-2.99023, 53.79753"
56931,5,53.7994,-2.99155,2,"-2.99155, 53.7994"
56932,5,53.79703,-2.9906,2,"-2.9906, 53.79703"
56933,5,53.79589,-2.99214,6,"-2.99214, 53.79589"
57438,5,53.84005,-3.01744,2,"-3.01744, 53.84005"
