node,layer,lat,lon,degree,geometry
8827,4,53.82193,-3.04928,70,"-3.04928, 53.82193"
18079,4,53.74157,-2.99306,24,"-2.99306, 53.74157"
49233,4,53.77678,-3.04943,31,"-3.04943, 53.77678"
50955,4,53.75404,-3.03713,13,"-3.03713, 53.75404"
51017,4,53.73929,-2.96404,30,"-2.96404, 53.73929"
167604,4,53.84948,-2.92486,9,"-2.92486, 53.84948"
167607,4,53.85563,-2.88367,10,"-2.88367, 53.85563"
167608,4,53.8557,-2.88556,11,"-2.88556, 53.8557"
167610,4,53.85001,-2.92338,12,"-2.92338, 53.85001"
184369,4,53.84364,-2.99167,8,"-2.99167, 53.84364"
232956,4,53.80624,-3.05038,4,"-3.05038, 53.80624"
249107,4,53.84353,-2.99336,9,"-2.99336, 53.84353"
