ori_node,des_node,ori_layer,des_layer,minutes,km
7421,34492,3,3,1,0.276
7421,41437,3,3,1,0.251
7568,7568,3,3,1,0
7568,20634,3,3,1,0.684
7568,33060,3,3,1,0.327
8827,8827,3,3,1,0
8827,10977,3,3,3,1.35
8827,13725,3,3,1,0.693
8827,14649,3,3,1,0.747
8827,41437,3,3,1,1.057
10977,8827,3,3,2,1.35
10977,10977,3,3,1,0
10977,36382,3,3,2,0.353
11684,12708,3,3,1,0.388
11684,24900,3,3,1,0.339
12708,11684,3,3,1,0.388
12708,12708,3,3,1,0
12708,35449,3,3,1,0.547
12976,12976,3,3,1,0
12976,36382,3,3,2,0.591
12976,47835,3,3,1,0.554
13547,30200,3,3,1,0.277
13547,47835,3,3,2,0.592
13615,13615,3,3,1,0
13615,13947,3,3,1,0.394
13615,34487,3,3,3,0.443
13658,15074,3,3,1,0.317
13658,31639,3,3,1,0.601
13725,8827,3,3,1,0.693
13947,13615,3,3,1,0.394
13947,13947,3,3,1,0
13947,17541,3,3,1,0.61
14649,8827,3,3,1,0.747
15074,13658,3,3,1,0.317
15074,43875,3,3,1,0.305
17541,13947,3,3,1,0.61
17541,17541,3,3,1,0
17541,23003,3,3,2,0.762
17866,17866,3,3,1,0
17866,43009,3,3,1,0.529
17866,43875,3,3,1,0.335
20634,7568,3,3,1,0.684
20634,20634,3,3,1,0
20634,34487,3,3,2,0.545
23003,17541,3,3,1,0.762
23003,31639,3,3,2,0.399
23577,24900,3,3,1,0.275
23577,48466,3,3,1,0.269
24900,11684,3,3,2,0.339
24900,23577,3,3,1,0.275
25525,43009,3,3,1,0.456
29043,33060,3,3,1,0.438
29043,48466,3,3,2,0.337
30200,13547,3,3,1,0.277
31639,13658,3,3,2,0.601
31639,23003,3,3,1,0.399
33060,7568,3,3,1,0.327
33060,29043,3,3,1,0.438
34487,13615,3,3,1,0.443
34487,20634,3,3,1,0.545
34492,7421,3,3,1,0.276
34492,35449,3,3,1,0.648
35449,12708,3,3,1,0.547
35449,34492,3,3,2,0.648
35449,35449,3,3,1,0
36382,10977,3,3,1,0.353
36382,12976,3,3,1,0.591
41437,7421,3,3,1,0.251
41437,8827,3,3,1,1.057
43009,17866,3,3,1,0.529
43009,25525,3,3,1,0.456
43875,15074,3,3,1,0.305
43875,17866,3,3,1,0.335
47835,12976,3,3,2,0.554
47835,13547,3,3,1,0.592
48466,23577,3,3,1,0.269
48466,29043,3,3,1,0.337
