ori_node,des_node,ori_layer,des_layer,minutes,km
5840,8827,2,2,16,11.629
5840,40955,2,2,6,4.784
5840,44159,2,2,8,9.8
8827,5840,2,2,14,11.629
8827,35059,2,2,3,1.968
8827,44159,2,2,6,4.838
18079,42634,2,2,3,2.707
18079,51017,2,2,3,1.922
35059,8827,2,2,7,1.968
35059,44159,2,2,4,2.961
36482,47835,2,2,4,1.193
36482,49233,2,2,2,1.304
40955,5840,2,2,7,4.784
40955,51017,2,2,4,3.099
42634,18079,2,2,3,2.707
42634,49233,2,2,3,2.917
44159,5840,2,2,8,9.8
44159,8827,2,2,7,4.838
44159,35059,2,2,3,2.961
47835,36482,2,2,2,1.193
49233,36482,2,2,2,1.304
49233,42634,2,2,4,2.917
51017,18079,2,2,3,1.922
51017,40955,2,2,4,3.099
