node,layer,lat,lon,degree,geometry
5840,2,53.78739,-2.88181,20,"-2.88181, 53.78739"
8827,2,53.82193,-3.04928,70,"-3.04928, 53.82193"
18079,2,53.74157,-2.99306,24,"-2.99306, 53.74157"
35059,2,53.83564,-3.03023,18,"-3.03023, 53.83564"
36482,2,53.78824,-3.05381,12,"-3.05381, 53.78824"
40955,2,53.76444,-2.94353,16,"-2.94353, 53.76444"
42634,2,53.7534,-3.02913,28,"-3.02913, 53.7534"
44159,2,53.84815,-2.99029,29,"-2.99029, 53.84815"
47835,2,53.79862,-3.04906,31,"-3.04906, 53.79862"
49233,2,53.77678,-3.04943,31,"-3.04943, 53.77678"
51017,2,53.73929,-2.96404,30,"-2.96404, 53.73929"
