ori_node,des_node,ori_layer,des_layer,minutes,km
26747,61316,5,5,1,0.224
26747,72286,5,5,1,0.354
26747,82020,5,5,3,0.72
26747,82021,5,5,1,0.365
26747,111776,5,5,2,0.531
26747,131643,5,5,1,0.227
26747,209681,5,5,9,3.894
26747,239821,5,5,9,3.887
26747,243046,5,5,5,3.117
26747,261172,5,5,2,0.391
36267,36267,5,5,1,0
36267,63478,5,5,7,0.515
36267,63952,5,5,1,0.286
36267,77256,5,5,4,0.913
36267,94126,5,5,2,1.025
36267,94699,5,5,2,0.332
36267,102479,5,5,4,0.823
36267,102483,5,5,2,0.295
36267,114891,5,5,3,1.062
36267,121558,5,5,1,0.303
36267,127088,5,5,1,0.268
36267,173502,5,5,3,0.522
36267,228660,5,5,2,0.317
51606,76255,5,5,3,1.599
51607,51608,5,5,6,3.679
51608,66311,5,5,1,0.043
51608,87322,5,5,3,1.825
51609,51614,5,5,1,0.256
51609,77252,5,5,1,0.1
51610,255330,5,5,1,0.28
51611,51606,5,5,6,3.668
51612,51615,5,5,1,0.913
51612,153011,5,5,3,0.858
51612,212669,5,5,1,1.053
51613,63955,5,5,4,3.108
51613,73418,5,5,1,0.558
51613,112381,5,5,1,1.029
51614,209687,5,5,1,0.108
51615,63957,5,5,1,0.336
51615,212669,5,5,1,0.141
51847,69024,5,5,1,0.266
51847,153493,5,5,1,0.314
51847,154831,5,5,1,0.294
51847,159745,5,5,2,1.012
51847,169569,5,5,2,0.662
52834,62528,5,5,1,0.664
52837,253792,5,5,10,4.801
52838,52839,5,5,4,0.493
52839,183289,5,5,1,0.56
52840,68336,5,5,3,0.507
52840,202570,5,5,1,0.712
52840,215599,5,5,1,0.998
52841,219585,5,5,5,0.617
52842,131643,5,5,1,0.467
53146,61473,5,5,1,0.657
53147,62823,5,5,1,0.709
53148,53150,5,5,3,1.519
53149,254119,5,5,1,0.212
53150,53152,5,5,2,0.879
53151,53149,5,5,2,1.503
53151,259889,5,5,1,1.006
53152,53153,5,5,1,0.243
53152,211566,5,5,8,2.972
53153,53147,5,5,1,0.674
53852,243046,5,5,3,1.804
54330,107265,5,5,1,0.502
54330,180382,5,5,1,0.535
55923,159950,5,5,1,1.381
55925,180382,5,5,1,0.158
55926,173060,5,5,1,0.568
55927,55930,5,5,4,1.162
55927,167031,5,5,1,0.248
55928,180383,5,5,3,0.552
55930,84936,5,5,11,4.238
55930,228951,5,5,4,3.922
56567,175930,5,5,2,1.559
56572,75824,5,5,1,1.306
56658,56665,5,5,3,1.252
56659,83163,5,5,1,0.698
56659,257767,5,5,2,1.036
56660,83161,5,5,1,0.636
56660,153495,5,5,2,0.938
56661,83161,5,5,1,0.66
56662,123181,5,5,4,1.122
56663,243044,5,5,5,2.436
56664,56666,5,5,2,1.251
56665,239825,5,5,1,0.271
56666,51608,5,5,4,2.15
57546,198756,5,5,1,0.421
57632,104984,5,5,1,1.265
57633,99549,5,5,1,0.551
57634,114892,5,5,1,0.327
57635,89177,5,5,3,2.37
58251,58261,5,5,2,0.247
58251,87320,5,5,1,0.39
58252,58251,5,5,1,0.13
58261,87320,5,5,1,0.549
58261,255186,5,5,2,0.257
61316,72286,5,5,1,0.207
61318,26747,5,5,1,0.372
61318,131643,5,5,1,0.182
61318,131645,5,5,1,0.186
61318,209681,5,5,11,3.626
61318,239821,5,5,9,3.618
61318,243046,5,5,4,3.081
61319,91602,5,5,1,0.384
61319,121555,5,5,1,0.235
61319,164195,5,5,1,0.625
61320,61321,5,5,1,0.2
61320,91604,5,5,1,0.211
61321,91605,5,5,1,0.171
61321,117433,5,5,1,0.195
61472,53151,5,5,2,0.87
61473,61472,5,5,1,0.266
62525,62531,5,5,1,0.516
62529,114087,5,5,8,2.202
62529,248587,5,5,3,1.978
62531,62529,5,5,1,0.648
62816,72282,5,5,1,0.647
62817,62820,5,5,1,0.626
62818,62821,5,5,1,0.584
62819,62825,5,5,1,0.61
62820,62819,5,5,1,0.583
62821,62816,5,5,1,0.637
62822,53146,5,5,1,0.706
62823,62824,5,5,2,1.865
62824,62818,5,5,1,0.574
62825,62822,5,5,3,1.845
63478,51609,5,5,5,0.967
63478,63952,5,5,1,0.257
63478,228661,5,5,1,0.286
63951,36267,5,5,1,0.487
63951,102483,5,5,1,0.292
63951,173061,5,5,3,0.459
63951,228660,5,5,1,0.328
63952,36267,5,5,1,0.286
63952,121559,5,5,1,0.49
63955,51612,5,5,1,0.124
63956,94120,5,5,1,0.181
63956,102483,5,5,1,0.845
63957,63956,5,5,1,0.178
63957,80223,5,5,1,0.213
63957,159500,5,5,1,0.164
63957,174631,5,5,1,0.137
63970,80220,5,5,4,2.637
63970,83164,5,5,3,2.583
63971,234303,5,5,2,0.785
66307,101719,5,5,2,1.08
66307,251246,5,5,5,2.869
66310,143561,5,5,1,0.082
66311,87322,5,5,4,1.8
66312,75826,5,5,2,0.484
66313,56658,5,5,3,2.163
67150,150348,5,5,5,3.673
68336,215599,5,5,1,0.732
68337,99501,5,5,2,1.281
68975,199358,5,5,1,0.937
69024,169575,5,5,1,0.198
70217,55926,5,5,1,1.419
70217,112381,5,5,2,2.211
70498,70500,5,5,1,0.308
70499,80214,5,5,4,1.724
70500,239822,5,5,1,0.282
70501,70499,5,5,1,0.319
72282,72285,5,5,1,0.308
72283,62817,5,5,1,0.683
72283,72284,5,5,1,0.18
72283,121092,5,5,1,0.446
72283,121553,5,5,1,0.223
72283,127091,5,5,1,0.229
72284,72282,5,5,2,0.154
72284,121092,5,5,1,0.328
72284,127091,5,5,1,0.252
72284,219587,5,5,1,0.341
72285,26747,5,5,1,0.35
72286,72283,5,5,1,0.285
73417,51613,5,5,1,0.556
73417,63955,5,5,6,3.362
73417,98362,5,5,1,0.551
73418,119545,5,5,1,0.557
73418,255337,5,5,1,0.408
73423,73417,5,5,1,0.408
73423,98362,5,5,1,0.953
73424,73423,5,5,1,0.151
73424,255337,5,5,1,0.15
