ori_node,des_node,ori_layer,des_layer,minutes,km
3530,3530,5,5,1,0
3530,78733,5,5,13,4.926
3530,96594,5,5,1,0.635
3530,132181,5,5,2,0.58
3530,248527,5,5,1,0.656
33931,81261,5,5,1,0.066
33931,179699,5,5,1,0.265
33931,257249,5,5,1,0.675
34494,34494,5,5,1,0
34494,78733,5,5,17,5.931
34494,98771,5,5,1,0.411
34494,102247,5,5,1,0.514
34494,166145,5,5,1,0.373
34494,203135,5,5,2,0.39
34494,251575,5,5,4,1.101
36650,36650,5,5,1,0
36650,52078,5,5,2,0.719
36650,106948,5,5,1,0.282
36650,109172,5,5,1,1.611
36650,173623,5,5,3,1.936
36650,211106,5,5,1,0.399
36650,219356,5,5,1,0.609
37359,96520,5,5,1,0.35
37359,132548,5,5,2,0.496
37359,157840,5,5,2,2.894
37359,168289,5,5,12,4.09
37359,214287,5,5,15,3.098
37359,246601,5,5,2,0.526
45852,118501,5,5,1,0.282
45852,130736,5,5,1,0.3
45852,225047,5,5,3,1.688
51827,221721,5,5,1,0.082
51870,51872,5,5,1,0.409
51871,237513,5,5,1,0.232
51872,61589,5,5,1,0.422
52078,106946,5,5,1,0.228
52078,219356,5,5,2,0.842
52491,229175,5,5,1,0.442
53615,75194,5,5,1,0.275
53757,222220,5,5,2,0.989
53774,55190,5,5,1,0.553
53965,99417,5,5,4,2.312
53965,217676,5,5,3,4.393
53965,223668,5,5,3,1.786
54163,117331,5,5,1,0.28
54344,96316,5,5,1,0.312
54535,137963,5,5,1,0.594
54535,150853,5,5,5,0.545
54535,173093,5,5,1,0.39
54733,63770,5,5,1,0.771
54733,242815,5,5,1,0.569
54882,169680,5,5,1,0.356
54882,183791,5,5,6,1.456
55028,121930,5,5,3,1.194
55577,93942,5,5,1,1.186
55577,200453,5,5,2,2.904
55754,55756,5,5,1,0.057
55755,158213,5,5,1,0.221
55756,87633,5,5,1,0.237
56098,110423,5,5,1,0.396
56139,160871,5,5,2,0.949
56198,221747,5,5,2,1.347
56199,149473,5,5,2,1.231
57419,166680,5,5,1,0.72
57568,62209,5,5,1,0.471
57628,187558,5,5,1,0.42
58364,61186,5,5,1,0.245
58388,140028,5,5,3,1.606
58388,224089,5,5,4,4.58
58632,155152,5,5,1,0.361
58633,93595,5,5,1,0.346
59037,68675,5,5,2,0.497
59159,186723,5,5,4,2.611
59438,54733,5,5,1,0.562
59610,67392,5,5,1,0.249
59610,235186,5,5,3,1.293
59611,67392,5,5,1,0.239
59611,100056,5,5,1,0.993
59700,171266,5,5,1,1.054
59700,231653,5,5,3,1.811
59741,120831,5,5,5,6.598
59741,136505,5,5,12,6.736
59741,165805,5,5,2,1.688
59741,220695,5,5,18,6.645
59747,60153,5,5,5,0.776
59747,76547,5,5,5,3.666
59747,109471,5,5,15,4.485
60108,94980,5,5,2,0.578
60109,255989,5,5,1,0.718
60152,59747,5,5,5,0.764
60152,79896,5,5,8,4.038
60152,103770,5,5,2,2.047
60152,145597,5,5,1,0.383
60153,68721,5,5,5,4.769
60153,92570,5,5,30,20.979
60153,121054,5,5,2,1.383
60153,213482,5,5,5,1.574
60180,256390,5,5,3,0.879
60182,232275,5,5,1,1.365
60405,194084,5,5,1,1.121
60712,108514,5,5,3,1.004
60712,175529,5,5,1,0.474
60712,212430,5,5,1,0.235
60802,78835,5,5,3,2.971
60802,222223,5,5,2,1.098
60803,143413,5,5,5,10.239
60803,146839,5,5,1,0.57
60872,139527,5,5,1,0.896
60873,123244,5,5,1,0.687
61186,81543,5,5,1,0.803
61188,68644,5,5,2,2.537
61259,151252,5,5,1,0.825
61322,163937,5,5,1,0.304
61539,148915,5,5,1,0.156
61542,124010,5,5,1,0.338
61579,37359,5,5,1,0.351
61579,140116,5,5,30,5.745
61579,246601,5,5,1,0.289
61589,112689,5,5,1,0.434
61590,180872,5,5,1,0.354
61796,131844,5,5,1,0.356
61796,239263,5,5,1,0.388
61797,130668,5,5,1,0.301
61797,137566,5,5,2,3.019
62128,187401,5,5,1,0.765
62129,76547,5,5,2,0.327
62209,175869,5,5,1,0.236
62356,192290,5,5,2,0.432
63320,114425,5,5,1,0.401
63768,70366,5,5,5,2.54
63768,242816,5,5,1,0.288
63768,262154,5,5,1,0.18
63769,233066,5,5,1,0.221
63770,255761,5,5,1,0.387
63805,229843,5,5,1,0.532
64331,100947,5,5,2,0.974
64524,223668,5,5,2,0.348
64672,244042,5,5,1,0.321
64673,221557,5,5,2,0.549
64674,170471,5,5,1,0.76
65034,61259,5,5,2,0.956
65339,126064,5,5,1,0.453
65339,148376,5,5,1,0.114
65339,184303,5,5,4,1.483
65613,90014,5,5,1,0.419
65686,196613,5,5,2,0.525
65688,180161,5,5,2,0.435
65921,161233,5,5,1,0.43
65921,254707,5,5,3,1.122
66234,241088,5,5,1,0.396
