node,layer,lat,lon,degree,geometry
89,5,53.13216,-0.08484,6,"-0.08484, 53.13216"
92,5,53.15692,-0.09567,4,"-0.09567, 53.15692"
258,5,53.03097,-0.16103,4,"-0.16103, 53.03097"
397,5,52.98824,-0.03547,6,"-0.03547, 52.98824"
400,5,52.97408,-0.03968,4,"-0.03968, 52.97408"
401,5,52.97368,-0.04361,4,"-0.04361, 52.97368"
404,5,52.98067,-0.00494,4,"-0.00494, 52.98067"
944,5,53.10839,0.00925,6,"0.00925, 53.10839"
945,5,52.96308,0.02926,4,"0.02926, 52.96308"
946,5,52.96152,0.02621,6,"0.02621, 52.96152"
1432,5,52.98259,-0.03692,4,"-0.03692, 52.98259"
2845,5,53.01142,-0.07073,4,"-0.07073, 53.01142"
2935,5,53.06758,-0.11442,4,"-0.11442, 53.06758"
2994,5,52.94342,-0.07224,4,"-0.07224, 52.94342"
3218,5,53.09269,0.0049,4,"0.0049, 53.09269"
3965,5,52.9506,-0.03818,4,"-0.03818, 52.9506"
3969,5,53.00693,-0.16763,4,"-0.16763, 53.00693"
4180,5,52.91281,-0.08439,4,"-0.08439, 52.91281"
4317,5,52.98406,0.06677,6,"0.06677, 52.98406"
4503,5,53.03743,-0.03874,6,"-0.03874, 53.03743"
4505,5,53.00518,-0.04597,5,"-0.04597, 53.00518"
4506,5,53.00026,-0.04503,4,"-0.04503, 53.00026"
5191,5,53.00916,0.00106,7,"0.00106, 53.00916"
5192,5,53.01355,0.00524,4,"0.00524, 53.01355"
5208,5,52.98504,-0.0252,4,"-0.0252, 52.98504"
5209,5,52.98609,-0.04241,4,"-0.04241, 52.98609"
5210,5,52.9649,-0.029,11,"-0.029, 52.9649"
5211,5,52.9705,-0.02608,4,"-0.02608, 52.9705"
5212,5,52.98565,-0.03914,4,"-0.03914, 52.98565"
5350,5,52.97432,0.04937,6,"0.04937, 52.97432"
5394,5,52.94647,-0.06465,4,"-0.06465, 52.94647"
5678,5,53.05163,0.06971,4,"0.06971, 53.05163"
5765,5,53.08041,-0.04472,4,"-0.04472, 53.08041"
6034,5,52.98363,-0.0062,4,"-0.0062, 52.98363"
6039,5,52.98688,-0.00812,4,"-0.00812, 52.98688"
6586,5,52.98615,-0.02781,4,"-0.02781, 52.98615"
6611,5,52.97243,-0.03688,4,"-0.03688, 52.97243"
6613,5,52.97392,-0.02211,8,"-0.02211, 52.97392"
6617,5,52.98148,-0.0213,4,"-0.0213, 52.98148"
6835,5,52.96117,0.06116,4,"0.06116, 52.96117"
7478,5,53.11847,-0.17958,4,"-0.17958, 53.11847"
8352,5,53.01026,-0.12353,4,"-0.12353, 53.01026"
8516,5,52.92023,-0.17739,4,"-0.17739, 52.92023"
8922,5,52.99585,-0.10379,4,"-0.10379, 52.99585"
8953,5,53.0103,-0.06874,4,"-0.06874, 53.0103"
9134,5,52.99497,0.0791,6,"0.0791, 52.99497"
9137,5,52.96366,0.00485,7,"0.00485, 52.96366"
9575,5,52.9712,-0.10551,4,"-0.10551, 52.9712"
9577,5,53.0659,-0.13632,4,"-0.13632, 53.0659"
9664,5,53.1175,0.01777,4,"0.01777, 53.1175"
9960,5,52.97812,-0.031,50,"-0.031, 52.97812"
10156,5,53.10786,-0.17014,14,"-0.17014, 53.10786"
10163,5,53.11126,-0.15829,4,"-0.15829, 53.11126"
10359,5,53.0605,0.01454,4,"0.01454, 53.0605"
10508,5,52.8931,-0.11636,4,"-0.11636, 52.8931"
11419,5,52.9027,-0.09427,8,"-0.09427, 52.9027"
11462,5,52.9554,-0.04031,6,"-0.04031, 52.9554"
