node,layer,lat,lon,degree,geometry
16595,5,50.73107,-1.82511,21,"-1.82511, 50.73107"
17080,5,50.74237,-1.69615,12,"-1.69615, 50.74237"
17847,5,50.72758,-1.9192,39,"-1.9192, 50.72758"
22719,5,50.7382,-1.78455,48,"-1.78455, 50.7382"
27778,5,50.75574,-1.65781,48,"-1.65781, 50.75574"
28846,5,50.72753,-1.86394,58,"-1.86394, 50.72753"
46638,5,50.72234,-1.89978,14,"-1.89978, 50.72234"
49166,5,50.7774,-1.8333,8,"-1.8333, 50.7774"
52705,5,50.75905,-1.91171,3,"-1.91171, 50.75905"
52706,5,50.7608,-1.91019,2,"-1.91019, 50.7608"
52707,5,50.76129,-1.91113,3,"-1.91113, 50.76129"
52709,5,50.75776,-1.91336,3,"-1.91336, 50.75776"
52710,5,50.7583,-1.91262,3,"-1.91262, 50.7583"
52711,5,50.76269,-1.91167,5,"-1.91167, 50.76269"
52712,5,50.75847,-1.9114,4,"-1.9114, 50.75847"
52744,5,50.76879,-1.91959,3,"-1.91959, 50.76879"
52745,5,50.76644,-1.92185,2,"-1.92185, 50.76644"
52746,5,50.76652,-1.92126,2,"-1.92126, 50.76652"
52747,5,50.76902,-1.91986,3,"-1.91986, 50.76902"
52996,5,50.74701,-1.86835,2,"-1.86835, 50.74701"
53427,5,50.76202,-1.9279,2,"-1.9279, 50.76202"
54286,5,50.71925,-1.78577,2,"-1.78577, 50.71925"
54287,5,50.71977,-1.7865,2,"-1.7865, 50.71977"
54288,5,50.72082,-1.78884,2,"-1.78884, 50.72082"
54524,5,50.73472,-1.7342,3,"-1.7342, 50.73472"
54904,5,50.74029,-1.89969,2,"-1.89969, 50.74029"
55353,5,50.75226,-1.6334,1,"-1.6334, 50.75226"
55447,5,50.80614,-1.9109,4,"-1.9109, 50.80614"
55448,5,50.80701,-1.90519,2,"-1.90519, 50.80701"
55449,5,50.80537,-1.91681,2,"-1.91681, 50.80537"
55450,5,50.80629,-1.91097,5,"-1.91097, 50.80629"
55451,5,50.80921,-1.88763,3,"-1.88763, 50.80921"
55452,5,50.80899,-1.88807,4,"-1.88807, 50.80899"
55453,5,50.80666,-1.90676,3,"-1.90676, 50.80666"
55454,5,50.80782,-1.89875,7,"-1.89875, 50.80782"
55455,5,50.80962,-1.8843,2,"-1.8843, 50.80962"
55456,5,50.80941,-1.88478,2,"-1.88478, 50.80941"
55971,5,50.73327,-1.85911,2,"-1.85911, 50.73327"
55972,5,50.73361,-1.85884,2,"-1.85884, 50.73361"
55973,5,50.73412,-1.85793,2,"-1.85793, 50.73412"
55974,5,50.7322,-1.86445,2,"-1.86445, 50.7322"
55975,5,50.73189,-1.86084,2,"-1.86084, 50.73189"
55976,5,50.73187,-1.86064,2,"-1.86064, 50.73187"
56537,5,50.73234,-1.80976,2,"-1.80976, 50.73234"
