ori_node,des_node,ori_layer,des_layer,minutes,km
17080,22719,4,4,5,6.228
17080,27778,4,4,7,3.075
17847,28846,4,4,10,3.883
17847,46638,4,4,4,1.483
22719,17080,4,4,5,6.228
22719,178091,4,4,10,3.92
27778,17080,4,4,7,3.075
28846,17847,4,4,8,3.883
28846,46638,4,4,5,2.584
28846,99726,4,4,15,14.211
28846,109630,4,4,10,2.983
28846,178091,4,4,5,1.826
28846,219445,4,4,10,1.528
46638,17847,4,4,2,1.483
46638,28846,4,4,8,2.584
99726,28846,4,4,15,14.211
109630,28846,4,4,10,2.983
178091,22719,4,4,10,3.92
178091,28846,4,4,5,1.826
219445,99726,4,4,30,15.678
