ori_node,des_node,ori_layer,des_layer,minutes,km
906,4515,2,2,3,3.862
906,26198,2,2,1,1.2
2029,4515,2,2,3,4.54
4515,906,2,2,2,3.862
4515,2029,2,2,3,4.54
4515,26198,2,2,4,4.728
4515,28135,2,2,7,9.245
11571,19398,2,2,3,2.807
11571,28135,2,2,5,4.23
19398,11571,2,2,5,2.807
19398,28135,2,2,3,1.438
25363,28135,2,2,3,2.308
26107,26198,2,2,3,3.267
26107,28135,2,2,2,1.266
26198,906,2,2,1,1.2
26198,4515,2,2,5,4.728
26198,26107,2,2,2,3.267
26198,28135,2,2,4,4.524
28135,11571,2,2,10,4.23
28135,19398,2,2,2,1.438
28135,25363,2,2,3,2.308
28135,26107,2,2,1,1.266
28135,26198,2,2,4,4.524
