ori_node,des_node,ori_layer,des_layer,minutes,km
7585,7585,5,5,1,0
7585,82792,5,5,1,0.385
7585,147678,5,5,1,0.259
7585,147681,5,5,1,0.332
7585,208111,5,5,1,0.358
7990,137243,5,5,1,0.304
7990,198976,5,5,1,0.409
10147,138887,5,5,1,0.274
10147,147361,5,5,1,0.414
10147,227927,5,5,1,0.255
13471,13471,5,5,1,0
13471,52499,5,5,1,0.713
13471,69811,5,5,1,0.307
13471,80784,5,5,1,0.727
13471,157474,5,5,6,0.352
13471,164792,5,5,1,0.664
13471,181796,5,5,2,0.256
13471,181797,5,5,3,0.27
13471,181798,5,5,1,0.261
13471,181799,5,5,1,0.279
13471,181801,5,5,1,0.272
13471,181803,5,5,2,0.285
13471,201923,5,5,3,0.282
13471,205592,5,5,1,0.63
13471,230481,5,5,2,0.296
13471,230485,5,5,1,0.279
13471,233437,5,5,4,0.712
13471,245460,5,5,5,1.262
13471,258393,5,5,1,0.293
13944,52168,5,5,1,0.461
13944,101396,5,5,1,0.258
13944,101939,5,5,3,1.28
13944,178551,5,5,1,0.475
13944,178553,5,5,1,0.558
13944,181381,5,5,1,0.564
13944,231041,5,5,1,0.362
23055,23055,5,5,1,0
23055,69812,5,5,1,0.626
23055,81460,5,5,1,0.503
23055,92019,5,5,1,0.359
23055,259002,5,5,2,0.281
23055,259327,5,5,1,0.523
44189,65889,5,5,1,0.432
44189,136121,5,5,1,0.465
44189,219684,5,5,1,0.362
44189,225746,5,5,1,0.263
44189,246512,5,5,2,0.387
48355,48355,5,5,1,0
48355,162458,5,5,2,1.011
48355,174918,5,5,2,0.305
48355,223577,5,5,1,0.413
48355,227924,5,5,1,0.362
48355,237609,5,5,2,0.269
48355,237615,5,5,1,0.275
49085,49085,5,5,1,0
49085,209267,5,5,1,0.376
49085,229492,5,5,1,0.263
49781,49781,5,5,1,0
49781,113473,5,5,1,0.452
49781,124372,5,5,2,0.711
49781,253424,5,5,1,0.339
51640,80558,5,5,1,0.51
51640,235379,5,5,3,3.02
51641,154725,5,5,1,0.646
52136,135538,5,5,1,0.4
52168,111185,5,5,1,0.338
52169,13944,5,5,2,0.459
52176,171528,5,5,1,1.067
52361,51640,5,5,1,0.65
52493,49781,5,5,2,0.65
52493,113473,5,5,1,0.469
52494,69676,5,5,1,0.873
52494,124372,5,5,1,0.558
52494,232149,5,5,1,0.207
52494,253424,5,5,4,0.739
52495,52494,5,5,1,0.234
52497,52500,5,5,1,0.362
52497,249462,5,5,1,0.679
52498,52495,5,5,1,0.238
52499,52498,5,5,1,0.442
52500,13471,5,5,2,0.704
52500,52501,5,5,1,0.025
52500,181797,5,5,3,0.593
52500,181798,5,5,2,0.568
52500,181799,5,5,2,0.583
52500,181802,5,5,2,0.581
52500,181804,5,5,2,0.586
52500,201923,5,5,2,0.584
52500,249462,5,5,1,0.339
52500,253420,5,5,2,0.572
52501,253420,5,5,1,0.553
53224,65890,5,5,1,0.146
53491,114736,5,5,2,0.348
53491,222577,5,5,1,0.33
54062,54064,5,5,1,0.227
54064,67216,5,5,2,2.113
54065,235409,5,5,1,0.235
54066,86046,5,5,1,0.182
54105,157252,5,5,1,0.125
55637,164789,5,5,1,0.504
55986,82792,5,5,1,0.215
55996,96885,5,5,1,0.304
55997,55996,5,5,1,0.234
55998,157577,5,5,1,0.388
56191,171033,5,5,2,0.538
56191,171034,5,5,1,0.571
56192,86229,5,5,1,0.168
56284,173294,5,5,1,0.83
56288,257378,5,5,1,0.349
56290,56291,5,5,1,0.551
56291,154615,5,5,1,0.176
56419,220614,5,5,1,0.245
57223,227926,5,5,1,0.295
57425,52497,5,5,1,0.207
57459,157578,5,5,1,0.188
57462,137718,5,5,1,0.452
58151,180854,5,5,1,0.942
58153,157477,5,5,1,0.079
58155,58156,5,5,1,0.185
