node,layer,lat,lon,degree,geometry
7585,2,51.52574,-3.69808,17,"-3.69808, 51.52574"
7990,2,51.53872,-3.58993,12,"-3.58993, 51.53872"
10147,2,51.60534,-3.64901,14,"-3.64901, 51.60534"
13471,2,51.50698,-3.5753,54,"-3.5753, 51.50698"
13944,2,51.40975,-3.48164,23,"-3.48164, 51.40975"
23055,2,51.52461,-3.5005,22,"-3.5005, 51.52461"
44189,2,51.54737,-3.59557,17,"-3.59557, 51.54737"
48355,2,51.60994,-3.65467,19,"-3.65467, 51.60994"
49085,2,51.59645,-3.64147,14,"-3.64147, 51.59645"
49781,2,51.52087,-3.57965,15,"-3.57965, 51.52087"
