ori_node,des_node,ori_layer,des_layer,minutes,km
20637,71129,5,5,1,0.379
20637,171050,5,5,1,0.452
23523,23523,5,5,1,0
23523,61608,5,5,1,0.481
23523,71132,5,5,2,0.353
23523,233162,5,5,1,0.579
42551,55716,5,5,8,2.227
42551,146278,5,5,1,0.574
42551,203921,5,5,1,0.323
42551,234431,5,5,15,4.373
42551,260540,5,5,8,3.383
49732,49732,5,5,1,0
49732,53509,5,5,1,0.504
49732,217458,5,5,1,0.594
49732,217459,5,5,1,0.4
49732,237016,5,5,3,1.025
49732,244609,5,5,4,2.266
51273,51885,5,5,1,0.491
51273,53930,5,5,1,0.412
51273,55359,5,5,2,0.44
51273,64954,5,5,1,0.34
51273,80814,5,5,1,0.347
51881,64953,5,5,1,0.234
51881,236674,5,5,1,0.407
51882,51273,5,5,2,0.533
51883,51888,5,5,1,0.351
51883,64951,5,5,1,0.232
51884,51882,5,5,1,0.282
51885,229507,5,5,1,0.235
51888,61604,5,5,1,0.259
51889,51273,5,5,4,0.574
51889,64955,5,5,1,0.255
51889,64956,5,5,1,0.239
51954,227387,5,5,1,0.517
53343,74383,5,5,1,0.38
53500,217456,5,5,2,0.325
53503,172923,5,5,2,0.216
53503,217456,5,5,2,0.404
53506,207825,5,5,1,0.256
53508,217457,5,5,1,0.193
53509,172943,5,5,1,0.169
53511,172939,5,5,1,0.251
53512,190642,5,5,1,0.134
53673,53684,5,5,1,0.287
53674,63354,5,5,1,0.17
53674,123255,5,5,1,0.148
53678,121531,5,5,1,0.485
53678,121532,5,5,1,0.488
53679,53681,5,5,1,0.36
53680,53678,5,5,1,0.382
53681,53683,5,5,1,0.524
53682,53680,5,5,1,0.521
53683,53685,5,5,1,0.233
53684,53682,5,5,1,0.229
53685,53674,5,5,1,0.285
53930,51881,5,5,1,0.395
53930,51883,5,5,3,0.354
53930,64955,5,5,1,0.266
53930,242507,5,5,1,0.125
55356,55361,5,5,1,0.237
55357,80812,5,5,1,0.111
55358,55363,5,5,1,0.35
55358,71128,5,5,1,0.149
55359,51273,5,5,4,0.44
55359,229507,5,5,1,0.34
55360,55362,5,5,1,0.288
55360,64952,5,5,1,0.259
55361,55360,5,5,1,0.288
55362,55357,5,5,1,0.241
55363,256406,5,5,1,0.24
55712,57243,5,5,1,0.736
55713,55716,5,5,4,1.238
55714,55713,5,5,4,1.134
55715,55714,5,5,2,1.109
55716,55715,5,5,5,1.631
55716,55718,5,5,5,1.788
55717,42551,5,5,12,2.247
55718,55716,5,5,3,1.788
55718,229117,5,5,2,0.788
55721,55719,5,5,2,0.65
55722,103898,5,5,1,0.621
55752,55753,5,5,1,0.334
55753,262096,5,5,1,0.179
55757,76959,5,5,1,0.156
55758,163864,5,5,17,9.414
55759,55757,5,5,1,0.138
56786,56788,5,5,1,1.025
56787,56785,5,5,2,1.113
56788,257868,5,5,1,0.585
56789,66408,5,5,1,0.526
57242,256732,5,5,1,0.638
57242,258388,5,5,1,0.491
57243,258387,5,5,1,0.512
58051,117366,5,5,1,0.202
58051,117367,5,5,4,1.831
58051,238756,5,5,2,0.45
58051,248768,5,5,12,6.006
58054,193826,5,5,2,0.807
58054,238757,5,5,1,0.27
60891,107697,5,5,2,0.27
60894,262099,5,5,1,0.396
60895,65300,5,5,6,1.339
60895,75221,5,5,3,1.42
60895,108061,5,5,1,0.482
60895,162288,5,5,1,0.545
60895,163861,5,5,1,0.782
60895,234428,5,5,3,0.862
60895,260498,5,5,4,0.873
60896,60891,5,5,1,0.207
61601,61605,5,5,1,0.538
61603,51889,5,5,1,0.342
61604,80451,5,5,1,0.205
61604,177062,5,5,1,0.345
61604,258587,5,5,1,1.621
61605,23523,5,5,1,0.498
61605,71132,5,5,1,0.307
61606,79043,5,5,1,0.543
61606,258551,5,5,1,0.614
61607,258573,5,5,2,1.548
61608,61606,5,5,1,0.516
61608,65306,5,5,19,9.711
63349,63350,5,5,3,1.651
63350,182195,5,5,1,0.519
63351,53673,5,5,1,0.166
63351,182196,5,5,1,0.364
63352,130439,5,5,3,1.667
63353,53673,5,5,1,0.145
63354,72854,5,5,3,1.364
64951,55360,5,5,1,0.262
64952,51889,5,5,2,0.23
64953,51883,5,5,1,0.241
64953,99712,5,5,1,0.124
64954,51883,5,5,2,0.253
64955,51884,5,5,1,0.2
64955,177064,5,5,1,0.389
64956,51273,5,5,2,0.348
64956,80814,5,5,1,0.326
65195,80161,5,5,1,0.177
65199,159043,5,5,1,0.257
65298,186807,5,5,1,0.363
65298,207821,5,5,1,0.17
65298,207823,5,5,1,0.695
65299,238655,5,5,1,0.485
65300,65302,5,5,1,0.456
65300,75221,5,5,2,0.404
65300,211963,5,5,3,0.376
65301,65306,5,5,1,0.357
65301,70425,5,5,3,1.064
65301,182181,5,5,2,0.384
65301,186806,5,5,3,0.742
65302,65298,5,5,1,0.403
65302,162294,5,5,1,0.242
65302,238655,5,5,2,0.859
65303,65301,5,5,1,0.456
65303,75221,5,5,1,0.438
65304,65305,5,5,3,0.306
65304,163861,5,5,5,0.402
65305,61605,5,5,20,9.693
65305,65300,5,5,1,0.305
65305,182181,5,5,1,0.528
65306,65304,5,5,3,0.259
65306,135251,5,5,1,0.198
65306,207818,5,5,1,0.347
65306,234424,5,5,2,0.292
65306,234425,5,5,4,0.286
65306,234427,5,5,1,0.277
65306,234428,5,5,2,0.273
66408,55662,5,5,1,2.101
66408,163864,5,5,2,0.464
66409,56793,5,5,1,0.622
66409,229810,5,5,3,1.869
66409,254486,5,5,2,1.478
66412,66409,5,5,2,2.061
66876,145262,5,5,1,0.328
70425,60894,5,5,1,0.331
70427,70429,5,5,1,0.434
70428,225341,5,5,1,0.296
70429,228901,5,5,8,5.064
70429,238648,5,5,3,0.911
70430,70428,5,5,1,0.44
70431,65305,5,5,2,0.708
70431,70425,5,5,1,0.416
70431,72816,5,5,1,0.189
70431,89787,5,5,1,0.451
70431,206140,5,5,1,0.451
70432,70425,5,5,1,0.439
70432,72816,5,5,1,0.201
70750,70755,5,5,1,0.251
70752,70750,5,5,1,0.232
70753,80450,5,5,1,0.253
70755,227107,5,5,1,0.231
70756,70753,5,5,1,0.222
70775,107500,5,5,1,0.706
71128,20637,5,5,1,0.347
71128,246590,5,5,1,0.1
71129,122981,5,5,1,0.178
71132,20637,5,5,1,0.438
71132,256409,5,5,1,0.606
71560,225346,5,5,1,0.378
72795,70427,5,5,1,0.315
72795,184515,5,5,2,0.321
72816,65304,5,5,4,0.357
72816,65305,5,5,6,0.657
72816,96212,5,5,3,0.4
72816,207818,5,5,1,0.3
72816,234424,5,5,2,0.386
72816,234425,5,5,3,0.393
72816,234427,5,5,3,0.408
72816,234428,5,5,2,0.414
72851,63349,5,5,1,0.298
72852,226973,5,5,1,0.315
72853,63351,5,5,3,1.355
74383,177057,5,5,1,0.496
75221,55758,5,5,1,0.48
75221,65301,5,5,1,0.391
75221,65302,5,5,1,0.446
75221,124124,5,5,10,2.142
75221,238655,5,5,2,1.165
75221,262099,5,5,2,1.634
76461,145263,5,5,1,0.42
76463,76461,5,5,1,0.364
76464,76466,5,5,1,1.118
76465,76461,5,5,1,0.984
76465,76463,5,5,1,0.62
76466,76468,5,5,1,0.245
76467,76465,5,5,1,1.146
76468,42551,5,5,1,0.282
76959,55752,5,5,1,0.142
79042,238649,5,5,4,1.488
79043,79066,5,5,1,1.583
79045,80815,5,5,3,0.66
79045,122965,5,5,1,0.172
79066,137569,5,5,1,1.546
79702,71128,5,5,1,0.233
80161,159042,5,5,1,0.198
80446,70756,5,5,1,0.227
80448,80446,5,5,1,0.228
80449,80448,5,5,1,0.284
80450,258573,5,5,1,0.122
80451,70752,5,5,1,0.246
80452,223115,5,5,2,0.644
80812,229522,5,5,1,0.348
80813,51273,5,5,3,0.405
80814,80812,5,5,1,0.332
80815,55359,5,5,2,0.367
80815,229509,5,5,1,0.282
80816,79045,5,5,1,0.176
80816,79702,5,5,1,0.243
80816,236677,5,5,1,0.065
80817,229524,5,5,1,0.327
82046,90083,5,5,1,0.606
83519,56786,5,5,1,1.105
84207,75221,5,5,13,3.511
84207,84209,5,5,2,1.65
84207,178714,5,5,2,1.98
84208,84214,5,5,1,0.57
84209,178714,5,5,1,0.332
84210,84208,5,5,4,1.702
84211,84213,5,5,1,0.46
84212,174713,5,5,1,0.721
84213,84207,5,5,1,0.483
84214,84212,5,5,1,0.301
84214,174713,5,5,1,1.022
89787,72795,5,5,1,0.516
89788,70432,5,5,1,0.159
89788,206140,5,5,1,0.347
89789,260498,5,5,1,0.137
90083,61607,5,5,1,1.356
90083,84207,5,5,17,9.391
90083,121531,5,5,3,0.07
90083,227384,5,5,4,3.224
92179,92184,5,5,1,0.498
92180,92185,5,5,1,0.505
92181,92183,5,5,2,0.526
92182,207461,5,5,1,0.265
92183,92180,5,5,2,0.994
92184,92182,5,5,1,0.303
92186,92179,5,5,3,0.973
95128,195902,5,5,10,1.456
95148,156839,5,5,4,1.694
95148,242919,5,5,10,4.549
96212,163861,5,5,5,0.395
96212,176084,5,5,3,0.676
96212,217461,5,5,2,0.29
99409,131163,5,5,4,0.688
99409,206144,5,5,1,0.345
99712,51273,5,5,2,0.528
99713,219142,5,5,5,3.004
101831,92186,5,5,1,0.496
103898,159250,5,5,1,0.543
106266,205988,5,5,1,0.139
106289,205990,5,5,3,2.78
106291,223510,5,5,1,0.259
107493,107499,5,5,3,1.23
107494,107499,5,5,3,1.22
107494,205514,5,5,7,4.012
107494,238751,5,5,2,0.995
107499,70774,5,5,1,0.702
107500,107494,5,5,2,1.216
107697,262098,5,5,1,0.194
108061,70432,5,5,2,0.312
108061,124124,5,5,2,0.938
109193,109202,5,5,1,0.872
109194,190103,5,5,2,1.349
109196,206142,5,5,7,3.232
109196,213684,5,5,1,1.34
109197,109199,5,5,1,0.288
109198,109196,5,5,1,0.251
109199,119090,5,5,1,0.316
109199,248776,5,5,1,0.325
109202,99409,5,5,1,0.221
109202,131163,5,5,2,0.903
109203,109194,5,5,1,0.641
109467,223515,5,5,1,0.878
109468,191927,5,5,2,1.318
111528,237013,5,5,1,0.243
116792,186804,5,5,1,0.844
116792,205539,5,5,2,1.571
117366,117367,5,5,3,1.936
117366,117369,5,5,5,4.012
117366,238754,5,5,1,0.619
117366,248768,5,5,12,5.817
