ori_node,des_node,ori_layer,des_layer,minutes,km
53308,161829,5,5,5,2.751
53308,161830,5,5,10,3.564
53308,215344,5,5,6,2.128
55769,69942,5,5,1,0.157
60963,171567,5,5,5,2.69
60971,156918,5,5,5,2.583
68624,97647,5,5,1,1.386
68625,68624,5,5,1,0.295
69942,177013,5,5,2,0.582
72457,100881,5,5,2,0.51
72457,215597,5,5,1,0.411
73186,195045,5,5,1,0.436
73186,195046,5,5,3,0.416
73187,219189,5,5,1,0.096
81624,126230,5,5,3,0.828
87812,97645,5,5,1,0.663
87812,206117,5,5,1,0.172
88005,88014,5,5,3,0.981
88006,88005,5,5,1,0.31
88007,88006,5,5,1,0.627
88007,139110,5,5,1,0.759
88008,88007,5,5,1,0.291
88009,88008,5,5,3,2.842
88009,88014,5,5,8,4.907
88010,88009,5,5,1,0.509
88011,149135,5,5,2,1.658
88232,214375,5,5,6,2.418
88233,260664,5,5,1,0.16
88234,88235,5,5,1,1.11
88235,88234,5,5,5,1.11
88235,259920,5,5,4,2.639
91180,120121,5,5,7,2.37
91180,223589,5,5,5,2.004
91181,158987,5,5,1,0.551
91182,91181,5,5,1,0.286
91183,242068,5,5,2,0.521
91184,91183,5,5,1,0.53
91185,91184,5,5,1,0.434
91186,91187,5,5,1,0.231
91187,91185,5,5,3,0.481
97643,97644,5,5,1,0.324
97644,177016,5,5,1,0.215
97644,259946,5,5,1,0.101
97645,97646,5,5,1,0.807
97645,249397,5,5,2,0.752
97646,97651,5,5,2,1.374
97647,97648,5,5,1,0.759
97648,97649,5,5,1,0.669
97649,97650,5,5,1,0.742
97649,175539,5,5,1,0.19
97650,97643,5,5,1,0.311
97651,97652,5,5,1,0.293
97652,88011,5,5,1,0.281
100594,242062,5,5,1,0.594
100596,148792,5,5,5,1.855
100596,156916,5,5,5,2.561
100596,254289,5,5,1,0.248
100880,252235,5,5,1,0.161
100880,254289,5,5,1,0.212
100881,121995,5,5,5,0.478
100881,161832,5,5,2,0.512
100883,100884,5,5,1,0.319
100884,100880,5,5,1,0.218
100885,238417,5,5,1,0.477
100887,100883,5,5,1,0.186
110207,195052,5,5,3,0.56
116958,53308,5,5,1,0.46
120110,73187,5,5,3,1.062
120110,242067,5,5,2,0.354
120110,258342,5,5,1,0.225
120115,120121,5,5,1,0.386
120115,163461,5,5,1,0.539
120121,163461,5,5,1,0.156
121995,100881,5,5,2,0.478
121995,212469,5,5,2,0.219
