node,layer,lat,lon,degree,geometry
53308,5,50.82255,-2.89234,5,"-2.89234, 50.82255"
55769,5,50.73496,-2.77325,2,"-2.77325, 50.73496"
60963,5,50.77892,-2.83088,2,"-2.83088, 50.77892"
60971,5,50.77881,-2.8302,2,"-2.8302, 50.77881"
68624,5,50.7329,-2.69946,2,"-2.69946, 50.7329"
68625,5,50.73285,-2.69525,2,"-2.69525, 50.73285"
69942,5,50.73459,-2.77108,3,"-2.77108, 50.73459"
72457,5,50.73053,-2.76411,4,"-2.76411, 50.73053"
73186,5,50.81044,-2.73311,3,"-2.73311, 50.81044"
73187,5,50.8116,-2.72958,4,"-2.72958, 50.8116"
81624,5,50.79782,-2.86786,2,"-2.86786, 50.79782"
87812,5,50.73447,-2.77078,4,"-2.77078, 50.73447"
88005,5,50.73887,-2.90696,4,"-2.90696, 50.73887"
88006,5,50.73863,-2.90256,2,"-2.90256, 50.73863"
88007,5,50.73794,-2.8937,3,"-2.8937, 50.73794"
88008,5,50.73901,-2.88991,2,"-2.88991, 50.73901"
88009,5,50.74255,-2.84985,3,"-2.84985, 50.74255"
88010,5,50.74086,-2.84311,2,"-2.84311, 50.74086"
88011,5,50.73209,-2.81893,2,"-2.81893, 50.73209"
88014,5,50.74249,-2.9197,3,"-2.9197, 50.74249"
88232,5,50.7413,-2.70246,2,"-2.70246, 50.7413"
88233,5,50.74547,-2.73732,3,"-2.73732, 50.74547"
88234,5,50.74135,-2.70241,2,"-2.70241, 50.74135"
88235,5,50.74538,-2.71687,4,"-2.71687, 50.74538"
91180,5,50.72123,-2.71327,4,"-2.71327, 50.72123"
91181,5,50.73151,-2.73373,2,"-2.73373, 50.73151"
91182,5,50.73016,-2.7372,2,"-2.7372, 50.73016"
91183,5,50.73234,-2.74766,2,"-2.74766, 50.73234"
91184,5,50.7283,-2.75168,2,"-2.75168, 50.7283"
91185,5,50.72439,-2.75153,2,"-2.75153, 50.72439"
91186,5,50.72228,-2.75312,2,"-2.75312, 50.72228"
91187,5,50.7202,-2.75327,2,"-2.75327, 50.7202"
97643,5,50.73285,-2.75239,5,"-2.75239, 50.73285"
97644,5,50.73335,-2.75694,3,"-2.75694, 50.73335"
97645,5,50.7347,-2.78022,4,"-2.78022, 50.7347"
97646,5,50.73285,-2.79134,3,"-2.79134, 50.73285"
97647,5,50.73254,-2.71918,2,"-2.71918, 50.73254"
97648,5,50.73504,-2.72924,2,"-2.72924, 50.73504"
97649,5,50.7362,-2.73859,4,"-2.73859, 50.7362"
97650,5,50.73314,-2.74798,3,"-2.74798, 50.73314"
97651,5,50.73153,-2.81079,2,"-2.81079, 50.73153"
97652,5,50.73186,-2.81494,2,"-2.81494, 50.73186"
100594,5,50.70864,-2.73978,2,"-2.73978, 50.70864"
100596,5,50.73818,-2.76479,6,"-2.76479, 50.73818"
100880,5,50.73958,-2.76385,3,"-2.76385, 50.73958"
100881,5,50.72597,-2.76313,4,"-2.76313, 50.72597"
100883,5,50.73705,-2.76254,2,"-2.76254, 50.73705"
100884,5,50.73969,-2.76074,2,"-2.76074, 50.73969"
100885,5,50.74141,-2.76182,2,"-2.76182, 50.74141"
100887,5,50.73537,-2.7625,3,"-2.7625, 50.73537"
110207,5,50.82391,-2.85809,2,"-2.85809, 50.82391"
116958,5,50.82536,-2.88751,2,"-2.88751, 50.82536"
120110,5,50.81318,-2.74451,5,"-2.74451, 50.81318"
120115,5,50.70358,-2.72801,3,"-2.72801, 50.70358"
120121,5,50.70104,-2.72425,3,"-2.72425, 50.70104"
121995,5,50.7265,-2.75638,3,"-2.75638, 50.7265"
126230,5,50.79325,-2.87719,1,"-2.87719, 50.79325"
126231,5,50.7933,-2.87739,1,"-2.87739, 50.7933"
127461,5,50.83006,-2.8566,2,"-2.8566, 50.83006"
129358,5,50.73303,-2.70529,2,"-2.70529, 50.73303"
129359,5,50.73297,-2.72015,3,"-2.72015, 50.73297"
129360,5,50.73296,-2.69514,2,"-2.69514, 50.73296"
132990,5,50.69119,-2.67014,2,"-2.67014, 50.69119"
139105,5,50.74465,-2.89607,2,"-2.89607, 50.74465"
139110,5,50.74459,-2.89624,2,"-2.89624, 50.74459"
140536,5,50.79603,-2.85458,2,"-2.85458, 50.79603"
148784,5,50.82014,-2.79997,6,"-2.79997, 50.82014"
148785,5,50.78496,-2.78636,3,"-2.78636, 50.78496"
148788,5,50.80316,-2.77852,2,"-2.77852, 50.80316"
148789,5,50.80313,-2.77808,2,"-2.77808, 50.80313"
148792,5,50.75429,-2.77181,4,"-2.77181, 50.75429"
148793,5,50.76625,-2.77341,2,"-2.77341, 50.76625"
149132,5,50.69372,-2.66844,2,"-2.66844, 50.69372"
149134,5,50.7393,-2.78867,2,"-2.78867, 50.7393"
149135,5,50.74028,-2.83867,3,"-2.83867, 50.74028"
149137,5,50.75129,-2.84325,2,"-2.84325, 50.75129"
