node,layer,lat,lon,degree,geometry
1943,5,50.829,-0.14128,56,"-0.14128, 50.829"
5363,5,50.82386,-0.14547,26,"-0.14547, 50.82386"
6441,5,50.86508,-0.15244,19,"-0.15244, 50.86508"
6448,5,50.79146,-0.00225,21,"-0.00225, 50.79146"
6766,5,50.82809,-0.17067,18,"-0.17067, 50.82809"
6929,5,50.78784,0.01863,16,"0.01863, 50.78784"
9850,5,50.83521,-0.17069,33,"-0.17069, 50.83521"
11186,5,50.83666,-0.1365,36,"-0.1365, 50.83666"
12072,5,50.85875,-0.13295,8,"-0.13295, 50.85875"
12074,5,50.85835,-0.131,8,"-0.131, 50.85835"
12090,5,50.8375,-0.15844,17,"-0.15844, 50.8375"
14573,5,50.8433,-0.1346,10,"-0.1346, 50.8433"
16456,5,50.82538,-0.1214,5,"-0.1214, 50.82538"
18547,5,50.86212,-0.08738,29,"-0.08738, 50.86212"
18583,5,50.83917,-0.14839,12,"-0.14839, 50.83917"
19863,5,50.84594,-0.15517,18,"-0.15517, 50.84594"
21206,5,50.79389,0.05496,50,"0.05496, 50.79389"
22145,5,50.83423,-0.21941,14,"-0.21941, 50.83423"
22180,5,50.82087,-0.13716,38,"-0.13716, 50.82087"
22928,5,50.85765,-0.14158,9,"-0.14158, 50.85765"
24296,5,50.82549,-0.17854,14,"-0.17854, 50.82549"
24389,5,50.83705,-0.07602,13,"-0.07602, 50.83705"
24797,5,50.83205,-0.17777,12,"-0.17777, 50.83205"
25411,5,50.83248,-0.23707,32,"-0.23707, 50.83248"
26348,5,50.85656,-0.15313,16,"-0.15313, 50.85656"
28204,5,50.84672,-0.11884,26,"-0.11884, 50.84672"
33682,5,50.80048,-0.03993,24,"-0.03993, 50.80048"
37126,5,50.83636,-0.18121,13,"-0.18121, 50.83636"
37499,5,50.83568,-0.20532,29,"-0.20532, 50.83568"
38779,5,50.84396,-0.19742,12,"-0.19742, 50.84396"
50761,5,50.8297,-0.20932,17,"-0.20932, 50.8297"
51403,5,50.85917,0.07008,20,"0.07008, 50.85917"
51906,5,50.83839,-0.16907,4,"-0.16907, 50.83839"
51907,5,50.83908,-0.17306,2,"-0.17306, 50.83908"
51908,5,50.83586,-0.16064,2,"-0.16064, 50.83586"
51909,5,50.83735,-0.16549,3,"-0.16549, 50.83735"
51910,5,50.83445,-0.15453,3,"-0.15453, 50.83445"
51911,5,50.83479,-0.15677,2,"-0.15677, 50.83479"
51912,5,50.83155,-0.14773,5,"-0.14773, 50.83155"
51913,5,50.83322,-0.14966,4,"-0.14966, 50.83322"
51914,5,50.83904,-0.17662,2,"-0.17662, 50.83904"
52192,5,50.78907,0.04657,2,"0.04657, 50.78907"
52193,5,50.79031,0.04532,2,"0.04532, 50.79031"
52194,5,50.79428,0.03896,3,"0.03896, 50.79428"
52198,5,50.78683,0.05175,2,"0.05175, 50.78683"
52199,5,50.78424,0.04579,2,"0.04579, 50.78424"
52200,5,50.78942,0.04197,3,"0.04197, 50.78942"
52201,5,50.79596,0.04148,3,"0.04148, 50.79596"
53467,5,50.81927,-0.1321,3,"-0.1321, 50.81927"
