ori_node,des_node,ori_layer,des_layer,minutes,km
1943,22180,4,4,5,0.947
6441,26348,4,4,2,0.947
6448,6929,4,4,2,1.519
6448,21206,4,4,5,4.024
6448,33682,4,4,7,2.827
6929,6448,4,4,2,1.519
6929,21206,4,4,5,2.636
11186,1943,4,4,5,0.914
11186,18583,4,4,3,0.879
18583,11186,4,4,3,0.879
18583,26348,4,4,2,1.959
21206,6448,4,4,5,4.024
21206,6929,4,4,5,2.636
22180,11186,4,4,5,1.753
22180,24296,4,4,5,2.947
22180,33682,4,4,10,7.187
24296,22180,4,4,10,2.947
24296,50761,4,4,3,2.208
25411,50761,4,4,2,1.97
26348,6441,4,4,2,0.947
26348,18583,4,4,2,1.959
33682,6448,4,4,5,2.827
33682,22180,4,4,5,7.187
50761,24296,4,4,3,2.208
50761,25411,4,4,2,1.97
