node,layer,lat,lon,degree,geometry
7550,5,51.45247,-2.59197,24,"-2.59197, 51.45247"
9380,5,51.47999,-2.64996,17,"-2.64996, 51.47999"
14007,5,51.5138,-2.54217,24,"-2.54217, 51.5138"
15903,5,51.43332,-2.60775,25,"-2.60775, 51.43332"
16459,5,51.46839,-2.59913,14,"-2.59913, 51.46839"
16544,5,51.50494,-2.56244,20,"-2.56244, 51.50494"
18474,5,51.46751,-2.56622,24,"-2.56622, 51.46751"
19700,5,51.44741,-2.61739,26,"-2.61739, 51.44741"
20398,5,51.4489,-2.61282,17,"-2.61282, 51.4489"
20402,5,51.455,-2.58881,22,"-2.58881, 51.455"
20404,5,51.44907,-2.60728,22,"-2.60728, 51.44907"
21242,5,51.5406,-2.43252,17,"-2.43252, 51.5406"
22080,5,51.71762,-2.3591,13,"-2.3591, 51.71762"
26854,5,51.43434,-2.75643,18,"-2.75643, 51.43434"
27020,5,51.41941,-2.75065,21,"-2.75065, 51.41941"
31423,5,51.44832,-2.597,15,"-2.597, 51.44832"
33377,5,51.45801,-2.56444,19,"-2.56444, 51.45801"
34933,5,51.56002,-2.66449,12,"-2.66449, 51.56002"
35833,5,51.45218,-2.5976,61,"-2.5976, 51.45218"
38446,5,51.44009,-2.59416,25,"-2.59416, 51.44009"
40101,5,51.44914,-2.58132,70,"-2.58132, 51.44914"
42605,5,51.41797,-2.49563,19,"-2.49563, 51.41797"
45026,5,51.48435,-2.67929,20,"-2.67929, 51.48435"
49023,5,51.46835,-2.58869,25,"-2.58869, 51.46835"
49859,5,51.46454,-2.61175,19,"-2.61175, 51.46454"
50048,5,51.50035,-2.69948,13,"-2.69948, 51.50035"
52028,5,51.4863,-2.50486,3,"-2.50486, 51.4863"
52029,5,51.48347,-2.50654,2,"-2.50654, 51.48347"
52030,5,51.46253,-2.50503,3,"-2.50503, 51.46253"
52032,5,51.46211,-2.4989,2,"-2.4989, 51.46211"
52033,5,51.46218,-2.50105,3,"-2.50105, 51.46218"
52034,5,51.46067,-2.48769,3,"-2.48769, 51.46067"
52035,5,51.46152,-2.49444,2,"-2.49444, 51.46152"
52036,5,51.45985,-2.47536,3,"-2.47536, 51.45985"
52037,5,51.46012,-2.47983,5,"-2.47983, 51.46012"
52363,5,51.42742,-2.57469,3,"-2.57469, 51.42742"
52364,5,51.42504,-2.57431,2,"-2.57431, 51.42504"
52370,5,51.40742,-2.57136,5,"-2.57136, 51.40742"
52371,5,51.40759,-2.57497,6,"-2.57497, 51.40759"
52372,5,51.4109,-2.56951,2,"-2.56951, 51.4109"
52373,5,51.40803,-2.57117,4,"-2.57117, 51.40803"
52374,5,51.41453,-2.57111,5,"-2.57111, 51.41453"
52375,5,51.41181,-2.56922,3,"-2.56922, 51.41181"
