node,layer,lat,lon,degree,geometry
26854,4,51.43434,-2.75643,18,"-2.75643, 51.43434"
67945,4,51.45904,-2.59272,43,"-2.59272, 51.45904"
83484,4,51.45865,-2.59179,16,"-2.59179, 51.45865"
83489,4,51.45869,-2.59135,14,"-2.59135, 51.45869"
112655,4,51.45434,-2.59788,10,"-2.59788, 51.45434"
120021,4,51.45664,-2.60679,11,"-2.60679, 51.45664"
123468,4,51.65669,-2.43074,4,"-2.43074, 51.65669"
170798,4,51.47719,-2.7085,12,"-2.7085, 51.47719"
176985,4,51.45788,-2.60979,10,"-2.60979, 51.45788"
200865,4,51.47467,-2.56319,14,"-2.56319, 51.47467"
218714,4,51.45683,-2.60721,11,"-2.60721, 51.45683"
224605,4,51.5002,-2.54623,15,"-2.54623, 51.5002"
