ori_node,des_node,ori_layer,des_layer,minutes,km
9380,45026,2,2,3,2.084
9380,49859,2,2,4,3.15
14007,16544,2,2,3,1.711
14007,21242,2,2,8,8.137
14007,40101,2,2,10,7.672
14007,58599,2,2,4,1.955
15903,27020,2,2,5,10.012
15903,38446,2,2,2,1.204
16459,49023,2,2,2,0.722
16459,49859,2,2,2,0.971
16544,14007,2,2,3,1.711
16544,18474,2,2,3,4.163
16544,40101,2,2,7,6.331
16544,58599,2,2,3,2.33
18474,16544,2,2,4,4.163
18474,33377,2,2,1,1.061
18474,40101,2,2,5,2.291
18474,49023,2,2,3,1.556
21242,14007,2,2,8,8.137
21242,22080,2,2,12,20.294
22080,21242,2,2,13,20.294
27020,15903,2,2,6,10.012
27020,38446,2,2,8,11.073
27020,40101,2,2,11,12.176
33377,16544,2,2,4,5.212
33377,18474,2,2,1,1.061
33377,40101,2,2,2,1.527
34933,161952,2,2,6,5.689
38446,15903,2,2,2,1.204
38446,27020,2,2,8,11.073
38446,40101,2,2,3,1.341
40101,14007,2,2,8,7.672
40101,15903,2,2,2,2.535
40101,16544,2,2,5,6.331
40101,18474,2,2,2,2.291
40101,27020,2,2,6,12.176
40101,33377,2,2,2,1.527
40101,38446,2,2,2,1.341
40101,42605,2,2,5,6.867
42605,40101,2,2,6,6.867
45026,9380,2,2,4,2.084
45026,50048,2,2,3,2.259
49023,16459,2,2,2,0.722
49023,18474,2,2,2,1.556
49859,9380,2,2,4,3.15
49859,16459,2,2,2,0.971
50048,45026,2,2,3,2.259
50048,161952,2,2,3,1.395
58599,14007,2,2,3,1.955
58599,16544,2,2,2,2.33
58599,40101,2,2,12,8.622
58599,168025,2,2,5,5.603
161952,34933,2,2,7,5.689
161952,50048,2,2,3,1.395
168025,58599,2,2,7,5.603
