ori_node,des_node,ori_layer,des_layer,minutes,km
435,3960,5,5,4,1.913
435,58009,5,5,3,1.438
435,96529,5,5,1,0.36
435,153214,5,5,5,1.086
435,167373,5,5,3,0.691
435,219980,5,5,1,0.337
3960,435,5,5,5,1.913
3960,3960,5,5,1,0
3960,56099,5,5,1,0.455
3960,56101,5,5,4,0.712
3960,67475,5,5,5,1.057
3960,144812,5,5,1,0.346
3960,167374,5,5,1,0.314
3960,210089,5,5,2,0.385
3960,210090,5,5,1,0.43
3960,210094,5,5,1,0.409
3960,251020,5,5,1,0.462
15808,15808,5,5,1,0
15808,85073,5,5,1,0.352
15808,130937,5,5,1,0.328
15808,157619,5,5,1,0.482
15808,178512,5,5,2,0.41
15808,214805,5,5,1,0.394
16578,16578,5,5,1,0
16578,39493,5,5,1,0.918
16578,39495,5,5,7,0.981
16578,92550,5,5,3,0.443
16578,101689,5,5,2,0.63
16578,114176,5,5,3,0.712
16578,120387,5,5,2,0.628
16578,123454,5,5,3,0.912
16578,144254,5,5,1,0.443
16578,163082,5,5,1,0.429
16578,186073,5,5,1,0.319
16578,215990,5,5,3,0.903
16578,256900,5,5,10,1.196
25922,148177,5,5,1,0.265
25922,245409,5,5,1,0.362
39493,16578,5,5,1,0.918
39493,63837,5,5,1,0.463
39493,125462,5,5,1,0.638
39493,174508,5,5,2,0.37
39493,186078,5,5,1,0.522
39493,186080,5,5,1,0.628
39493,232973,5,5,2,0.782
39495,16578,5,5,6,0.981
39495,39495,5,5,2,0
39495,89268,5,5,3,0.419
39495,182590,5,5,2,0.386
40350,40350,5,5,1,0
40350,85772,5,5,1,0.307
40350,103408,5,5,1,0.332
40350,114190,5,5,2,0.685
40350,117235,5,5,1,0.388
40350,232975,5,5,1,0.722
53668,130226,5,5,1,0.107
54184,63828,5,5,1,0.225
54188,117056,5,5,1,0.411
54188,216663,5,5,3,0.572
54189,76118,5,5,1,0.18
54196,73301,5,5,1,0.25
54197,79025,5,5,1,0.185
54198,104270,5,5,6,0.699
54198,120485,5,5,1,0.253
54199,135289,5,5,1,0.259
55001,67694,5,5,1,0.857
55003,55004,5,5,1,0.242
55003,55009,5,5,1,0.282
55003,72083,5,5,1,0.233
55003,142983,5,5,3,1.38
55004,55010,5,5,1,0.362
55004,131006,5,5,1,0.404
55004,255997,5,5,1,0.754
55005,157621,5,5,1,0.324
55006,64613,5,5,1,0.196
55007,55001,5,5,2,0.797
55007,55005,5,5,1,0.221
55008,186956,5,5,1,0.476
55009,55010,5,5,2,0.314
55009,150837,5,5,1,0.398
55010,55009,5,5,1,0.314
55010,224973,5,5,1,0.016
56099,186959,5,5,1,0.216
56101,145300,5,5,1,0.274
56103,66563,5,5,1,0.086
56104,56107,5,5,1,0.464
56104,257174,5,5,1,0.112
56106,3960,5,5,1,0.463
56107,251021,5,5,1,0.125
56950,64621,5,5,1,0.179
56950,101503,5,5,1,1.026
56951,88724,5,5,1,0.55
56951,161372,5,5,1,0.762
56952,56950,5,5,1,0.204
56952,167372,5,5,1,0.472
56953,91843,5,5,2,0.54
56953,91845,5,5,1,0.58
58006,58008,5,5,1,0.295
58006,144812,5,5,5,3.459
58007,58011,5,5,1,0.528
58007,58013,5,5,1,0.268
58008,435,5,5,4,1.351
58008,165588,5,5,1,0.21
58009,135291,5,5,1,0.21
58009,143898,5,5,1,0.454
58010,58012,5,5,1,0.279
58011,172848,5,5,3,0.957
58011,256906,5,5,1,0.294
58012,218813,5,5,1,0.222
58013,58011,5,5,1,0.261
58013,256906,5,5,2,0.553
58014,58010,5,5,1,0.22
58014,58012,5,5,1,0.497
58014,109767,5,5,1,0.322
58015,58010,5,5,2,0.472
58015,58014,5,5,1,0.252
58015,109767,5,5,1,0.552
58376,84297,5,5,1,0.148
58376,164960,5,5,1,0.205
61194,235278,5,5,1,0.357
61292,247339,5,5,1,0.116
62060,61292,5,5,2,1.121
62060,85414,5,5,3,0.804
62060,126896,5,5,3,0.782
62060,237432,5,5,1,0.127
62066,146787,5,5,1,0.338
62081,203041,5,5,1,0.205
62574,174506,5,5,1,0.222
62576,161431,5,5,2,0.555
63819,245403,5,5,1,0.156
63820,71296,5,5,1,0.289
63820,233488,5,5,1,0.286
63821,54181,5,5,1,0.572
63821,102281,5,5,1,0.107
63822,96798,5,5,1,0.398
63822,166512,5,5,8,3.72
63823,63821,5,5,1,0.49
63823,81795,5,5,1,0.353
63824,125465,5,5,1,0.26
63825,63828,5,5,1,0.208
63826,63823,5,5,1,0.189
63827,63820,5,5,1,0.265
63827,76120,5,5,1,0.162
63827,102361,5,5,1,0.161
63828,63820,5,5,1,0.411
63828,63827,5,5,1,0.183
63828,102361,5,5,2,0.341
63828,103967,5,5,1,0.148
63837,89268,5,5,1,0.357
63837,160668,5,5,1,0.351
63837,163082,5,5,1,0.56
63839,133295,5,5,1,0.356
63839,150095,5,5,4,0.741
63839,164958,5,5,4,0.836
64613,55003,5,5,1,0.269
64615,93512,5,5,1,0.378
64615,214805,5,5,4,0.495
64615,229099,5,5,1,0.28
64615,254323,5,5,3,0.854
64616,145967,5,5,1,0.155
64617,245297,5,5,1,0.386
64618,255111,5,5,1,0.462
64619,64618,5,5,1,0.441
64620,55006,5,5,1,0.242
64621,64620,5,5,1,0.196
65816,133295,5,5,1,0.108
65818,123450,5,5,1,0.217
65822,73304,5,5,1,0.319
65822,123957,5,5,1,0.235
66171,245296,5,5,1,0.365
66352,210357,5,5,1,0.372
66529,222068,5,5,1,0.185
66531,136786,5,5,1,0.261
66559,260976,5,5,1,0.323
66560,435,5,5,5,1.126
66560,153217,5,5,1,0.498
66561,251017,5,5,1,0.272
66562,251017,5,5,1,0.503
66563,105097,5,5,1,0.239
66564,122664,5,5,1,0.549
66564,182932,5,5,1,0.088
66694,144724,5,5,1,0.18
66699,66694,5,5,1,0.209
66700,146619,5,5,1,0.293
