node,layer,lat,lon,degree,geometry
435,5,53.82455,-2.23695,32,"-2.23695, 53.82455"
3960,5,53.83502,-2.21376,43,"-2.21376, 53.83502"
15808,5,53.85485,-2.18117,18,"-2.18117, 53.85485"
16578,5,53.78498,-2.24887,35,"-2.24887, 53.78498"
25922,5,53.78176,-2.31669,12,"-2.31669, 53.78176"
39493,5,53.79125,-2.25801,25,"-2.25801, 53.79125"
39495,5,53.79352,-2.24497,19,"-2.24497, 53.79352"
40350,5,53.7867,-2.28227,24,"-2.28227, 53.7867"
53668,5,53.77622,-2.25528,2,"-2.25528, 53.77622"
54181,5,53.79547,-2.34044,4,"-2.34044, 53.79547"
54184,5,53.80082,-2.32345,2,"-2.32345, 53.80082"
54188,5,53.79885,-2.30813,3,"-2.30813, 53.79885"
54189,5,53.79881,-2.3086,2,"-2.3086, 53.79881"
54196,5,53.79534,-2.27341,2,"-2.27341, 53.79534"
54197,5,53.78522,-2.20681,4,"-2.20681, 53.78522"
54198,5,53.79231,-2.23258,3,"-2.23258, 53.79231"
54199,5,53.79738,-2.23927,3,"-2.23927, 53.79738"
55001,5,53.84909,-2.22831,3,"-2.22831, 53.84909"
55003,5,53.854,-2.21314,6,"-2.21314, 53.854"
55004,5,53.85552,-2.21047,4,"-2.21047, 53.85552"
55005,5,53.84878,-2.21726,2,"-2.21726, 53.84878"
55006,5,53.85051,-2.21671,3,"-2.21671, 53.85051"
55007,5,53.85072,-2.21645,3,"-2.21645, 53.85072"
55008,5,53.85236,-2.21614,2,"-2.21614, 53.85236"
55009,5,53.85598,-2.21043,5,"-2.21043, 53.85598"
55010,5,53.85853,-2.20833,5,"-2.20833, 53.85853"
56099,5,53.83126,-2.21096,3,"-2.21096, 53.83126"
56101,5,53.82957,-2.20802,2,"-2.20802, 53.82957"
56103,5,53.82845,-2.21511,2,"-2.21511, 53.82845"
56104,5,53.83104,-2.21144,4,"-2.21144, 53.83104"
56106,5,53.83212,-2.20867,2,"-2.20867, 53.83212"
56107,5,53.82892,-2.20532,2,"-2.20532, 53.82892"
56950,5,53.84517,-2.21937,6,"-2.21937, 53.84517"
56951,5,53.77093,-2.19346,3,"-2.19346, 53.77093"
56952,5,53.84368,-2.2212,3,"-2.2212, 53.84368"
56953,5,53.83546,-2.2283,4,"-2.2283, 53.83546"
58006,5,53.80979,-2.23452,5,"-2.23452, 53.80979"
58007,5,53.80599,-2.23385,3,"-2.23385, 53.80599"
58008,5,53.81242,-2.23518,5,"-2.23518, 53.81242"
58009,5,53.81166,-2.23472,4,"-2.23472, 53.81166"
58010,5,53.80357,-2.23488,3,"-2.23488, 53.80357"
58011,5,53.80136,-2.23574,5,"-2.23574, 53.80136"
58012,5,53.80604,-2.23409,3,"-2.23409, 53.80604"
58013,5,53.80361,-2.23454,3,"-2.23454, 53.80361"
58014,5,53.80171,-2.23606,5,"-2.23606, 53.80171"
58015,5,53.79965,-2.23769,5,"-2.23769, 53.79965"
58376,5,53.81257,-2.20208,3,"-2.20208, 53.81257"
61194,5,53.92221,-2.18279,2,"-2.18279, 53.92221"
61292,5,53.78016,-2.27233,3,"-2.27233, 53.78016"
62060,5,53.77398,-2.2588,7,"-2.2588, 53.77398"
62066,5,53.77481,-2.26374,2,"-2.26374, 53.77481"
62081,5,53.78113,-2.27419,4,"-2.27419, 53.78113"
62574,5,53.79777,-2.28133,2,"-2.28133, 53.79777"
62576,5,53.7936,-2.2649,2,"-2.2649, 53.7936"
63819,5,53.78992,-2.30893,2,"-2.30893, 53.78992"
63820,5,53.80117,-2.31375,6,"-2.31375, 53.80117"
63821,5,53.7973,-2.33227,4,"-2.33227, 53.7973"
63822,5,53.79572,-2.33981,3,"-2.33981, 53.79572"
63823,5,53.79886,-2.32527,3,"-2.32527, 53.79886"
63824,5,53.79798,-2.32939,3,"-2.32939, 53.79798"
63825,5,53.79991,-2.32261,2,"-2.32261, 53.79991"
63826,5,53.79972,-2.32277,2,"-2.32277, 53.79972"
63827,5,53.80186,-2.31763,6,"-2.31763, 53.80186"
63828,5,53.801,-2.32002,6,"-2.32002, 53.801"
63837,5,53.79084,-2.25097,4,"-2.25097, 53.79084"
63839,5,53.81098,-2.22742,4,"-2.22742, 53.81098"
64613,5,53.85222,-2.21594,2,"-2.21594, 53.85222"
