node,layer,lat,lon,degree,geometry
108,5,52.21905,0.14602,8,"0.14602, 52.21905"
132,5,52.19308,-0.0629,5,"-0.0629, 52.19308"
260,5,52.18698,0.01879,5,"0.01879, 52.18698"
265,5,52.11314,0.05546,4,"0.05546, 52.11314"
277,5,52.18972,0.16165,4,"0.16165, 52.18972"
293,5,51.94864,0.00161,6,"0.00161, 51.94864"
294,5,51.94893,0.0216,6,"0.0216, 51.94893"
297,5,51.93746,-0.01171,6,"-0.01171, 51.93746"
327,5,52.10293,0.41153,8,"0.41153, 52.10293"
329,5,52.12501,0.45039,4,"0.45039, 52.12501"
333,5,52.09138,0.44565,10,"0.44565, 52.09138"
384,5,52.1863,0.47194,6,"0.47194, 52.1863"
393,5,52.23127,0.14974,14,"0.14974, 52.23127"
517,5,51.97499,0.15648,5,"0.15648, 51.97499"
518,5,51.97713,0.15727,4,"0.15727, 51.97713"
519,5,51.99472,0.16129,4,"0.16129, 51.99472"
520,5,51.99323,0.15909,4,"0.15909, 51.99323"
521,5,51.98346,0.20801,7,"0.20801, 51.98346"
522,5,51.97436,0.12756,8,"0.12756, 51.97436"
523,5,51.99315,0.1058,4,"0.1058, 51.99315"
524,5,51.99732,0.10766,6,"0.10766, 51.99732"
840,5,52.18125,0.16388,6,"0.16388, 52.18125"
1021,5,52.15661,-0.19966,9,"-0.19966, 52.15661"
1143,5,52.11094,0.18439,6,"0.18439, 52.11094"
1181,5,52.26018,0.06817,5,"0.06817, 52.26018"
1190,5,52.25474,0.3982,4,"0.3982, 52.25474"
1191,5,52.25775,0.40193,6,"0.40193, 52.25775"
1232,5,52.13536,-0.01102,7,"-0.01102, 52.13536"
1306,5,52.31605,0.05976,5,"0.05976, 52.31605"
1360,5,52.17551,0.14196,22,"0.14196, 52.17551"
1477,5,52.22062,0.11954,4,"0.11954, 52.22062"
1524,5,52.31199,0.06359,4,"0.06359, 52.31199"
1561,5,52.22264,0.22462,6,"0.22462, 52.22264"
1564,5,51.81775,-0.03577,7,"-0.03577, 51.81775"
1565,5,51.81862,-0.04639,5,"-0.04639, 51.81862"
1568,5,51.81715,-0.04041,6,"-0.04041, 51.81715"
1569,5,51.81663,-0.04193,6,"-0.04193, 51.81663"
1570,5,51.82064,-0.04125,4,"-0.04125, 51.82064"
1571,5,51.81871,-0.04155,4,"-0.04155, 51.81871"
1738,5,52.20888,-0.09409,4,"-0.09409, 52.20888"
1779,5,51.79829,-0.08239,4,"-0.08239, 51.79829"
1823,5,52.2586,0.06561,6,"0.06561, 52.2586"
1825,5,52.34279,0.41156,5,"0.41156, 52.34279"
1903,5,52.09926,0.35297,4,"0.35297, 52.09926"
2150,5,52.26399,0.18747,4,"0.18747, 52.26399"
2226,5,51.97395,0.26932,4,"0.26932, 51.97395"
2228,5,51.91491,0.22883,4,"0.22883, 51.91491"
2270,5,52.1541,0.14794,4,"0.14794, 52.1541"
2404,5,52.25807,0.1037,4,"0.1037, 52.25807"
2425,5,52.2474,0.10868,6,"0.10868, 52.2474"
2465,5,51.993,0.3943,4,"0.3943, 51.993"
2468,5,52.19311,0.18138,4,"0.18138, 52.19311"
2470,5,51.9931,0.39589,4,"0.39589, 51.9931"
2615,5,52.08579,0.02058,4,"0.02058, 52.08579"
2670,5,52.40267,0.27323,4,"0.27323, 52.40267"
2683,5,52.19649,0.42642,4,"0.42642, 52.19649"
2686,5,52.15775,0.17743,4,"0.17743, 52.15775"
2698,5,52.19403,0.1876,4,"0.1876, 52.19403"
2750,5,52.06689,-0.12521,6,"-0.12521, 52.06689"
2758,5,52.22153,-0.04614,9,"-0.04614, 52.22153"
2765,5,51.87605,0.14182,4,"0.14182, 51.87605"
2766,5,51.87407,0.14799,6,"0.14799, 51.87407"
2769,5,51.87531,0.15865,6,"0.15865, 51.87531"
2770,5,51.87741,0.17076,6,"0.17076, 51.87741"
2771,5,51.87478,0.16973,7,"0.16973, 51.87478"
2772,5,51.87196,0.15403,6,"0.15403, 51.87196"
2776,5,52.14391,0.1233,5,"0.1233, 52.14391"
2802,5,52.12009,0.5468,4,"0.5468, 52.12009"
2908,5,52.16053,0.38999,4,"0.38999, 52.16053"
2953,5,52.18004,0.21836,5,"0.21836, 52.18004"
2998,5,52.04849,0.46524,4,"0.46524, 52.04849"
2999,5,52.04552,0.45131,4,"0.45131, 52.04552"
3001,5,52.06736,0.47621,4,"0.47621, 52.06736"
3022,5,52.06507,-0.11331,4,"-0.11331, 52.06507"
3040,5,52.40769,0.27548,4,"0.27548, 52.40769"
3129,5,52.25798,0.06561,8,"0.06561, 52.25798"
3171,5,52.45233,0.30069,4,"0.30069, 52.45233"
3248,5,52.186,0.15783,8,"0.15783, 52.186"
3266,5,52.17474,0.14784,8,"0.14784, 52.17474"
3320,5,51.80796,-0.02877,29,"-0.02877, 51.80796"
3363,5,52.27146,0.18933,4,"0.18933, 52.27146"
3508,5,52.40574,0.27325,4,"0.27325, 52.40574"
3541,5,52.19646,0.16943,4,"0.16943, 52.19646"
3636,5,52.24123,0.39866,9,"0.39866, 52.24123"
3637,5,52.24448,0.41354,4,"0.41354, 52.24448"
3638,5,52.24025,0.41881,5,"0.41881, 52.24025"
3666,5,51.75264,0.09355,7,"0.09355, 51.75264"
3667,5,51.75105,0.10171,6,"0.10171, 51.75105"
3668,5,51.74697,0.09329,5,"0.09329, 51.74697"
3669,5,51.74885,0.08805,5,"0.08805, 51.74885"
3670,5,51.74689,0.08749,5,"0.08749, 51.74689"
3671,5,51.74845,0.09657,8,"0.09657, 51.74845"
3672,5,51.75105,0.09432,4,"0.09432, 51.75105"
3674,5,51.7487,0.10331,4,"0.10331, 51.7487"
3675,5,51.75212,0.08782,4,"0.08782, 51.75212"
3773,5,52.26605,0.1901,6,"0.1901, 52.26605"
3812,5,52.11031,0.23526,4,"0.23526, 52.11031"
3925,5,52.4215,0.35746,4,"0.35746, 52.4215"
3985,5,52.15266,0.36337,5,"0.36337, 52.15266"
4053,5,51.78639,0.01592,6,"0.01592, 51.78639"
4054,5,51.78227,0.02233,4,"0.02233, 51.78227"
4105,5,52.0688,-0.08182,9,"-0.08182, 52.0688"
4130,5,52.22676,0.12901,4,"0.12901, 52.22676"
4177,5,52.18508,0.15388,4,"0.15388, 52.18508"
4207,5,52.16194,0.1234,4,"0.1234, 52.16194"
4357,5,51.7939,-0.07186,4,"-0.07186, 51.7939"
4457,5,52.13526,-0.00602,4,"-0.00602, 52.13526"
4571,5,52.08717,0.44024,13,"0.44024, 52.08717"
4715,5,52.29223,-0.00197,4,"-0.00197, 52.29223"
4722,5,52.17752,0.38359,9,"0.38359, 52.17752"
4732,5,51.76929,0.08413,8,"0.08413, 51.76929"
4758,5,51.82781,0.18729,4,"0.18729, 51.82781"
4759,5,51.82439,0.18981,4,"0.18981, 51.82439"
4761,5,51.80401,0.18595,4,"0.18595, 51.80401"
4765,5,51.80949,0.16262,4,"0.16262, 51.80949"
4766,5,51.80656,0.16208,4,"0.16208, 51.80656"
4767,5,51.81454,0.20311,4,"0.20311, 51.81454"
4768,5,51.80492,0.19003,4,"0.19003, 51.80492"
4856,5,51.85383,0.19307,6,"0.19307, 51.85383"
4891,5,52.19757,0.12895,6,"0.12895, 52.19757"
4916,5,52.40389,0.25153,4,"0.25153, 52.40389"
4928,5,52.21744,-0.07231,7,"-0.07231, 52.21744"
4932,5,51.77137,0.10444,4,"0.10444, 51.77137"
4940,5,52.4552,0.20122,5,"0.20122, 52.4552"
5158,5,52.27408,0.33071,5,"0.33071, 52.27408"
5214,5,52.19605,0.19886,4,"0.19886, 52.19605"
5241,5,52.23419,0.13398,5,"0.13398, 52.23419"
5309,5,52.26387,0.17757,5,"0.17757, 52.26387"
5315,5,52.18307,0.0603,4,"0.0603, 52.18307"
5357,5,52.41684,0.15948,2,"0.15948, 52.41684"
5418,5,52.24186,0.08189,5,"0.08189, 52.24186"
5491,5,52.13933,0.204,4,"0.204, 52.13933"
5550,5,52.32207,0.35557,6,"0.35557, 52.32207"
5565,5,52.23862,0.42913,6,"0.42913, 52.23862"
5610,5,52.21902,-0.01924,6,"-0.01924, 52.21902"
5654,5,52.21557,0.13165,4,"0.13165, 52.21557"
5681,5,52.28527,0.48886,6,"0.48886, 52.28527"
5708,5,52.11289,0.17244,4,"0.17244, 52.11289"
5769,5,52.15189,0.04787,6,"0.04787, 52.15189"
5823,5,51.79904,-0.07293,43,"-0.07293, 51.79904"
5825,5,52.00874,-0.02446,7,"-0.02446, 52.00874"
5827,5,52.01254,-0.04913,6,"-0.04913, 52.01254"
5828,5,52.01703,-0.05448,4,"-0.05448, 52.01703"
5829,5,51.9979,0.01394,8,"0.01394, 51.9979"
5830,5,51.99487,0.014,4,"0.014, 51.99487"
5831,5,52.01264,-0.06595,4,"-0.06595, 52.01264"
5843,5,52.22261,0.14823,5,"0.14823, 52.22261"
5926,5,52.15431,0.13152,4,"0.13152, 52.15431"
5949,5,52.20165,-0.05588,4,"-0.05588, 52.20165"
5954,5,52.00928,-0.0172,4,"-0.0172, 52.00928"
5993,5,52.35241,0.18917,4,"0.18917, 52.35241"
6010,5,52.18525,0.20908,10,"0.20908, 52.18525"
6064,5,52.14777,0.10738,4,"0.10738, 52.14777"
6093,5,51.86967,0.26623,5,"0.26623, 51.86967"
6101,5,52.2456,0.11293,8,"0.11293, 52.2456"
6160,5,51.96784,0.29317,4,"0.29317, 51.96784"
6161,5,51.96468,0.29938,4,"0.29938, 51.96468"
6164,5,52.05683,0.39847,4,"0.39847, 52.05683"
6165,5,52.04823,0.40523,6,"0.40523, 52.04823"
6167,5,51.98697,0.40434,4,"0.40434, 51.98697"
6168,5,51.99248,0.3922,4,"0.3922, 51.99248"
6237,5,52.21708,-0.08134,8,"-0.08134, 52.21708"
6311,5,51.77721,0.12231,6,"0.12231, 51.77721"
6312,5,51.77848,0.12577,7,"0.12577, 51.77848"
6313,5,51.77503,0.10417,4,"0.10417, 51.77503"
6314,5,51.77674,0.1153,8,"0.1153, 51.77674"
6315,5,51.78082,0.15196,2,"0.15196, 51.78082"
6316,5,51.78243,0.14872,4,"0.14872, 51.78243"
6317,5,51.76583,0.13121,6,"0.13121, 51.76583"
6319,5,51.76281,0.11424,18,"0.11424, 51.76281"
6320,5,51.77381,0.10072,5,"0.10072, 51.77381"
6369,5,52.21658,0.02243,5,"0.02243, 52.21658"
6447,5,52.21076,0.15708,4,"0.15708, 52.21076"
6578,5,52.39628,0.26042,6,"0.26042, 52.39628"
6780,5,52.09779,0.27807,9,"0.27807, 52.09779"
6874,5,52.03002,0.07278,6,"0.07278, 52.03002"
6879,5,52.27612,0.11751,4,"0.11751, 52.27612"
6914,5,52.08103,-0.04306,9,"-0.04306, 52.08103"
6942,5,52.09472,0.29447,5,"0.29447, 52.09472"
6946,5,52.27111,0.195,4,"0.195, 52.27111"
6947,5,52.1991,0.12143,6,"0.12143, 52.1991"
6959,5,52.4641,0.21261,4,"0.21261, 52.4641"
6995,5,51.9477,-0.04969,4,"-0.04969, 51.9477"
7091,5,52.22846,-0.10768,8,"-0.10768, 52.22846"
7112,5,52.0262,0.03819,8,"0.03819, 52.0262"
7127,5,52.18513,-0.01403,6,"-0.01403, 52.18513"
7183,5,51.87123,-0.08422,4,"-0.08422, 51.87123"
7206,5,52.31226,0.29937,4,"0.29937, 52.31226"
7260,5,52.19722,0.14665,4,"0.14665, 52.19722"
7284,5,52.19364,0.38373,9,"0.38373, 52.19364"
7302,5,51.98861,0.15772,4,"0.15772, 51.98861"
7395,5,52.18666,-0.00822,7,"-0.00822, 52.18666"
7424,5,52.35211,0.32263,4,"0.32263, 52.35211"
7557,5,52.31261,0.00709,6,"0.00709, 52.31261"
7641,5,51.87662,0.08474,9,"0.08474, 51.87662"
7643,5,51.87984,0.06508,4,"0.06508, 51.87984"
7644,5,51.88066,0.02722,4,"0.02722, 51.88066"
7645,5,51.88471,0.02432,9,"0.02432, 51.88471"
7648,5,51.8072,0.05487,4,"0.05487, 51.8072"
7680,5,51.80769,0.05506,6,"0.05506, 51.80769"
7709,5,51.79649,-0.10483,10,"-0.10483, 51.79649"
7711,5,51.80044,-0.10184,4,"-0.10184, 51.80044"
7712,5,51.80285,-0.10211,5,"-0.10211, 51.80285"
7713,5,51.80456,-0.10462,4,"-0.10462, 51.80456"
7714,5,51.80438,-0.09947,4,"-0.09947, 51.80438"
7737,5,52.18733,0.22793,5,"0.22793, 52.18733"
7812,5,52.18856,0.14123,5,"0.14123, 52.18856"
7874,5,51.9318,0.19926,4,"0.19926, 51.9318"
7875,5,51.92848,0.20099,4,"0.20099, 51.92848"
7876,5,52.05063,0.25333,4,"0.25333, 52.05063"
7877,5,52.03908,0.24591,4,"0.24591, 52.03908"
7880,5,51.94133,0.19932,4,"0.19932, 51.94133"
7881,5,52.05725,0.31515,6,"0.31515, 52.05725"
7945,5,52.07815,0.0117,4,"0.0117, 52.07815"
7955,5,52.12433,0.17061,4,"0.17061, 52.12433"
8017,5,52.20779,-0.02454,4,"-0.02454, 52.20779"
8174,5,52.3518,0.18069,4,"0.18069, 52.3518"
8180,5,51.96572,0.1431,4,"0.1431, 51.96572"
8183,5,51.97232,0.15534,9,"0.15534, 51.97232"
8191,5,51.98342,0.15826,6,"0.15826, 51.98342"
8193,5,51.97343,0.15558,5,"0.15558, 51.97343"
8195,5,51.97612,0.17538,8,"0.17538, 51.97612"
8196,5,51.98746,0.16067,4,"0.16067, 51.98746"
8226,5,52.35826,0.27265,6,"0.27265, 52.35826"
8431,5,51.83835,0.15671,4,"0.15671, 51.83835"
8432,5,51.82954,0.15523,4,"0.15523, 51.82954"
8433,5,51.84164,0.15741,4,"0.15741, 51.84164"
8434,5,51.82474,0.15339,4,"0.15339, 51.82474"
8436,5,51.81886,0.1496,4,"0.1496, 51.81886"
8452,5,52.18543,0.16172,4,"0.16172, 52.18543"
8460,5,52.08037,0.419,14,"0.419, 52.08037"
8470,5,52.22757,0.11186,5,"0.11186, 52.22757"
8503,5,52.25637,0.06857,4,"0.06857, 52.25637"
8541,5,52.38685,0.19686,4,"0.19686, 52.38685"
8579,5,52.20303,0.39946,4,"0.39946, 52.20303"
8583,5,52.24012,0.26268,5,"0.26268, 52.24012"
8592,5,52.24422,0.39708,4,"0.39708, 52.24422"
8670,5,52.0484,0.407,4,"0.407, 52.0484"
8671,5,52.04847,0.40797,5,"0.40797, 52.04847"
8672,5,52.05274,0.41313,4,"0.41313, 52.05274"
8673,5,52.05554,0.41975,4,"0.41975, 52.05554"
8674,5,52.05489,0.42287,4,"0.42287, 52.05489"
8675,5,52.06068,0.42686,4,"0.42686, 52.06068"
8676,5,52.06432,0.42754,8,"0.42754, 52.06432"
8725,5,52.27785,0.0484,5,"0.0484, 52.27785"
8908,5,52.31312,0.05677,5,"0.05677, 52.31312"
8957,5,52.21549,0.12566,8,"0.12566, 52.21549"
9009,5,52.14764,0.1578,4,"0.1578, 52.14764"
9010,5,52.09758,-0.03286,5,"-0.03286, 52.09758"
9194,5,52.34358,0.33368,4,"0.33368, 52.34358"
9222,5,52.226,0.14297,8,"0.14297, 52.226"
9229,5,52.1883,0.15156,4,"0.15156, 52.1883"
9231,5,52.09505,0.1591,10,"0.1591, 52.09505"
