ori_node,des_node,ori_layer,des_layer,minutes,km
5823,40210,4,4,15,11.344
22746,32383,4,4,30,19.468
23764,32383,4,4,10,3.09
23764,91947,4,4,15,10.634
30259,43228,4,4,35,33.537
32383,22746,4,4,30,19.468
32383,23764,4,4,10,3.09
32383,36200,4,4,9,3.605
32383,43228,4,4,10,4.368
32383,91947,4,4,15,13.61
36200,32383,4,4,15,3.605
36200,43228,4,4,3,0.785
40210,5823,4,4,20,11.344
43228,30259,4,4,40,33.537
43228,32383,4,4,15,4.368
43228,36200,4,4,5,0.785
43228,89508,4,4,5,2.621
43228,143272,4,4,6,3.684
43228,225762,4,4,15,7.967
82693,153197,4,4,13,11.508
89508,131777,4,4,2,1.125
91947,23764,4,4,20,10.634
91947,32383,4,4,20,13.61
93267,131776,4,4,3,2.862
131776,231475,4,4,2,1.129
131777,122447,4,4,4,2.93
143272,82693,4,4,13,11.492
153197,43228,4,4,7,3.664
225762,43228,4,4,10,7.967
231475,43228,4,4,5,2.61
