node,layer,lat,lon,degree,geometry
5823,4,51.79904,-0.07293,43,"-0.07293, 51.79904"
22746,4,52.24363,0.4051,22,"0.4051, 52.24363"
23764,4,52.21467,0.08402,20,"0.08402, 52.21467"
30259,4,51.8667,0.16491,55,"0.16491, 51.8667"
32383,4,52.20426,0.12615,67,"0.12615, 52.20426"
36200,4,52.17282,0.11288,19,"0.11288, 52.17282"
40210,4,51.88394,0.01909,19,"0.01909, 51.88394"
43228,4,52.16667,0.10719,28,"0.10719, 52.16667"
82693,4,52.05997,-0.03044,20,"-0.03044, 52.05997"
89508,4,52.15104,0.13604,8,"0.13604, 52.15104"
91947,4,52.2215,-0.07193,14,"-0.07193, 52.2215"
93267,4,52.12191,0.16978,9,"0.16978, 52.12191"
122447,4,52.1212,0.16993,9,"0.16993, 52.1212"
131776,4,52.14366,0.14723,10,"0.14723, 52.14366"
131777,4,52.14369,0.14742,10,"0.14742, 52.14369"
143272,4,52.13769,0.08085,10,"0.08085, 52.13769"
153197,4,52.1379,0.08083,10,"0.08083, 52.1379"
225762,4,52.09706,0.13562,15,"0.13562, 52.09706"
231475,4,52.15108,0.13589,8,"0.13589, 52.15108"
