ori_node,des_node,ori_layer,des_layer,minutes,km
4049,49943,4,4,7,6.187
4049,49978,4,4,4,3.662
31173,180216,4,4,3,2.383
32580,32582,4,4,1,0.556
32580,41953,4,4,4,2.773
32582,32580,4,4,1,0.556
32582,50211,4,4,4,4.574
41953,32580,4,4,3,2.773
41953,180216,4,4,8,6.085
49943,112991,4,4,1,0.167
49978,4049,4,4,4,3.662
49978,50211,4,4,4,4.379
50211,32582,4,4,5,4.574
50211,49978,4,4,4,4.379
112991,213367,4,4,1,0.324
142480,4049,4,4,7,5.561
180216,31173,4,4,3,2.383
180216,41953,4,4,7,6.085
213367,142480,4,4,1,0.299
