ori_node,des_node,ori_layer,des_layer,minutes,km
1508,1508,5,5,1,0
1508,55153,5,5,1,0.926
1508,73452,5,5,2,1.541
1508,138103,5,5,1,0.415
1508,155828,5,5,4,2.949
1508,157848,5,5,1,0.405
1508,174107,5,5,2,0.613
1508,194929,5,5,1,0.342
1508,202089,5,5,1,0.704
1508,204563,5,5,1,0.541
1508,226062,5,5,1,0.548
1508,246379,5,5,1,0.283
1508,256183,5,5,1,0.315
1508,256189,5,5,1,0.293
1828,1828,5,5,1,0
1828,101825,5,5,1,0.492
1828,107565,5,5,4,3.099
1828,107568,5,5,1,0.484
1828,237765,5,5,1,0.503
3433,3433,5,5,2,0
3433,74219,5,5,1,0.261
3433,74220,5,5,1,0.312
3433,228396,5,5,1,0.217
4319,4319,5,5,2,0
4319,62632,5,5,1,0.297
4319,79638,5,5,4,0.688
4319,111189,5,5,1,0.257
4319,198703,5,5,1,0.672
4319,224895,5,5,2,0.324
4330,4330,5,5,1,0
4330,82390,5,5,3,0.298
4330,111468,5,5,1,0.288
4330,121330,5,5,1,0.485
4330,136964,5,5,1,0.58
6677,6677,5,5,1,0
6677,16401,5,5,10,1.332
6677,82807,5,5,2,0.251
6677,97720,5,5,1,0.497
6677,118396,5,5,1,0.276
6677,176892,5,5,1,0.283
6677,222592,5,5,1,0.398
7380,7380,5,5,1,0
7380,78180,5,5,1,0.369
7380,82825,5,5,2,0.471
7380,89872,5,5,1,0.452
7380,166167,5,5,1,0.321
7380,183506,5,5,1,0.606
7380,194605,5,5,1,0.479
7380,241899,5,5,1,0.276
7380,253263,5,5,1,0.296
7679,7679,5,5,1,0
7679,99868,5,5,1,0.446
7679,109641,5,5,1,0.284
7745,7745,5,5,1,0
7745,228943,5,5,1,0.328
7745,238103,5,5,1,0.449
7745,248026,5,5,1,0.443
8080,78455,5,5,2,1.45
8080,158137,5,5,1,0.666
8080,177482,5,5,1,0.288
8080,177486,5,5,1,0.722
8080,220538,5,5,1,0.461
8761,8761,5,5,1,0
8761,103824,5,5,6,0.73
8761,106851,5,5,3,0.672
8761,111565,5,5,2,0.699
8761,120507,5,5,1,0.42
8761,124664,5,5,2,0.411
8761,127008,5,5,1,0.435
8761,137611,5,5,2,0.708
8761,168646,5,5,1,0.685
8761,175719,5,5,2,0.662
8761,175721,5,5,5,0.684
8761,175722,5,5,3,0.695
8761,175723,5,5,3,0.69
8761,176340,5,5,2,0.666
8761,176343,5,5,3,0.676
8761,193928,5,5,4,0.577
8891,8891,5,5,1,0
8891,16401,5,5,5,1.528
8891,60610,5,5,1,0.372
8891,70164,5,5,3,1.021
8891,80589,5,5,2,0.595
8891,98979,5,5,1,0.751
8891,159916,5,5,5,1.515
8891,161516,5,5,1,0.46
8891,206724,5,5,1,0.463
10416,10416,5,5,1,0
10416,136251,5,5,1,0.505
10416,185120,5,5,4,1.247
10416,244558,5,5,1,0.35
10416,249301,5,5,2,0.56
10494,10494,5,5,1,0
10494,55195,5,5,1,0.228
10494,89784,5,5,1,0.231
10494,104904,5,5,1,0.188
10494,135999,5,5,3,0.457
10494,145033,5,5,1,0.207
10494,183894,5,5,3,0.421
10494,183895,5,5,2,0.473
10494,202048,5,5,1,0.214
10494,202064,5,5,1,0.225
10494,213689,5,5,1,0.394
10494,228775,5,5,1,0.411
12630,52360,5,5,4,3.709
12630,62025,5,5,1,0.874
12630,71530,5,5,1,0.963
12630,71531,5,5,1,0.403
12630,71532,5,5,1,0.388
12630,172025,5,5,1,0.303
14394,110539,5,5,1,1.032
14394,118544,5,5,1,0.459
14394,167888,5,5,1,0.898
14394,236180,5,5,2,0.579
14394,240496,5,5,1,1.06
14394,255028,5,5,1,0.306
14394,257495,5,5,1,0.539
14677,4319,5,5,1,0.883
14677,14677,5,5,1,0
14677,175093,5,5,1,0.264
14677,184902,5,5,1,0.33
14677,234494,5,5,2,0.634
14677,261671,5,5,1,0.442
14731,185231,5,5,1,0.537
14731,221804,5,5,1,0.695
16401,6677,5,5,10,1.332
16401,8891,5,5,5,1.528
16401,10494,5,5,1,0.599
16401,16401,5,5,1,0
16401,55194,5,5,2,0.441
16401,70163,5,5,1,0.457
16401,70165,5,5,1,0.53
16401,80878,5,5,1,0.714
16401,98979,5,5,5,2.129
16401,100858,5,5,1,0.325
16401,115392,5,5,1,0.249
16401,115608,5,5,1,0.352
16401,118396,5,5,10,1.606
