node,layer,lat,lon,degree,geometry
1508,2,51.4889,-3.17869,70,"-3.17869, 51.4889"
1828,2,51.53759,-3.4408,19,"-3.4408, 51.53759"
3433,2,51.52155,-3.1992,18,"-3.1992, 51.52155"
4319,2,51.44599,-3.1891,19,"-3.1891, 51.44599"
4330,2,51.50853,-3.22891,17,"-3.22891, 51.50853"
6677,2,51.46711,-3.16643,22,"-3.16643, 51.46711"
7380,2,51.46703,-3.18907,26,"-3.18907, 51.46703"
7679,2,51.49391,-3.23385,14,"-3.23385, 51.49391"
7745,2,51.51611,-3.18185,18,"-3.18185, 51.51611"
8080,2,51.64741,-3.22414,19,"-3.22414, 51.64741"
8761,2,51.59937,-3.34139,32,"-3.34139, 51.59937"
8891,2,51.47644,-3.20141,29,"-3.20141, 51.47644"
10416,2,51.6478,-3.4862,18,"-3.4862, 51.6478"
14394,2,51.43764,-3.20615,20,"-3.20615, 51.43764"
14677,2,51.44005,-3.18061,19,"-3.18061, 51.44005"
14731,2,51.52065,-3.22218,14,"-3.22218, 51.52065"
16401,2,51.47603,-3.17931,98,"-3.17931, 51.47603"
16822,2,51.61253,-3.4072,29,"-3.4072, 51.61253"
17200,2,51.43166,-3.21836,13,"-3.21836, 51.43166"
17201,2,51.61783,-3.43756,19,"-3.43756, 51.61783"
17920,2,51.50051,-3.23393,19,"-3.23393, 51.50051"
21503,2,51.634,-3.45353,17,"-3.45353, 51.634"
22583,2,51.4882,-3.22966,19,"-3.22966, 51.4882"
23143,2,51.57157,-3.21849,17,"-3.21849, 51.57157"
23159,2,51.39241,-3.27338,14,"-3.27338, 51.39241"
23802,2,51.39678,-3.285,26,"-3.285, 51.39678"
23882,2,51.67224,-3.53632,12,"-3.53632, 51.67224"
26774,2,51.38707,-3.3494,12,"-3.3494, 51.38707"
28892,2,51.69231,-3.22969,18,"-3.22969, 51.69231"
29406,2,51.48196,-3.1702,42,"-3.1702, 51.48196"
30710,2,51.61976,-3.44889,23,"-3.44889, 51.61976"
31144,2,51.60325,-3.23306,12,"-3.23306, 51.60325"
32483,2,51.64093,-3.24131,16,"-3.24131, 51.64093"
34224,2,51.68425,-3.22658,13,"-3.22658, 51.68425"
36294,2,51.57496,-3.22984,19,"-3.22984, 51.57496"
36376,2,51.64364,-3.4667,20,"-3.4667, 51.64364"
36794,2,51.43589,-3.17447,19,"-3.17447, 51.43589"
38105,2,51.52118,-3.21398,13,"-3.21398, 51.52118"
38125,2,51.65753,-3.50575,20,"-3.50575, 51.65753"
40095,2,51.54457,-3.18561,14,"-3.18561, 51.54457"
40646,2,51.61015,-3.38099,14,"-3.38099, 51.61015"
42304,2,51.53274,-3.18199,14,"-3.18199, 51.53274"
42483,2,51.59146,-3.32513,25,"-3.32513, 51.59146"
42558,2,51.7103,-3.22873,18,"-3.22873, 51.7103"
43279,2,51.72091,-3.24639,19,"-3.24639, 51.72091"
46278,2,51.40244,-3.26072,14,"-3.26072, 51.40244"
47419,2,51.67045,-3.23011,18,"-3.23011, 51.67045"
48687,2,51.52377,-3.39293,18,"-3.39293, 51.52377"
49361,2,51.66497,-3.52161,14,"-3.52161, 51.66497"
49565,2,51.5408,-3.26295,16,"-3.26295, 51.5408"
51237,2,51.52037,-3.23154,18,"-3.23154, 51.52037"
201776,2,51.56829,-3.29026,4,"-3.29026, 51.56829"
217954,2,51.41228,-3.24891,4,"-3.24891, 51.41228"
229875,2,51.51651,-3.24801,9,"-3.24801, 51.51651"
