ori_node,des_node,ori_layer,des_layer,minutes,km
8,19557,5,5,2,3.749
8,20711,5,5,1,1.83
8,183410,5,5,3,1.809
39,11556,5,5,1,0.28
39,31481,5,5,30,14.024
39,51398,5,5,5,2.934
39,71955,5,5,1,2.388
39,188085,5,5,1,0.084
39,231733,5,5,5,9.819
158,9730,5,5,3,2.094
158,17067,5,5,2,1.904
158,26743,5,5,3,1.748
158,50060,5,5,1,0.088
164,35761,5,5,3,2.549
164,43746,5,5,3,2.782
219,219,5,5,2,0
219,25027,5,5,2,1.069
219,39086,5,5,1,0.355
219,137687,5,5,3,0.494
360,17400,5,5,1,0.474
360,32745,5,5,1,0.658
361,32742,5,5,1,0.902
361,49353,5,5,3,3.081
362,17017,5,5,1,1.461
362,30382,5,5,1,0.955
363,32742,5,5,1,0.339
363,32750,5,5,1,0.603
575,38679,5,5,5,2.005
575,137921,5,5,1,0.186
575,178472,5,5,3,1.747
576,4100,5,5,5,2.988
576,177674,5,5,1,1.32
1150,17017,5,5,3,1.315
1150,84047,5,5,3,2.361
1620,15883,5,5,1,0.31
1620,20075,5,5,3,2.259
1620,89173,5,5,2,0.346
1621,23130,5,5,1,0.189
1621,49972,5,5,2,0.492
1668,15586,5,5,7,4.196
1668,31481,5,5,1,0.663
1668,38679,5,5,16,6.074
1668,39834,5,5,5,1.307
1668,44455,5,5,4,1.101
1668,53239,5,5,1,0.571
1668,61930,5,5,4,1.766
1668,88981,5,5,9,6.746
1668,94062,5,5,1,0.626
1668,147330,5,5,1,0.302
1668,160209,5,5,1,0.747
1668,243887,5,5,2,0.886
1745,17017,5,5,1,0.786
1745,17020,5,5,1,0.656
1749,43721,5,5,7,4.892
1749,51399,5,5,2,2.148
1750,14898,5,5,1,0.522
1750,19560,5,5,1,2.898
1751,117344,5,5,3,1.674
1751,132160,5,5,2,0.839
1976,21076,5,5,2,2.168
1976,43084,5,5,1,0.786
2071,33399,5,5,5,3.315
2071,47416,5,5,5,1.948
2127,33402,5,5,2,1.795
2127,46134,5,5,2,1.008
2294,34034,5,5,1,0.434
2294,37180,5,5,1,0.392
3663,3663,5,5,2,0
3663,4092,5,5,3,0.509
3663,17399,5,5,1,0.784
3663,49352,5,5,2,0.992
3663,137684,5,5,1,0.429
3663,149348,5,5,1,0.454
3800,3804,5,5,1,1.506
3800,20073,5,5,1,0.611
3804,3800,5,5,1,1.506
3804,3805,5,5,1,0.603
3805,3804,5,5,1,0.603
3805,19998,5,5,1,0.357
3805,20768,5,5,1,0.785
4092,3663,5,5,1,0.509
4092,21234,5,5,9,7.179
4092,106516,5,5,1,0.586
4092,133473,5,5,1,0.42
4092,137690,5,5,2,0.701
4092,205123,5,5,1,0.154
4095,35253,5,5,2,2.69
4095,37190,5,5,2,2.407
4097,4098,5,5,3,2.782
4097,16088,5,5,1,1.223
4098,4097,5,5,2,2.782
4098,16085,5,5,4,1.944
4099,87740,5,5,3,1.561
4099,163237,5,5,1,0.6
4100,576,5,5,3,2.988
4100,51566,5,5,3,1.456
4709,21946,5,5,4,2.852
4709,59257,5,5,4,3.37
4713,49851,5,5,5,1.321
4713,49853,5,5,2,0.734
4714,219,5,5,4,1.473
4714,25027,5,5,2,1.972
4714,39086,5,5,2,1.519
5042,5042,5,5,1,0
5042,8759,5,5,2,3.938
5042,19399,5,5,1,0.498
5042,19504,5,5,1,0.752
5042,47412,5,5,1,0.578
5913,22627,5,5,1,2.087
5913,47360,5,5,1,1.631
5927,5927,5,5,1,0
5927,38701,5,5,7,3.419
5927,106487,5,5,3,2.635
7240,22704,5,5,3,1.467
7240,28356,5,5,3,2.59
8041,8041,5,5,1,0
8041,103624,5,5,1,0.231
8042,34026,5,5,1,0.242
8042,99489,5,5,1,0.304
8506,33793,5,5,1,0.412
8529,165793,5,5,1,0.331
8529,235403,5,5,1,0.161
8759,5042,5,5,2,3.938
8759,19504,5,5,3,4.484
9146,38701,5,5,7,3.69
9146,189734,5,5,12,6.687
9147,9148,5,5,4,2.026
9147,189734,5,5,7,1.694
9148,9147,5,5,5,2.026
9148,9150,5,5,3,4.05
9150,9148,5,5,4,4.05
9150,9150,5,5,1,0
9150,14898,5,5,1,1.75
9150,38701,5,5,6,5.728
9150,69857,5,5,1,3.33
9151,98520,5,5,1,0.281
9151,251094,5,5,2,2.233
9507,17018,5,5,1,0.404
9507,31481,5,5,15,6.321
9507,51044,5,5,1,0.582
9507,187300,5,5,3,1.338
9512,17020,5,5,1,0.616
9512,28726,5,5,1,1.08
9730,158,5,5,3,2.094
9730,17067,5,5,1,0.216
9730,27666,5,5,1,1.87
9822,29066,5,5,1,0.393
9822,72602,5,5,1,0.591
11556,39,5,5,1,0.28
11556,38776,5,5,1,0.289
11556,71955,5,5,2,2.66
11556,188085,5,5,3,0.299
11561,27668,5,5,3,2.511
11561,64101,5,5,1,0.725
12019,121781,5,5,1,0.266
12019,230007,5,5,5,0.577
12019,243888,5,5,1,0.262
12508,33793,5,5,2,4.06
12508,40708,5,5,2,2.175
13406,24058,5,5,5,3.605
13406,50574,5,5,2,1.795
13406,164347,5,5,3,2.333
13406,189731,5,5,7,3.471
14252,14253,5,5,1,2.789
14252,23130,5,5,1,0.987
14252,26761,5,5,6,4.039
14253,14252,5,5,2,2.789
14253,26761,5,5,1,1.258
14801,37904,5,5,4,4.483
14898,1750,5,5,1,0.522
14898,9150,5,5,1,1.75
15586,84047,5,5,3,3.388
15586,148428,5,5,3,1.45
15591,31481,5,5,1,0.683
15591,214366,5,5,1,0.41
15591,214368,5,5,2,0.838
15883,1620,5,5,1,0.31
15883,37904,5,5,1,0.407
15883,49972,5,5,2,0.568
16085,35507,5,5,3,1.663
16085,117994,5,5,2,1.712
16088,4097,5,5,2,1.223
16088,4098,5,5,3,3.916
16088,35254,5,5,1,0.427
16529,46133,5,5,1,1.693
16529,55433,5,5,1,0.346
16529,163216,5,5,2,2.519
16787,29426,5,5,6,6.59
17016,17018,5,5,1,0.439
17016,187300,5,5,1,0.502
17017,362,5,5,1,1.461
17017,1150,5,5,3,1.315
17017,1745,5,5,1,0.786
17018,9507,5,5,1,0.404
17018,17016,5,5,1,0.439
17020,1745,5,5,1,0.656
17020,9512,5,5,1,0.616
17067,158,5,5,2,1.904
17067,9730,5,5,1,0.216
17067,26761,5,5,2,3.407
17067,27665,5,5,2,1.177
17067,34723,5,5,1,1.963
17166,17329,5,5,1,0.939
17166,30853,5,5,5,2.774
17166,36145,5,5,1,0.887
17166,80711,5,5,3,2.691
17166,141005,5,5,1,0.495
17329,17166,5,5,2,0.939
17329,30853,5,5,3,3.062
17329,37195,5,5,3,4.58
17397,21234,5,5,1,0.27
17397,49354,5,5,1,0.31
17399,3663,5,5,1,0.784
17399,37190,5,5,2,2.301
17400,360,5,5,1,0.474
17400,21234,5,5,1,0.578
17872,20080,5,5,2,1.281
17872,27439,5,5,2,2.27
17872,207908,5,5,4,3.207
19399,5042,5,5,1,0.498
19399,38776,5,5,1,0.261
19504,38776,5,5,6,1.265
19504,47412,5,5,1,0.212
19504,71955,5,5,4,2.096
19557,8,5,5,2,3.749
19557,19559,5,5,1,0.188
19557,38701,5,5,1,0.297
19557,246801,5,5,1,0.28
19558,19559,5,5,1,0.232
19558,28358,5,5,1,1.547
19559,19557,5,5,1,0.188
19559,19558,5,5,1,0.232
19560,1750,5,5,2,2.898
19560,38701,5,5,1,0.616
19560,38702,5,5,1,0.416
19560,246801,5,5,1,0.993
19569,22490,5,5,5,3.524
19569,38701,5,5,5,2.316
19569,127505,5,5,5,1.835
19998,3805,5,5,1,0.357
19998,20768,5,5,1,0.454
19998,31481,5,5,38,7.562
20005,20923,5,5,2,2.432
20005,43558,5,5,3,2.643
20005,211048,5,5,2,0.283
20007,37180,5,5,1,0.76
20007,46798,5,5,1,0.385
20073,3800,5,5,1,0.611
20073,49467,5,5,1,1.021
20074,20075,5,5,2,2.638
20074,37765,5,5,3,1.852
20075,1620,5,5,2,2.259
20075,20074,5,5,3,2.638
20080,17872,5,5,2,1.281
20080,33402,5,5,2,3.713
20581,25378,5,5,2,5.235
20581,27666,5,5,1,0.666
20711,8,5,5,2,1.83
20711,28361,5,5,1,1.041
20768,19998,5,5,1,0.454
20768,20768,5,5,1,0
20768,20769,5,5,1,0.737
20768,65320,5,5,2,1.268
20769,20768,5,5,1,0.737
20769,20924,5,5,1,1.756
20770,20923,5,5,1,0.9
20770,43558,5,5,2,1.447
20772,20772,5,5,1,0
20772,34029,5,5,2,0.782
20772,183794,5,5,1,0.339
20877,39976,5,5,1,1.107
20923,20770,5,5,2,0.9
20923,262329,5,5,6,3.079
20924,20769,5,5,2,1.756
20924,46798,5,5,1,0.939
21075,43085,5,5,2,1.429
21075,91259,5,5,1,1.633
21076,1976,5,5,2,2.168
21076,208664,5,5,1,0.224
21234,17397,5,5,1,0.27
21234,17400,5,5,1,0.578
21234,49853,5,5,2,1.409
21234,111353,5,5,15,8.97
21234,175333,5,5,6,6.461
21946,4709,5,5,4,2.852
21946,60112,5,5,4,2.318
22490,19569,5,5,5,3.524
22490,127505,5,5,4,2.04
22627,5913,5,5,1,2.087
22627,51400,5,5,1,1.499
22628,48018,5,5,1,0.44
22628,51504,5,5,2,2.107
22704,7240,5,5,1,1.467
22704,33259,5,5,3,2.094
22874,22874,5,5,1,0
22874,39834,5,5,4,1.207
22874,175712,5,5,1,0.293
22875,34029,5,5,1,0.175
22875,112524,5,5,1,0.352
23130,14252,5,5,1,0.987
23130,49972,5,5,1,0.33
23209,23209,5,5,1,0
23209,30854,5,5,1,1.603
23209,31481,5,5,57,20.23
23212,23213,5,5,2,1.65
23212,30852,5,5,8,4.929
23213,4100,5,5,5,3.441
23213,23212,5,5,3,1.65
23213,51566,5,5,5,2.111
24058,13406,5,5,7,3.605
24058,231804,5,5,5,2.04
24728,174025,5,5,1,0.183
24728,233225,5,5,1,0.248
24731,31481,5,5,11,4.54
24731,48013,5,5,2,1.671
24731,48017,5,5,1,0.447
24731,187300,5,5,9,4.066
24731,220136,5,5,3,1.063
25027,4714,5,5,2,1.972
25027,166117,5,5,1,0.844
25378,39,5,5,6,5.658
25378,11556,5,5,3,5.928
25378,20581,5,5,2,5.235
25378,51399,5,5,2,4.125
25378,51400,5,5,1,2.879
25378,71956,5,5,5,3.306
25378,134902,5,5,3,0.232
26743,158,5,5,2,1.748
26743,35761,5,5,3,1.618
26761,14252,5,5,6,4.039
26761,14253,5,5,1,1.258
26761,17067,5,5,2,3.407
26761,50060,5,5,2,1.443
27226,34032,5,5,1,0.417
27226,111353,5,5,11,2.893
27226,195197,5,5,1,0.201
27226,225464,5,5,13,1.991
27439,17872,5,5,2,2.27
27439,37765,5,5,3,0.484
27665,17067,5,5,3,1.177
27665,35761,5,5,3,2.265
27666,9730,5,5,2,1.87
27666,20581,5,5,1,0.666
27668,11561,5,5,3,2.511
27668,29426,5,5,3,2.948
28253,31481,5,5,32,13.759
28253,69975,5,5,2,1.505
28356,7240,5,5,7,2.59
28356,28356,5,5,1,0
28356,38702,5,5,3,1.643
28356,173427,5,5,1,0.138
28358,19558,5,5,1,1.547
28358,49467,5,5,1,0.653
28358,132929,5,5,3,1.697
28361,20711,5,5,1,1.041
28361,51504,5,5,1,1.596
28361,109174,5,5,3,2.393
28361,121100,5,5,12,7.109
28726,9512,5,5,1,1.08
28726,175333,5,5,1,0.246
28730,34029,5,5,1,0.789
28730,111353,5,5,9,3.542
28730,112522,5,5,2,0.372
28730,129791,5,5,2,0.372
28730,165793,5,5,1,0.418
28730,165797,5,5,1,0.453
28730,183797,5,5,1,0.505
29066,9822,5,5,1,0.393
29066,29475,5,5,1,0.248
29066,193518,5,5,1,0.319
29067,29067,5,5,1,0
29067,157333,5,5,1,0.299
29426,16787,5,5,6,6.59
29426,27668,5,5,3,2.948
29475,29066,5,5,1,0.248
29475,34034,5,5,1,0.475
29475,193517,5,5,1,0.283
30304,1668,5,5,2,0.466
30304,29066,5,5,3,0.78
30304,31481,5,5,3,0.631
30304,72602,5,5,10,0.372
30304,256486,5,5,3,0.202
30382,362,5,5,1,0.955
30382,49354,5,5,1,0.174
30387,45959,5,5,1,0.474
30387,86356,5,5,1,0.193
30852,23212,5,5,8,4.929
30852,30854,5,5,2,1.067
30852,36145,5,5,1,0.856
30853,17166,5,5,5,2.774
30853,17329,5,5,3,3.062
30853,23209,5,5,13,3.102
30853,30852,5,5,8,3.48
30853,36145,5,5,3,3.093
30853,183607,5,5,1,0.576
30854,30852,5,5,2,1.067
30854,220790,5,5,2,1.484
31000,48018,5,5,1,0.649
31000,119788,5,5,1,0.617
31184,31185,5,5,1,0.239
31184,31186,5,5,1,0.272
31185,31184,5,5,1,0.239
31185,177674,5,5,1,1.039
31186,31184,5,5,1,0.272
31186,150512,5,5,1,0.309
31481,39,5,5,30,14.024
31481,1668,5,5,1,0.663
31481,9822,5,5,1,0.798
31481,15591,5,5,1,0.683
31481,22875,5,5,16,2.964
31481,24731,5,5,12,4.54
31481,27226,5,5,7,1.696
31481,28253,5,5,27,13.759
31481,30304,5,5,2,0.631
31481,31481,5,5,1,0
31481,34029,5,5,8,3.045
31481,34030,5,5,5,0.702
31481,34031,5,5,2,1.102
31481,37180,5,5,12,2.582
31481,41876,5,5,1,0.878
31481,50150,5,5,29,14.55
31481,63389,5,5,1,0.68
31481,71440,5,5,2,1.43
31481,91419,5,5,1,0.741
31481,111353,5,5,2,1.286
31481,123094,5,5,7,1.251
31481,157536,5,5,1,0.618
31481,159208,5,5,10,1.743
31481,177123,5,5,3,0.866
31481,185465,5,5,7,1.458
31481,207523,5,5,1,0.453
31481,225464,5,5,1,0.319
31481,226443,5,5,10,2.605
31481,234105,5,5,1,0.706
31481,243886,5,5,1,0.397
31481,243887,5,5,1,0.399
32742,361,5,5,1,0.902
32742,363,5,5,1,0.339
32745,360,5,5,1,0.658
32745,32750,5,5,1,0.755
32750,363,5,5,1,0.603
32750,32745,5,5,1,0.755
33259,22704,5,5,3,2.094
33259,251094,5,5,1,0.5
33365,61922,5,5,1,0.464
33365,88287,5,5,2,1.105
33399,2071,5,5,4,3.315
33399,17872,5,5,4,4.351
33402,2127,5,5,2,1.795
33402,20080,5,5,2,3.713
33793,8506,5,5,2,0.412
33793,12508,5,5,1,4.06
34025,34025,5,5,1,0
34025,162584,5,5,1,0.326
34025,171498,5,5,1,0.425
34025,207530,5,5,1,0.367
34025,242635,5,5,1,0.468
34026,8042,5,5,1,0.242
34026,34026,5,5,1,0
34026,99489,5,5,1,0.476
34026,140375,5,5,1,0.435
34026,183800,5,5,1,0.32
34029,20772,5,5,1,0.782
34029,22875,5,5,1,0.175
34029,81141,5,5,1,0.341
34029,140552,5,5,1,0.495
34029,165796,5,5,1,0.37
34029,183797,5,5,1,0.375
34029,250088,5,5,7,1.099
34030,31481,5,5,1,0.702
34030,34030,5,5,1,0
34030,34033,5,5,1,0.339
34030,111353,5,5,7,1.927
34031,34031,5,5,1,0
34031,121245,5,5,1,0.249
34031,140189,5,5,1,0.431
34031,152211,5,5,1,0.34
34031,174021,5,5,1,0.079
34031,174024,5,5,1,0.09
34031,185465,5,5,1,0.372
34031,203256,5,5,1,0.356
34031,213673,5,5,2,0.504
34032,27226,5,5,1,0.417
34032,34032,5,5,1,0
34032,177863,5,5,4,2.342
34032,195192,5,5,1,0.428
34032,225464,5,5,11,2.403
34032,229054,5,5,2,0.441
34032,253132,5,5,1,0.362
34033,34030,5,5,1,0.339
34033,34033,5,5,1,0
34033,161764,5,5,1,0.425
34034,2294,5,5,1,0.434
34034,29475,5,5,1,0.475
34034,34034,5,5,1,0
34034,157537,5,5,1,0.044
34709,34709,5,5,1,0
34709,34714,5,5,1,0.413
34709,97337,5,5,1,0.404
34709,111353,5,5,1,0.489
34709,160999,5,5,1,0.277
34709,234108,5,5,1,0.338
34714,34709,5,5,1,0.413
34714,233231,5,5,1,0.313
34723,17067,5,5,2,1.963
34723,43721,5,5,2,2.428
35158,35158,5,5,1,0
35158,91420,5,5,1,0.472
35158,154287,5,5,1,0.46
35253,4095,5,5,2,2.69
35253,35254,5,5,1,0.502
35254,4092,5,5,12,8.621
35254,16088,5,5,1,0.427
35254,35253,5,5,1,0.502
35254,205983,5,5,4,2.672
35507,45959,5,5,1,0.204
35507,210203,5,5,2,0.792
35761,164,5,5,2,2.549
35761,26743,5,5,2,1.618
35761,27665,5,5,2,2.265
36145,17166,5,5,1,0.887
36145,30852,5,5,1,0.856
36145,30853,5,5,3,3.093
36145,141005,5,5,1,0.4
36258,106487,5,5,3,1.05
36258,183410,5,5,1,0.272
37180,2294,5,5,1,0.392
37180,20007,5,5,1,0.76
37180,34034,5,5,1,0.774
37180,37180,5,5,1,0
37180,121781,5,5,1,0.62
37180,136226,5,5,8,4.281
37180,226443,5,5,1,0.42
37190,4095,5,5,3,2.407
37190,17399,5,5,4,2.301
37190,49352,5,5,3,2.645
37191,4092,5,5,3,3.353
37191,37191,5,5,1,0
37191,49352,5,5,3,2.337
37195,17329,5,5,3,4.58
37195,149348,5,5,3,1.883
37765,20074,5,5,1,1.852
37765,27439,5,5,1,0.484
37904,14801,5,5,4,4.483
37904,15883,5,5,1,0.407
37904,49972,5,5,2,0.474
38679,575,5,5,4,2.005
38679,40243,5,5,1,0.994
38698,38700,5,5,1,0.279
38698,38701,5,5,2,0.627
38700,38698,5,5,1,0.279
38700,38700,5,5,1,0
38700,38702,5,5,1,0.317
38701,9146,5,5,7,3.69
38701,19557,5,5,1,0.297
38701,19560,5,5,1,0.616
38701,19569,5,5,5,2.316
38701,38698,5,5,1,0.627
38701,51504,5,5,7,8.429
38701,121100,5,5,3,0.736
38701,246801,5,5,1,0.444
38702,19560,5,5,1,0.416
38702,28356,5,5,1,1.643
38702,38700,5,5,1,0.317
38776,5042,5,5,2,0.729
38776,11556,5,5,1,0.289
38776,19399,5,5,1,0.261
38776,31481,5,5,27,14.381
38776,50150,5,5,1,0.276
38776,188085,5,5,1,0.578
39086,219,5,5,1,0.355
39086,4092,5,5,2,0.928
39086,4714,5,5,2,1.519
39086,166123,5,5,1,0.368
39128,212922,5,5,1,0.194
39128,219987,5,5,1,0.461
39260,47359,5,5,1,0.489
39260,185083,5,5,4,2.166
39782,33365,5,5,3,1.543
39782,39783,5,5,1,0.19
39782,47360,5,5,3,1.787
39782,119788,5,5,3,1.604
39783,39782,5,5,3,0.19
39783,44455,5,5,3,2.256
39783,208284,5,5,1,0.479
39834,34709,5,5,1,0.523
39834,39834,5,5,1,0
39834,49458,5,5,1,0.354
39834,175713,5,5,4,1.165
39835,39834,5,5,4,1.235
39835,39835,5,5,1,0
39835,102072,5,5,1,0.528
39835,111353,5,5,4,1.743
39835,196262,5,5,1,0.472
39835,252139,5,5,4,1.587
39836,231733,5,5,1,0.52
39836,233955,5,5,1,0.192
39837,1668,5,5,1,1.01
39837,31481,5,5,2,1.673
39837,34709,5,5,2,1.413
39837,39837,5,5,1,0
39837,77092,5,5,7,1.599
39837,205600,5,5,1,0.455
39837,233232,5,5,1,0.376
39976,20877,5,5,1,1.107
40243,38679,5,5,3,0.994
40243,252140,5,5,2,1.523
40708,12508,5,5,2,2.175
40708,50150,5,5,1,0.313
41876,31481,5,5,1,0.878
41876,34031,5,5,1,0.441
41877,53490,5,5,1,0.284
41877,227817,5,5,1,0.257
41879,61663,5,5,1,0.379
41879,111354,5,5,1,0.207
41880,41880,5,5,1,0
41880,147014,5,5,1,0.269
42189,205966,5,5,1,0.181
42189,231733,5,5,5,0.801
42191,39836,5,5,1,0.452
42191,47358,5,5,8,4.664
42191,47360,5,5,1,1.68
42191,186248,5,5,1,0.252
43084,1976,5,5,1,0.786
43084,236518,5,5,3,2.514
43085,21075,5,5,2,1.429
43085,237888,5,5,1,0.362
43558,20005,5,5,3,2.643
43558,20770,5,5,2,1.447
43558,20923,5,5,4,2.323
43558,43558,5,5,1,0
43721,1749,5,5,7,4.892
43721,34723,5,5,2,2.428
43721,43721,5,5,1,0
43746,164,5,5,2,2.782
44455,31481,5,5,6,1.688
44455,88287,5,5,5,2.019
44455,176468,5,5,1,0.563
44455,257542,5,5,1,0.29
44456,53722,5,5,1,0.329
44456,111649,5,5,1,0.346
44865,85313,5,5,1,0.664
44865,203254,5,5,1,0.183
45959,30387,5,5,1,0.474
45959,35507,5,5,1,0.204
46133,16529,5,5,1,1.693
46133,47416,5,5,1,0.624
46134,2127,5,5,2,1.008
46134,47416,5,5,2,0.319
46744,76260,5,5,1,0.976
46744,202275,5,5,2,1.481
46798,20007,5,5,1,0.385
46798,20924,5,5,1,0.939
47357,47358,5,5,4,2.087
47357,51398,5,5,2,1.161
47358,47357,5,5,4,2.087
47358,233955,5,5,7,4.402
47359,39260,5,5,1,0.489
47360,5913,5,5,1,1.631
47360,39782,5,5,1,1.787
47360,233955,5,5,1,1.392
47412,5042,5,5,1,0.578
47412,19504,5,5,2,0.212
47416,2071,5,5,4,1.948
47416,46133,5,5,1,0.624
47416,46134,5,5,2,0.319
48013,48014,5,5,1,0.526
48013,121245,5,5,5,1.959
48013,176808,5,5,1,0.44
48014,48013,5,5,1,0.526
48014,48014,5,5,1,0
48014,48017,5,5,2,0.703
48017,24731,5,5,1,0.447
48017,48014,5,5,1,0.703
48018,22628,5,5,1,0.44
48018,31000,5,5,1,0.649
48018,119788,5,5,3,1.263
48018,172860,5,5,2,0.507
48049,82376,5,5,1,0.196
48049,234104,5,5,1,0.325
49351,4092,5,5,1,0.774
49351,49352,5,5,1,0.257
49351,133473,5,5,1,0.376
49352,3663,5,5,1,0.992
49352,37190,5,5,3,2.645
49352,37191,5,5,2,2.337
49352,49351,5,5,1,0.257
49352,137686,5,5,2,0.246
49353,361,5,5,3,3.081
49353,4092,5,5,1,0.529
49353,49851,5,5,4,4.238
49353,137689,5,5,1,0.122
49353,205123,5,5,1,0.375
49354,17397,5,5,1,0.31
49354,30382,5,5,1,0.174
49458,39834,5,5,1,0.354
49458,61930,5,5,1,0.704
49458,111353,5,5,2,0.934
49458,124978,5,5,1,0.411
49458,217161,5,5,1,0.259
49467,20073,5,5,1,1.021
49467,28358,5,5,1,0.653
49467,255975,5,5,5,2.543
49851,4713,5,5,2,1.321
49851,49353,5,5,1,4.238
49853,1668,5,5,15,10.529
49853,4713,5,5,2,0.734
49853,21234,5,5,2,1.409
49972,1621,5,5,1,0.492
49972,15883,5,5,1,0.568
49972,23130,5,5,1,0.33
49972,37904,5,5,2,0.474
49972,64103,5,5,1,0.265
50060,158,5,5,1,0.088
50060,26761,5,5,1,1.443
50150,19504,5,5,6,1.459
50150,38776,5,5,1,0.276
50150,40708,5,5,1,0.313
50574,13406,5,5,4,1.795
50574,187300,5,5,7,4.736
51044,9507,5,5,1,0.582
51044,51044,5,5,1,0
51044,202642,5,5,1,0.529
51398,39,5,5,6,2.934
51398,47357,5,5,2,1.161
51399,1749,5,5,3,2.148
51399,25378,5,5,4,4.125
51400,11556,5,5,3,7.059
51400,22627,5,5,1,1.499
51400,25378,5,5,2,2.879
51400,134902,5,5,2,2.648
51461,256717,5,5,1,0.498
51504,28361,5,5,2,1.596
51504,38701,5,5,9,8.429
51504,39783,5,5,5,3.785
51504,159673,5,5,1,1.524
51566,4100,5,5,3,1.456
51566,23213,5,5,5,2.111
52189,89340,5,5,1,0.667
52189,234515,5,5,1,1.941
53239,39837,5,5,1,0.439
53239,156105,5,5,1,0.374
53239,160209,5,5,1,0.208
53490,194113,5,5,1,0.132
53722,46744,5,5,3,1.87
53722,113301,5,5,1,0.248
54077,152769,5,5,1,0.139
54891,148428,5,5,2,0.261
55433,16529,5,5,1,0.346
57111,51044,5,5,1,0.52
59257,51461,5,5,1,0.829
60112,35507,5,5,1,1.302
61185,44865,5,5,1,0.626
61185,72633,5,5,1,0.772
61195,206604,5,5,1,0.211
61663,54077,5,5,1,0.329
61922,31481,5,5,5,2.301
61922,169151,5,5,1,0.246
61926,232921,5,5,1,0.299
61930,39834,5,5,2,0.782
61930,186246,5,5,1,0.259
61930,232921,5,5,4,0.95
61930,234714,5,5,1,0.255
63389,243883,5,5,1,0.259
63734,169148,5,5,1,0.216
64101,49972,5,5,1,0.183
64103,11561,5,5,1,0.647
65320,75198,5,5,1,0.803
65323,20768,5,5,3,1.228
69975,28253,5,5,2,1.505
69975,195560,5,5,10,4.794
70779,34032,5,5,1,0.206
70782,121245,5,5,1,0.369
70933,94058,5,5,1,0.159
70938,243884,5,5,1,0.11
71439,81140,5,5,1,0.207
71440,140189,5,5,1,0.295
71440,184251,5,5,1,0.125
71441,206952,5,5,1,0.173
71866,71441,5,5,1,0.23
71955,25378,5,5,3,3.271
71955,51400,5,5,2,4.684
71956,19504,5,5,5,2.058
71969,71972,5,5,1,0.367
71969,190697,5,5,4,2.391
71972,39782,5,5,7,4.837
71972,71969,5,5,1,0.367
71972,172860,5,5,7,4.297
72602,31481,5,5,1,0.258
72631,72632,5,5,1,0.207
72632,186248,5,5,1,0.407
72633,72631,5,5,1,0.195
74274,151033,5,5,1,0.684
74274,255975,5,5,4,1.659
74368,186249,5,5,1,0.185
75198,65323,5,5,2,0.844
75198,75199,5,5,2,1.04
75198,244274,5,5,3,1.239
75199,75198,5,5,2,1.04
75199,144283,5,5,2,0.954
75199,202987,5,5,4,6.145
76260,57111,5,5,1,0.646
77091,77093,5,5,1,0.163
77092,77091,5,5,1,0.223
77093,77095,5,5,1,0.221
77094,77097,5,5,1,0.203
77095,77094,5,5,1,0.212
77096,77099,5,5,1,0.239
77097,77096,5,5,1,0.16
77098,223877,5,5,1,0.15
77099,77098,5,5,1,0.202
79512,92081,5,5,2,4.439
79512,202987,5,5,1,0.541
