ori_node,des_node,ori_layer,des_layer,minutes,km
410,410,5,5,1,0
410,3067,5,5,1,0.388
410,31610,5,5,1,0.421
410,142871,5,5,1,0.273
481,17121,5,5,1,0.406
481,156046,5,5,10,4.381
515,15542,5,5,8,3.417
515,15543,5,5,2,0.624
515,15544,5,5,2,1.424
515,17575,5,5,1,0.367
516,6169,5,5,4,2.719
516,15542,5,5,4,2.397
516,15543,5,5,2,1.231
781,37249,5,5,5,2.383
781,42894,5,5,1,0.342
782,17577,5,5,2,1.345
915,915,5,5,1,0
915,11282,5,5,1,0.556
915,11286,5,5,1,0.709
915,31306,5,5,1,0.602
915,32274,5,5,1,0.704
915,32275,5,5,1,1.063
915,40540,5,5,1,0.618
915,43699,5,5,3,0.768
915,112258,5,5,3,1.266
1032,12399,5,5,1,0.332
1032,18113,5,5,1,0.843
1032,42958,5,5,1,0.234
1032,47001,5,5,5,1.731
1035,30557,5,5,2,0.565
1035,30558,5,5,1,0.489
1036,23133,5,5,1,0.514
1036,26642,5,5,1,0.399
1042,21675,5,5,1,0.172
1042,27402,5,5,1,0.289
1148,1157,5,5,3,1.814
1148,48660,5,5,1,0.546
1149,1850,5,5,1,0.38
1149,34790,5,5,1,0.67
1149,85900,5,5,2,0.147
1157,1148,5,5,3,1.814
1157,1158,5,5,2,1.121
1158,1157,5,5,1,1.121
1158,42242,5,5,2,0.675
1213,1214,5,5,1,0.813
1213,34193,5,5,1,0.41
1214,1213,5,5,1,0.813
1214,1217,5,5,1,0.561
1215,1216,5,5,2,1.126
1215,1848,5,5,1,0.598
1216,1215,5,5,2,1.126
1216,1221,5,5,1,0.37
1217,1214,5,5,1,0.561
1217,34192,5,5,2,0.76
1218,26640,5,5,2,0.629
1218,34192,5,5,1,0.344
1219,1222,5,5,1,0.462
1219,24082,5,5,2,0.794
1220,15633,5,5,3,2.181
1220,20229,5,5,1,0.605
1220,24082,5,5,1,0.926
1221,1216,5,5,1,0.37
1221,1222,5,5,1,0.492
1222,1219,5,5,1,0.462
1222,1221,5,5,1,0.492
1272,1273,5,5,1,0.272
1272,1275,5,5,1,0.323
1273,1272,5,5,1,0.272
1273,33624,5,5,1,0.245
1274,1275,5,5,2,0.225
1274,26013,5,5,1,0.326
1274,26014,5,5,3,0.687
1274,187634,5,5,1,0.254
1275,1272,5,5,1,0.323
1275,1274,5,5,1,0.225
1275,26013,5,5,1,0.207
1276,1277,5,5,1,0.401
1276,1279,5,5,1,0.181
1277,1274,5,5,2,0.664
1277,1276,5,5,1,0.401
1278,1279,5,5,1,0.452
1278,1281,5,5,1,0.253
1279,1276,5,5,1,0.181
1279,1278,5,5,1,0.452
1280,16866,5,5,1,0.556
1280,237736,5,5,1,0.373
1281,1278,5,5,1,0.253
1281,12639,5,5,1,0.213
1661,7223,5,5,1,0.127
1661,7226,5,5,1,0.163
1845,1846,5,5,1,0.407
1845,11029,5,5,1,0.494
1846,1845,5,5,1,0.407
1846,6446,5,5,1,1.387
1847,1846,5,5,1,2.02
1847,4850,5,5,6,4.262
1847,6446,5,5,1,1.17
1847,16225,5,5,7,4.026
1847,39989,5,5,4,2.014
1847,47560,5,5,2,1.028
1847,261399,5,5,1,0.834
1848,1215,5,5,1,0.598
1848,6446,5,5,1,0.571
1848,24082,5,5,8,3.812
1849,6446,5,5,1,0.633
1849,34790,5,5,3,0.8
1849,47563,5,5,1,0.259
1850,1149,5,5,1,0.38
1850,34790,5,5,2,0.735
1850,47561,5,5,1,0.458
1850,47563,5,5,1,0.501
2309,2310,5,5,1,0.321
2309,2312,5,5,1,0.327
2309,7962,5,5,1,0.478
2309,21459,5,5,1,0.617
2309,21460,5,5,1,0.311
2310,2309,5,5,1,0.321
2310,2317,5,5,1,0.382
2312,2309,5,5,1,0.327
2312,3068,5,5,1,0.335
2312,7962,5,5,1,0.193
2312,21460,5,5,2,0.433
2312,169753,5,5,4,0.737
2313,2315,5,5,1,0.252
2313,29786,5,5,1,0.208
2313,46195,5,5,1,0.545
2313,215639,5,5,1,0.196
2314,2315,5,5,1,0.19
2314,31301,5,5,1,0.429
2315,2313,5,5,1,0.252
2315,2314,5,5,1,0.19
2316,2318,5,5,1,0.368
2316,29133,5,5,1,0.095
2316,31301,5,5,1,0.34
2317,2310,5,5,1,0.382
2317,2319,5,5,1,0.437
2317,31301,5,5,1,0.305
2318,2316,5,5,1,0.368
2318,247474,5,5,1,0.35
2319,2317,5,5,1,0.437
2319,3062,5,5,4,1.887
2319,29787,5,5,1,0.451
2453,15548,5,5,1,0.079
2453,34692,5,5,1,0.25
