node,layer,lat,lon,degree,geometry
410,5,51.72566,0.46226,8,"0.46226, 51.72566"
481,5,51.65105,0.4368,5,"0.4368, 51.65105"
515,5,51.90504,0.33538,8,"0.33538, 51.90504"
516,5,51.89289,0.33528,6,"0.33528, 51.89289"
781,5,51.79882,0.26578,6,"0.26578, 51.79882"
782,5,51.87145,0.26577,4,"0.26577, 51.87145"
915,5,51.80598,0.63914,35,"0.63914, 51.80598"
1032,5,51.75746,0.49232,8,"0.49232, 51.75746"
1035,5,51.63614,0.45862,4,"0.45862, 51.63614"
1036,5,51.7308,0.5779,4,"0.5779, 51.7308"
1042,5,51.72482,0.68834,4,"0.68834, 51.72482"
1148,5,51.74706,0.21918,4,"0.21918, 51.74706"
1149,5,51.63525,0.61342,5,"0.61342, 51.63525"
1157,5,51.74423,0.19318,4,"0.19318, 51.74423"
1158,5,51.74696,0.17748,4,"0.17748, 51.74696"
1213,5,51.71372,0.53921,4,"0.53921, 51.71372"
1214,5,51.71111,0.55026,4,"0.55026, 51.71111"
1215,5,51.64933,0.59397,4,"0.59397, 51.64933"
1216,5,51.64145,0.58367,4,"0.58367, 51.64145"
1217,5,51.71288,0.5579,4,"0.5579, 51.71288"
1218,5,51.71292,0.57387,4,"0.57387, 51.71292"
1219,5,51.63273,0.57054,4,"0.57054, 51.63273"
1220,5,51.63719,0.55764,9,"0.55764, 51.63719"
1221,5,51.6391,0.57986,4,"0.57986, 51.6391"
1222,5,51.63581,0.57506,4,"0.57506, 51.63581"
1272,5,51.62911,0.35098,4,"0.35098, 51.62911"
1273,5,51.62923,0.35493,4,"0.35493, 51.62923"
1274,5,51.62845,0.34471,8,"0.34471, 51.62845"
1275,5,51.63012,0.34658,5,"0.34658, 51.63012"
1276,5,51.6193,0.34041,4,"0.34041, 51.6193"
1277,5,51.62258,0.34285,4,"0.34285, 51.62258"
1278,5,51.61551,0.33526,4,"0.33526, 51.61551"
1279,5,51.61927,0.33778,4,"0.33778, 51.61927"
1280,5,51.60977,0.30477,4,"0.30477, 51.60977"
1281,5,51.61388,0.33268,4,"0.33268, 51.61388"
1661,5,51.8743,0.69096,4,"0.69096, 51.8743"
1845,5,51.66472,0.59895,4,"0.59895, 51.66472"
1846,5,51.66105,0.59894,5,"0.59894, 51.66105"
1847,5,51.65095,0.62334,13,"0.62334, 51.65095"
1848,5,51.65295,0.6004,8,"0.6004, 51.65295"
1849,5,51.64447,0.61096,6,"0.61096, 51.64447"
1850,5,51.63838,0.61568,8,"0.61568, 51.63838"
2309,5,51.7194,0.49787,10,"0.49787, 51.7194"
2310,5,51.72074,0.49373,4,"0.49373, 51.72074"
2312,5,51.71776,0.50182,10,"0.50182, 51.71776"
2313,5,51.71262,0.48796,8,"0.48796, 51.71262"
2314,5,51.71591,0.48433,4,"0.48433, 51.71591"
2315,5,51.71455,0.48601,4,"0.48601, 51.71455"
2316,5,51.72011,0.48193,5,"0.48193, 51.72011"
2317,5,51.72199,0.48855,6,"0.48855, 51.72199"
2318,5,51.71888,0.47695,4,"0.47695, 51.71888"
2319,5,51.7246,0.48378,7,"0.48378, 51.7246"
2453,5,51.8997,0.27239,4,"0.27239, 51.8997"
2459,5,51.95352,0.4191,6,"0.4191, 51.95352"
2462,5,51.92027,0.29334,4,"0.29334, 51.92027"
2469,5,51.95156,0.4145,2,"0.4145, 51.95156"
2499,5,51.93839,0.62632,12,"0.62632, 51.93839"
2500,5,51.94345,0.63136,10,"0.63136, 51.94345"
2554,5,51.75432,0.48645,4,"0.48645, 51.75432"
2555,5,51.73715,0.57674,6,"0.57674, 51.73715"
2556,5,51.72229,0.6907,6,"0.6907, 51.72229"
2557,5,51.74521,0.69191,4,"0.69191, 51.74521"
2558,5,51.74682,0.69326,4,"0.69326, 51.74682"
2559,5,51.74048,0.69044,6,"0.69044, 51.74048"
2560,5,51.74381,0.69354,7,"0.69354, 51.74381"
2991,5,52.01003,0.49531,4,"0.49531, 52.01003"
2992,5,51.966,0.45081,5,"0.45081, 51.966"
2996,5,51.94394,0.43957,9,"0.43957, 51.94394"
