node,layer,lat,lon,degree,geometry
915,2,51.80598,0.63914,35,"0.63914, 51.80598"
6446,2,51.64947,0.60652,27,"0.60652, 51.64947"
7588,2,51.63088,0.32985,35,"0.32985, 51.63088"
12613,2,51.86943,0.56845,13,"0.56845, 51.86943"
15223,2,51.87541,0.5567,40,"0.5567, 51.87541"
16225,2,51.64859,0.68167,16,"0.68167, 51.64859"
16866,2,51.61361,0.29959,19,"0.29959, 51.61361"
18174,2,51.62483,0.5653,14,"0.5653, 51.62483"
20037,2,51.63366,0.81405,18,"0.81405, 51.63366"
21666,2,51.77988,0.59214,14,"0.59214, 51.77988"
27115,2,51.64788,0.7525,10,"0.7525, 51.64788"
27699,2,51.84071,0.7024,18,"0.7024, 51.84071"
29412,2,51.66705,0.38425,15,"0.38425, 51.66705"
30473,2,51.73638,0.46858,65,"0.46858, 51.73638"
31874,2,51.89058,0.26044,96,"0.26044, 51.89058"
39653,2,51.66063,0.83521,15,"0.83521, 51.66063"
222120,2,51.85235,0.57797,4,"0.57797, 51.85235"
234857,2,51.83892,0.59588,4,"0.59588, 51.83892"
