node,layer,lat,lon,degree,geometry
18302,5,51.9913,-2.15971,18,"-2.15971, 51.9913"
36028,5,51.99917,-2.10906,22,"-2.10906, 51.99917"
36378,5,51.8974,-2.09963,26,"-2.09963, 51.8974"
52127,5,51.8852,-2.11671,2,"-2.11671, 51.8852"
52315,5,51.91194,-2.1014,5,"-2.1014, 51.91194"
52903,5,51.95773,-2.0672,3,"-2.0672, 51.95773"
52905,5,51.95746,-2.06699,4,"-2.06699, 51.95746"
53135,5,51.85869,-2.12508,2,"-2.12508, 51.85869"
53711,5,51.93345,-2.14855,4,"-2.14855, 51.93345"
53712,5,51.90311,-2.07388,2,"-2.07388, 51.90311"
53713,5,52.00058,-2.1497,2,"-2.1497, 52.00058"
53714,5,51.83858,-2.04623,2,"-2.04623, 51.83858"
55047,5,52.03049,-2.11413,5,"-2.11413, 52.03049"
55048,5,52.03031,-2.11413,4,"-2.11413, 52.03031"
55061,5,51.97855,-1.97283,4,"-1.97283, 51.97855"
55966,5,51.83929,-1.94689,5,"-1.94689, 51.83929"
55968,5,51.82386,-1.9204,2,"-1.9204, 51.82386"
55969,5,51.83924,-1.94686,2,"-1.94686, 51.83924"
55970,5,51.82385,-1.92047,2,"-1.92047, 51.82385"
55983,5,51.95236,-2.12198,2,"-2.12198, 51.95236"
56255,5,51.89497,-2.12784,11,"-2.12784, 51.89497"
56456,5,51.91351,-2.04895,3,"-2.04895, 51.91351"
56580,5,51.90815,-2.05393,2,"-2.05393, 51.90815"
56583,5,51.99721,-2.30873,4,"-2.30873, 51.99721"
57269,5,51.92802,-2.04154,2,"-2.04154, 51.92802"
57270,5,51.92813,-2.04113,2,"-2.04113, 51.92813"
57731,5,51.87207,-1.97098,3,"-1.97098, 51.87207"
57736,5,51.87006,-1.97743,2,"-1.97743, 51.87006"
57737,5,51.87223,-1.9708,3,"-1.9708, 51.87223"
57857,5,51.97958,-2.07161,4,"-2.07161, 51.97958"
57858,5,51.98011,-2.0718,4,"-2.0718, 51.98011"
57859,5,51.90832,-2.10705,2,"-2.10705, 51.90832"
58378,5,51.85103,-2.04978,2,"-2.04978, 51.85103"
59135,5,51.97255,-2.00173,2,"-2.00173, 51.97255"
59209,5,51.86388,-2.11984,3,"-2.11984, 51.86388"
59210,5,51.86298,-2.11921,2,"-2.11921, 51.86298"
59211,5,51.86169,-2.12163,3,"-2.12163, 51.86169"
59212,5,51.86165,-2.12147,3,"-2.12147, 51.86165"
59213,5,51.86395,-2.1199,3,"-2.1199, 51.86395"
59214,5,51.88429,-2.08683,5,"-2.08683, 51.88429"
59215,5,51.86673,-2.11649,2,"-2.11649, 51.86673"
59216,5,51.86669,-2.11643,2,"-2.11643, 51.86669"
59217,5,51.86289,-2.11968,2,"-2.11968, 51.86289"
59232,5,51.88262,-2.04529,3,"-2.04529, 51.88262"
59233,5,51.88259,-2.04489,2,"-2.04489, 51.88259"
59234,5,51.94305,-2.07099,4,"-2.07099, 51.94305"
59548,5,51.88433,-1.92047,3,"-1.92047, 51.88433"
59549,5,51.88455,-1.92029,5,"-1.92029, 51.88455"
59894,5,51.94536,-2.05569,2,"-2.05569, 51.94536"
60206,5,51.89952,-2.10603,2,"-2.10603, 51.89952"
60207,5,51.89964,-2.10636,2,"-2.10636, 51.89964"
60208,5,51.87943,-2.07092,4,"-2.07092, 51.87943"
60209,5,51.87493,-2.07633,2,"-2.07633, 51.87493"
60210,5,51.87478,-2.07617,3,"-2.07617, 51.87478"
60211,5,51.87827,-2.07726,4,"-2.07726, 51.87827"
60212,5,51.87709,-2.0768,3,"-2.0768, 51.87709"
60213,5,51.89368,-2.07608,4,"-2.07608, 51.89368"
61242,5,51.90687,-2.15859,3,"-2.15859, 51.90687"
61244,5,51.94668,-2.06151,2,"-2.06151, 51.94668"
61968,5,51.92643,-2.15562,3,"-2.15562, 51.92643"
62861,5,51.90205,-2.07408,4,"-2.07408, 51.90205"
64759,5,51.87751,-2.04435,3,"-2.04435, 51.87751"
64803,5,51.91686,-2.04017,2,"-2.04017, 51.91686"
64976,5,51.91415,-2.11711,2,"-2.11711, 51.91415"
65050,5,51.88394,-2.04394,4,"-2.04394, 51.88394"
65055,5,51.88344,-2.04059,5,"-2.04059, 51.88344"
65350,5,51.90214,-2.074,9,"-2.074, 51.90214"
65353,5,51.88693,-2.08044,2,"-2.08044, 51.88693"
65591,5,51.95233,-2.12184,2,"-2.12184, 51.95233"
65876,5,51.87992,-2.10698,3,"-2.10698, 51.87992"
65877,5,51.8801,-2.10703,5,"-2.10703, 51.8801"
66033,5,52.00267,-2.08614,2,"-2.08614, 52.00267"
66041,5,52.04614,-2.17276,2,"-2.17276, 52.04614"
66043,5,52.046,-2.17315,2,"-2.17315, 52.046"
66054,5,52.00791,-2.16169,2,"-2.16169, 52.00791"
66479,5,51.91582,-2.07619,4,"-2.07619, 51.91582"
67337,5,51.90816,-2.06018,4,"-2.06018, 51.90816"
67383,5,51.82859,-1.83375,4,"-1.83375, 51.82859"
67426,5,51.89129,-2.10967,2,"-2.10967, 51.89129"
67427,5,51.89106,-2.10294,2,"-2.10294, 51.89106"
67428,5,51.88155,-2.14223,2,"-2.14223, 51.88155"
67429,5,51.8913,-2.10861,3,"-2.10861, 51.8913"
67430,5,51.89056,-2.09913,2,"-2.09913, 51.89056"
67431,5,51.89245,-2.0946,2,"-2.0946, 51.89245"
67432,5,51.89084,-2.10535,3,"-2.10535, 51.89084"
67433,5,51.89049,-2.09948,4,"-2.09948, 51.89049"
67434,5,51.8926,-2.09357,2,"-2.09357, 51.8926"
68467,5,52.01947,-2.09592,5,"-2.09592, 52.01947"
68633,5,51.89956,-2.16399,2,"-2.16399, 51.89956"
68787,5,52.0251,-2.23965,2,"-2.23965, 52.0251"
68788,5,52.02423,-2.23794,2,"-2.23794, 52.02423"
69202,5,51.89474,-2.06083,2,"-2.06083, 51.89474"
69204,5,51.91066,-2.03533,2,"-2.03533, 51.91066"
69210,5,51.91093,-2.03531,2,"-2.03531, 51.91093"
69264,5,51.98438,-2.15556,2,"-2.15556, 51.98438"
69600,5,52.0103,-2.20325,4,"-2.20325, 52.0103"
69757,5,51.89677,-2.06979,6,"-2.06979, 51.89677"
69758,5,51.89528,-2.06649,3,"-2.06649, 51.89528"
69760,5,51.89357,-2.11403,2,"-2.11403, 51.89357"
69761,5,51.89858,-2.07941,2,"-2.07941, 51.89858"
69762,5,51.89635,-2.06851,7,"-2.06851, 51.89635"
70783,5,51.96512,-2.04675,2,"-2.04675, 51.96512"
70784,5,51.96494,-2.05404,2,"-2.05404, 51.96494"
70785,5,51.96443,-2.04941,2,"-2.04941, 51.96443"
70786,5,51.97175,-2.01278,2,"-2.01278, 51.97175"
70787,5,51.96596,-2.02207,2,"-2.02207, 51.96596"
71154,5,51.96775,-1.96405,5,"-1.96405, 51.96775"
71480,5,51.92636,-2.15549,3,"-2.15549, 51.92636"
71634,5,52.01017,-2.27962,10,"-2.27962, 52.01017"
71958,5,51.90122,-2.07368,3,"-2.07368, 51.90122"
72016,5,51.87267,-2.07499,3,"-2.07499, 51.87267"
72122,5,51.97097,-1.87232,3,"-1.87232, 51.97097"
72151,5,51.91293,-2.09792,3,"-2.09792, 51.91293"
72242,5,52.0324,-2.05463,2,"-2.05463, 52.0324"
72556,5,51.75283,-1.97391,2,"-1.97391, 51.75283"
73998,5,52.01946,-2.32535,5,"-2.32535, 52.01946"
74497,5,52.02829,-2.16293,5,"-2.16293, 52.02829"
74504,5,52.02827,-2.16271,2,"-2.16271, 52.02827"
74769,5,51.8977,-2.07874,3,"-2.07874, 51.8977"
74770,5,51.89931,-2.07688,4,"-2.07688, 51.89931"
74771,5,51.90093,-2.07398,3,"-2.07398, 51.90093"
74773,5,51.91574,-2.06736,6,"-2.06736, 51.91574"
74872,5,51.77273,-1.95756,3,"-1.95756, 51.77273"
75208,5,51.82004,-1.91974,2,"-1.91974, 51.82004"
75313,5,51.89016,-2.09243,2,"-2.09243, 51.89016"
75314,5,51.88995,-2.09191,2,"-2.09191, 51.88995"
76226,5,51.85882,-2.08217,3,"-2.08217, 51.85882"
76229,5,51.85926,-2.08238,3,"-2.08238, 51.85926"
76440,5,51.95331,-2.15851,2,"-2.15851, 51.95331"
76635,5,51.86627,-1.94605,2,"-1.94605, 51.86627"
76977,5,51.82867,-1.83366,5,"-1.83366, 51.82867"
77011,5,51.94563,-2.07113,3,"-2.07113, 51.94563"
77012,5,51.94548,-2.06917,2,"-2.06917, 51.94548"
77013,5,51.93792,-2.06831,4,"-2.06831, 51.93792"
77014,5,51.93793,-2.06888,2,"-2.06888, 51.93793"
77015,5,51.93831,-2.06552,2,"-2.06552, 51.93831"
77016,5,51.93849,-2.06568,2,"-2.06568, 51.93849"
77017,5,51.93237,-2.06619,4,"-2.06619, 51.93237"
77018,5,51.93369,-2.06602,4,"-2.06602, 51.93369"
77019,5,51.91547,-2.06992,3,"-2.06992, 51.91547"
78491,5,51.88253,-2.04983,2,"-2.04983, 51.88253"
78770,5,51.89001,-2.0718,2,"-2.0718, 51.89001"
78771,5,51.88995,-2.07167,2,"-2.07167, 51.88995"
78772,5,51.88115,-2.07027,5,"-2.07027, 51.88115"
78773,5,51.88305,-2.04799,2,"-2.04799, 51.88305"
78774,5,51.8824,-2.05111,2,"-2.05111, 51.8824"
78775,5,51.88296,-2.04796,2,"-2.04796, 51.88296"
78959,5,51.99951,-2.09454,2,"-2.09454, 51.99951"
78961,5,51.9996,-2.09456,2,"-2.09456, 51.9996"
78966,5,51.96659,-2.15733,6,"-2.15733, 51.96659"
78967,5,51.96653,-2.14975,5,"-2.14975, 51.96653"
79532,5,51.91105,-2.12046,3,"-2.12046, 51.91105"
79533,5,51.90894,-2.12377,4,"-2.12377, 51.90894"
79534,5,51.90994,-2.1172,5,"-2.1172, 51.90994"
79535,5,51.9071,-2.12571,2,"-2.12571, 51.9071"
79536,5,51.90631,-2.1266,2,"-2.1266, 51.90631"
80071,5,51.73642,-1.97718,2,"-1.97718, 51.73642"
80076,5,51.73459,-1.97881,3,"-1.97881, 51.73459"
82720,5,51.94479,-2.13343,4,"-2.13343, 51.94479"
83125,5,51.87795,-2.10412,2,"-2.10412, 51.87795"
83800,5,51.79733,-1.90863,3,"-1.90863, 51.79733"
83802,5,51.79729,-1.90866,2,"-1.90866, 51.79729"
84140,5,51.89263,-2.08777,4,"-2.08777, 51.89263"
84144,5,51.89254,-2.08805,4,"-2.08805, 51.89254"
84172,5,52.01856,-2.2344,4,"-2.2344, 52.01856"
84173,5,52.00035,-2.17706,7,"-2.17706, 52.00035"
84174,5,51.99236,-2.22753,8,"-2.22753, 51.99236"
84175,5,52.00804,-2.2284,5,"-2.2284, 52.00804"
84176,5,52.00593,-2.18152,4,"-2.18152, 52.00593"
84177,5,52.01177,-2.20584,5,"-2.20584, 52.01177"
84284,5,52.03223,-2.05431,2,"-2.05431, 52.03223"
84285,5,52.03414,-2.06319,2,"-2.06319, 52.03414"
84328,5,51.91154,-2.07887,2,"-2.07887, 51.91154"
84329,5,51.91091,-2.07949,2,"-2.07949, 51.91091"
85026,5,51.86369,-1.96088,2,"-1.96088, 51.86369"
85028,5,51.85729,-1.84508,3,"-1.84508, 51.85729"
85029,5,51.85225,-1.89223,3,"-1.89223, 51.85225"
85030,5,51.85226,-1.89242,3,"-1.89242, 51.85226"
85032,5,51.85421,-1.89508,2,"-1.89508, 51.85421"
