node,layer,lat,lon,degree,geometry
10464,5,50.79404,-0.63888,16,"-0.63888, 50.79404"
10974,5,50.84826,-0.90811,23,"-0.90811, 50.84826"
11742,5,50.83904,-0.81509,17,"-0.81509, 50.83904"
12852,5,50.8101,-0.54599,42,"-0.54599, 50.8101"
13162,5,50.81657,-0.48939,28,"-0.48939, 50.81657"
15113,5,50.81053,-0.50828,16,"-0.50828, 50.81053"
15393,5,50.8482,-0.54617,20,"-0.54617, 50.8482"
20151,5,50.78655,-0.67618,43,"-0.67618, 50.78655"
21998,5,50.83089,-0.63968,29,"-0.63968, 50.83089"
22094,5,50.82956,-0.57862,19,"-0.57862, 50.82956"
23368,5,50.83204,-0.78175,50,"-0.78175, 50.83204"
28468,5,50.85313,-0.55232,13,"-0.55232, 50.85313"
34655,5,50.84273,-0.84744,22,"-0.84744, 50.84273"
42598,5,50.84606,-0.88295,15,"-0.88295, 50.84606"
50723,5,50.96392,-0.55911,4,"-0.55911, 50.96392"
51653,5,50.83706,-0.82642,2,"-0.82642, 50.83706"
51809,5,50.79379,-0.6519,3,"-0.6519, 50.79379"
51810,5,50.79357,-0.65204,4,"-0.65204, 50.79357"
51811,5,50.79668,-0.6513,3,"-0.6513, 50.79668"
51812,5,50.79527,-0.65164,2,"-0.65164, 50.79527"
51813,5,50.79776,-0.65411,2,"-0.65411, 50.79776"
51814,5,50.79804,-0.65237,2,"-0.65237, 50.79804"
51815,5,50.79481,-0.65355,2,"-0.65355, 50.79481"
51816,5,50.79632,-0.65416,2,"-0.65416, 50.79632"
51817,5,50.78324,-0.67335,2,"-0.67335, 50.78324"
51818,5,50.78356,-0.67287,4,"-0.67287, 50.78356"
52045,5,50.97661,-0.86455,2,"-0.86455, 50.97661"
52046,5,50.97653,-0.86481,3,"-0.86481, 50.97653"
52048,5,50.97025,-0.8628,3,"-0.8628, 50.97025"
52050,5,50.97878,-0.87394,3,"-0.87394, 50.97878"
52725,5,50.81926,-0.71556,2,"-0.71556, 50.81926"
52726,5,50.88513,-0.94898,5,"-0.94898, 50.88513"
52727,5,50.82019,-0.76874,4,"-0.76874, 50.82019"
52728,5,50.81868,-0.7685,6,"-0.7685, 50.81868"
52729,5,50.8442,-0.74827,3,"-0.74827, 50.8442"
52730,5,50.84398,-0.74782,3,"-0.74782, 50.84398"
52814,5,50.79749,-0.69047,5,"-0.69047, 50.79749"
52815,5,50.79741,-0.69066,5,"-0.69066, 50.79741"
52822,5,50.79344,-0.67793,4,"-0.67793, 50.79344"
52823,5,50.79479,-0.68201,2,"-0.68201, 50.79479"
52824,5,50.79455,-0.68133,2,"-0.68133, 50.79455"
52826,5,50.79527,-0.68541,2,"-0.68541, 50.79527"
52827,5,50.7961,-0.68774,4,"-0.68774, 50.7961"
53567,5,50.93047,-0.75698,3,"-0.75698, 50.93047"
53568,5,50.92082,-0.75659,2,"-0.75659, 50.92082"
54821,5,50.98399,-0.8636,4,"-0.8636, 50.98399"
54823,5,50.98401,-0.86387,4,"-0.86387, 50.98401"
54824,5,50.97029,-0.8629,5,"-0.8629, 50.97029"
54825,5,50.97875,-0.87384,2,"-0.87384, 50.97875"
54830,5,50.98186,-0.86903,2,"-0.86903, 50.98186"
54833,5,50.98193,-0.86929,2,"-0.86929, 50.98193"
55371,5,50.77086,-0.7449,2,"-0.7449, 50.77086"
55373,5,50.77079,-0.74432,2,"-0.74432, 50.77079"
55375,5,50.77588,-0.73924,2,"-0.73924, 50.77588"
55474,5,50.79061,-0.68458,2,"-0.68458, 50.79061"
55539,5,50.78187,-0.71887,2,"-0.71887, 50.78187"
55566,5,50.77857,-0.72059,3,"-0.72059, 50.77857"
55988,5,50.84151,-0.7722,6,"-0.7722, 50.84151"
55989,5,50.84608,-0.76383,2,"-0.76383, 50.84608"
55990,5,50.842,-0.78759,2,"-0.78759, 50.842"
55991,5,50.84134,-0.78704,2,"-0.78704, 50.84134"
55992,5,50.84184,-0.7814,5,"-0.7814, 50.84184"
55993,5,50.84143,-0.78117,6,"-0.78117, 50.84143"
55994,5,50.84159,-0.7725,11,"-0.7725, 50.84159"
56888,5,50.99822,-0.7208,3,"-0.7208, 50.99822"
56889,5,50.98275,-0.74519,5,"-0.74519, 50.98275"
56890,5,50.98496,-0.74224,10,"-0.74224, 50.98496"
56891,5,50.98294,-0.74332,2,"-0.74332, 50.98294"
56892,5,51.00128,-0.7146,2,"-0.7146, 51.00128"
56893,5,51.00044,-0.71611,3,"-0.71611, 51.00044"
56894,5,51.00032,-0.71602,2,"-0.71602, 51.00032"
57431,5,50.80246,-0.52202,2,"-0.52202, 50.80246"
57433,5,50.80253,-0.52563,2,"-0.52563, 50.80253"
57513,5,50.76717,-0.78802,2,"-0.78802, 50.76717"
58784,5,50.86714,-0.92653,8,"-0.92653, 50.86714"
58785,5,50.75853,-0.78624,2,"-0.78624, 50.75853"
59110,5,50.79613,-0.67375,3,"-0.67375, 50.79613"
59111,5,50.78495,-0.68352,3,"-0.68352, 50.78495"
59112,5,50.7982,-0.67816,3,"-0.67816, 50.7982"
59113,5,50.79727,-0.68541,2,"-0.68541, 50.79727"
59472,5,50.79599,-0.68776,4,"-0.68776, 50.79599"
59506,5,50.96107,-0.66037,4,"-0.66037, 50.96107"
59793,5,50.85242,-0.56474,2,"-0.56474, 50.85242"
61021,5,50.87048,-0.7002,2,"-0.7002, 50.87048"
61787,5,50.98307,-0.81697,3,"-0.81697, 50.98307"
61790,5,50.98064,-0.86475,2,"-0.86475, 50.98064"
62375,5,50.84603,-0.74117,2,"-0.74117, 50.84603"
62380,5,50.84595,-0.74067,2,"-0.74067, 50.84595"
62404,5,50.82392,-0.73213,3,"-0.73213, 50.82392"
62405,5,50.82306,-0.73036,4,"-0.73036, 50.82306"
62407,5,50.86489,-0.92549,7,"-0.92549, 50.86489"
62409,5,50.86837,-0.92426,4,"-0.92426, 50.86837"
62410,5,50.86139,-0.92652,9,"-0.92652, 50.86139"
62506,5,50.81074,-0.70532,2,"-0.70532, 50.81074"
62507,5,50.78291,-0.67715,3,"-0.67715, 50.78291"
62511,5,50.80119,-0.69505,3,"-0.69505, 50.80119"
62512,5,50.80318,-0.69879,2,"-0.69879, 50.80318"
62513,5,50.80022,-0.69306,3,"-0.69306, 50.80022"
62514,5,50.80111,-0.69517,3,"-0.69517, 50.80111"
62515,5,50.80722,-0.70189,2,"-0.70189, 50.80722"
62516,5,50.81068,-0.70552,2,"-0.70552, 50.81068"
62517,5,50.80336,-0.69877,2,"-0.69877, 50.80336"
62518,5,50.8069,-0.70134,2,"-0.70134, 50.8069"
63256,5,51.03604,-0.77312,2,"-0.77312, 51.03604"
63258,5,51.0318,-0.77344,3,"-0.77344, 51.0318"
63259,5,51.03605,-0.7732,4,"-0.7732, 51.03605"
63660,5,50.98733,-0.74568,3,"-0.74568, 50.98733"
63950,5,50.84538,-0.91645,2,"-0.91645, 50.84538"
63953,5,50.84556,-0.91664,2,"-0.91664, 50.84556"
63954,5,50.84639,-0.92604,2,"-0.92604, 50.84639"
63958,5,50.82418,-0.92888,2,"-0.92888, 50.82418"
63959,5,50.84651,-0.93218,5,"-0.93218, 50.84651"
64488,5,50.9154,-0.75389,3,"-0.75389, 50.9154"
64492,5,50.92078,-0.75673,2,"-0.75673, 50.92078"
64998,5,50.73545,-0.78191,4,"-0.78191, 50.73545"
65000,5,50.78134,-0.68525,4,"-0.68525, 50.78134"
65467,5,50.81665,-0.4752,2,"-0.4752, 50.81665"
65468,5,50.81736,-0.47315,2,"-0.47315, 50.81736"
65469,5,50.81737,-0.47111,2,"-0.47111, 50.81737"
65470,5,50.81753,-0.47099,2,"-0.47099, 50.81753"
65471,5,50.8151,-0.48594,2,"-0.48594, 50.8151"
65472,5,50.8152,-0.486,2,"-0.486, 50.8152"
65561,5,50.84145,-0.76286,9,"-0.76286, 50.84145"
65562,5,50.84135,-0.76268,6,"-0.76268, 50.84135"
65563,5,50.83508,-0.76594,3,"-0.76594, 50.83508"
65564,5,50.84356,-0.75767,21,"-0.75767, 50.84356"
65565,5,50.83267,-0.75982,2,"-0.75982, 50.83267"
65566,5,50.84612,-0.75644,7,"-0.75644, 50.84612"
65567,5,50.84538,-0.75703,7,"-0.75703, 50.84538"
65568,5,50.83341,-0.76543,2,"-0.76543, 50.83341"
65569,5,50.83377,-0.76565,2,"-0.76565, 50.83377"
66504,5,50.98385,-0.74037,4,"-0.74037, 50.98385"
66505,5,50.98751,-0.73868,12,"-0.73868, 50.98751"
66506,5,50.98511,-0.7379,4,"-0.7379, 50.98511"
67033,5,50.82866,-0.54456,2,"-0.54456, 50.82866"
67034,5,50.82386,-0.54281,3,"-0.54281, 50.82386"
67038,5,50.81683,-0.55312,2,"-0.55312, 50.81683"
67059,5,50.98826,-0.63048,2,"-0.63048, 50.98826"
67103,5,50.76347,-0.78793,2,"-0.78793, 50.76347"
67104,5,50.7668,-0.78834,2,"-0.78834, 50.7668"
67105,5,50.75677,-0.78324,2,"-0.78324, 50.75677"
67106,5,50.76269,-0.78748,2,"-0.78748, 50.76269"
67107,5,50.75113,-0.78203,2,"-0.78203, 50.75113"
67108,5,50.75142,-0.78217,2,"-0.78217, 50.75142"
67109,5,50.74456,-0.77973,2,"-0.77973, 50.74456"
67110,5,50.74477,-0.77924,2,"-0.77924, 50.74477"
68637,5,50.83583,-0.79587,11,"-0.79587, 50.83583"
68640,5,50.83845,-0.79305,2,"-0.79305, 50.83845"
68643,5,50.84385,-0.81267,2,"-0.81267, 50.84385"
68645,5,50.84362,-0.81252,2,"-0.81252, 50.84362"
68648,5,50.84171,-0.79323,2,"-0.79323, 50.84171"
68649,5,50.8414,-0.79397,2,"-0.79397, 50.8414"
70399,5,50.85397,-0.57184,2,"-0.57184, 50.85397"
70401,5,50.85239,-0.56853,5,"-0.56853, 50.85239"
70402,5,50.85351,-0.57226,4,"-0.57226, 50.85351"
70403,5,50.85192,-0.56248,3,"-0.56248, 50.85192"
70404,5,50.85183,-0.56234,2,"-0.56234, 50.85183"
70405,5,50.84961,-0.56779,2,"-0.56779, 50.84961"
70406,5,50.84924,-0.56769,2,"-0.56769, 50.84924"
71286,5,50.98727,-0.74578,2,"-0.74578, 50.98727"
71291,5,50.98751,-0.81968,3,"-0.81968, 50.98751"
71293,5,50.99209,-0.77955,3,"-0.77955, 50.99209"
71923,5,50.86162,-0.9245,6,"-0.9245, 50.86162"
71924,5,50.86179,-0.92503,5,"-0.92503, 50.86179"
71925,5,50.85837,-0.92335,3,"-0.92335, 50.85837"
71926,5,50.85911,-0.92439,3,"-0.92439, 50.85911"
71927,5,50.85907,-0.92419,3,"-0.92419, 50.85907"
71928,5,50.83396,-0.77577,7,"-0.77577, 50.83396"
71929,5,50.83588,-0.77378,4,"-0.77378, 50.83588"
73415,5,50.82082,-0.92874,2,"-0.92874, 50.82082"
73416,5,50.82088,-0.92893,2,"-0.92893, 50.82088"
73419,5,50.83478,-0.85094,3,"-0.85094, 50.83478"
73420,5,50.83478,-0.85118,2,"-0.85118, 50.83478"
73421,5,50.83306,-0.85141,2,"-0.85141, 50.83306"
73422,5,50.83311,-0.85199,3,"-0.85199, 50.83311"
73506,5,51.02701,-0.59378,2,"-0.59378, 51.02701"
74098,5,50.87527,-0.59877,2,"-0.59877, 50.87527"
74099,5,50.8726,-0.60613,2,"-0.60613, 50.8726"
74541,5,50.76769,-0.86782,6,"-0.86782, 50.76769"
74548,5,50.76918,-0.87337,5,"-0.87337, 50.76918"
74551,5,50.76919,-0.87287,4,"-0.87287, 50.76919"
74885,5,50.81232,-0.48491,2,"-0.48491, 50.81232"
74886,5,50.81157,-0.48505,3,"-0.48505, 50.81157"
74887,5,50.81054,-0.4834,3,"-0.4834, 50.81054"
74888,5,50.81,-0.48209,2,"-0.48209, 50.81"
74889,5,50.81011,-0.4819,2,"-0.4819, 50.81011"
74890,5,50.81111,-0.52182,2,"-0.52182, 50.81111"
74891,5,50.81081,-0.52164,3,"-0.52164, 50.81081"
74892,5,50.81737,-0.51426,2,"-0.51426, 50.81737"
74893,5,50.816,-0.51471,2,"-0.51471, 50.816"
74894,5,50.81529,-0.51508,2,"-0.51508, 50.81529"
74972,5,50.83401,-0.7625,4,"-0.7625, 50.83401"
