ori_node,des_node,ori_layer,des_layer,minutes,km
10974,23368,2,2,7,9.04
10974,34655,2,2,4,4.297
10974,42598,2,2,2,1.78
11742,23368,2,2,3,2.463
11742,34655,2,2,3,2.304
11742,42598,2,2,5,4.821
12852,13162,2,2,8,4.035
12852,21998,2,2,7,6.965
12852,22094,2,2,4,3.147
13162,12852,2,2,8,4.035
13162,21998,2,2,9,10.66
13162,22094,2,2,6,6.422
15393,12852,2,2,7,4.23
15393,21998,2,2,8,6.832
15393,22094,2,2,5,3.075
20151,21998,2,2,6,5.549
21998,12852,2,2,8,6.965
21998,13162,2,2,9,10.66
21998,15393,2,2,7,6.832
21998,20151,2,2,6,5.549
21998,22094,2,2,4,4.284
21998,23368,2,2,7,9.963
22094,12852,2,2,4,3.147
22094,13162,2,2,6,6.422
22094,15393,2,2,4,3.075
22094,21998,2,2,4,4.284
23368,10974,2,2,7,9.04
23368,11742,2,2,3,2.463
23368,21998,2,2,7,9.963
23368,34655,2,2,4,4.756
34655,10974,2,2,4,4.297
34655,11742,2,2,3,2.304
34655,23368,2,2,5,4.756
34655,42598,2,2,3,2.516
42598,10974,2,2,2,1.78
42598,23368,2,2,6,7.264
42598,34655,2,2,3,2.516
