ori_node,des_node,ori_layer,des_layer,minutes,km
3897,3898,5,5,1,0.349
3897,23492,5,5,1,0.307
3897,164556,5,5,2,1.32
3897,251636,5,5,1,0.248
3898,3897,5,5,1,0.349
3898,22973,5,5,1,0.382
3898,251636,5,5,2,0.551
3901,3902,5,5,1,0.175
3901,3904,5,5,1,0.283
3902,3901,5,5,1,0.175
3902,3904,5,5,1,0.448
3902,29860,5,5,1,0.344
3903,23494,5,5,1,0.262
3903,36352,5,5,1,0.289
3903,64083,5,5,3,0.843
3904,3901,5,5,1,0.283
3904,15008,5,5,1,0.253
3906,15634,5,5,1,0.722
3906,15819,5,5,1,0.281
3906,23494,5,5,1,0.434
4282,15820,5,5,1,0.198
4282,15821,5,5,1,0.257
4561,9820,5,5,1,0.262
4561,9823,5,5,1,0.892
5450,11190,5,5,1,0.354
5450,52790,5,5,1,0.369
5451,19713,5,5,1,0.632
6750,6751,5,5,4,2.751
6750,20759,5,5,1,0.212
6750,21734,5,5,1,0.468
6751,6750,5,5,4,2.751
6751,46443,5,5,1,0.48
6753,20763,5,5,3,2.516
6753,20764,5,5,3,4.332
7232,17777,5,5,1,0.559
7233,7234,5,5,1,0.399
7233,7235,5,5,3,0.756
7233,26397,5,5,1,0.237
7233,26400,5,5,1,0.454
7233,32797,5,5,1,0.261
7233,39774,5,5,1,0.2
7233,184110,5,5,2,0.95
7234,7235,5,5,2,0.41
7234,131596,5,5,1,0.271
7235,7236,5,5,1,0.194
7235,40542,5,5,1,0.123
7236,7235,5,5,1,0.194
7236,7237,5,5,1,0.379
7237,7236,5,5,1,0.379
7237,17777,5,5,1,0.676
7280,7280,5,5,1,0
7280,21592,5,5,1,0.373
7280,25912,5,5,1,0.237
7280,39929,5,5,1,0.91
7280,48792,5,5,1,0.573
8865,13178,5,5,1,0.263
8865,13181,5,5,1,0.197
8867,8868,5,5,1,0.184
8867,13177,5,5,1,0.224
8868,8867,5,5,1,0.184
8868,13179,5,5,1,0.325
8869,20133,5,5,1,0.213
8869,25914,5,5,1,0.275
8870,25914,5,5,1,0.222
8870,28083,5,5,1,0.478
8870,29861,5,5,1,0.305
8870,66233,5,5,1,0.21
8870,201015,5,5,2,0.439
8871,8872,5,5,1,0.245
8871,28088,5,5,1,0.168
8872,8871,5,5,1,0.245
8872,28086,5,5,1,0.369
9192,3897,5,5,3,1.9
9192,9192,5,5,1,0
9192,13174,5,5,2,1.225
9192,15634,5,5,1,0.654
9192,28080,5,5,1,0.802
9192,34788,5,5,1,0.54
9192,41961,5,5,1,0.571
9192,41962,5,5,1,0.766
9192,95359,5,5,1,0.718
9192,104130,5,5,1,0.411
9192,133066,5,5,4,1.275
9192,164556,5,5,1,0.587
9192,235724,5,5,2,0.619
9192,259943,5,5,1,0.399
9815,9816,5,5,1,0.254
9815,9818,5,5,1,0.398
9816,9815,5,5,1,0.254
9816,9821,5,5,1,0.292
9817,9818,5,5,1,0.415
9817,29866,5,5,1,0.39
9818,9815,5,5,1,0.398
9818,9817,5,5,1,0.415
9820,4561,5,5,1,0.262
9820,9820,5,5,1,0
9820,26632,5,5,1,0.632
9820,34013,5,5,3,1.785
9821,9816,5,5,1,0.292
9821,26632,5,5,1,0.899
9823,4561,5,5,1,0.892
9823,15009,5,5,1,0.613
11188,11189,5,5,1,0.566
11188,11191,5,5,1,0.521
11189,11188,5,5,1,0.566
11189,11194,5,5,1,0.29
11190,5450,5,5,1,0.354
11190,11191,5,5,1,0.23
11190,15821,5,5,7,3.904
11190,44783,5,5,1,0.102
11191,11188,5,5,1,0.521
11191,11190,5,5,1,0.23
11192,11193,5,5,1,0.448
11192,11195,5,5,1,0.361
11193,11192,5,5,1,0.448
11193,11198,5,5,1,0.338
11194,11189,5,5,1,0.29
11194,11195,5,5,1,0.238
11195,11192,5,5,1,0.361
11195,11194,5,5,1,0.238
11198,11193,5,5,1,0.338
11198,11199,5,5,1,0.267
11199,11198,5,5,1,0.267
11199,80595,5,5,1,0.288
11294,13177,5,5,1,0.12
11294,13180,5,5,1,0.365
11294,29861,5,5,1,0.131
11294,39690,5,5,1,0.55
11922,29860,5,5,1,0.106
11922,36352,5,5,1,0.203
