node,layer,lat,lon,degree,geometry
9192,4,51.79401,1.15411,48,"1.15411, 51.79401"
13176,4,51.80383,1.15642,14,"1.15642, 51.80383"
16926,4,51.82744,1.20869,12,"1.20869, 51.82744"
18771,4,51.81432,1.07477,12,"1.07477, 51.81432"
18773,4,51.80118,1.07807,12,"1.07807, 51.80118"
32368,4,51.78187,1.12022,13,"1.12022, 51.78187"
32372,4,51.79842,1.11858,12,"1.11858, 51.79842"
34995,4,51.80616,1.1931,14,"1.1931, 51.80616"
37337,4,51.84141,1.21501,33,"1.21501, 51.84141"
37714,4,51.83769,1.24319,37,"1.24319, 51.83769"
39564,4,51.84618,1.26769,29,"1.26769, 51.84618"
49367,4,51.84228,1.25551,12,"1.25551, 51.84228"
