ori_node,des_node,ori_layer,des_layer,minutes,km
1,1,5,5,1,0
1,18768,5,5,1,0.606
1,37933,5,5,1,1.217
1151,3361,5,5,8,2.088
1151,44582,5,5,5,1.397
1152,34911,5,5,5,2.225
1152,34912,5,5,4,2.125
1153,33490,5,5,4,1.252
1395,1397,5,5,1,0.419
1395,33780,5,5,1,0.232
1396,4934,5,5,1,0.775
1396,6567,5,5,2,2.511
1397,1395,5,5,1,0.419
1397,4934,5,5,1,0.343
1398,1404,5,5,1,0.287
1398,8310,5,5,1,0.299
1398,20424,5,5,1,0.412
1400,1401,5,5,1,0.224
1400,8310,5,5,1,0.278
1401,1400,5,5,1,0.224
1401,6573,5,5,2,0.251
1402,6573,5,5,1,0.374
1402,20428,5,5,1,0.791
1402,41303,5,5,2,0.829
1403,1402,5,5,1,0.304
1403,1404,5,5,1,0.415
1403,6573,5,5,1,0.106
1403,20424,5,5,1,0.262
1404,1398,5,5,1,0.287
1404,1403,5,5,1,0.415
1404,20424,5,5,2,0.278
1404,24032,5,5,1,0.245
1458,14632,5,5,2,0.723
1458,43020,5,5,3,1.829
1657,21594,5,5,1,0.083
1657,48003,5,5,1,0.309
1658,24092,5,5,1,0.274
1658,48003,5,5,1,0.339
1659,1660,5,5,1,0.481
1659,45044,5,5,2,1.435
1660,1659,5,5,1,0.481
2417,2418,5,5,1,0.275
2417,46843,5,5,1,0.266
2418,2417,5,5,1,0.275
2418,2428,5,5,1,0.263
2419,2420,5,5,2,0.636
2419,13882,5,5,9,2.277
2419,41284,5,5,1,0.433
2419,159550,5,5,1,0.438
2420,41285,5,5,2,0.853
2420,46843,5,5,1,0.33
2421,2424,5,5,1,0.232
2421,26275,5,5,1,0.209
2422,40591,5,5,1,0.115
2422,46306,5,5,1,0.766
2423,2424,5,5,1,0.244
2423,46305,5,5,1,0.355
2424,2421,5,5,1,0.232
2424,2423,5,5,1,0.244
2428,2418,5,5,1,0.263
2428,2429,5,5,1,0.222
2429,2428,5,5,1,0.222
2429,40584,5,5,1,0.251
2429,40585,5,5,1,0.263
2429,176096,5,5,1,0.173
2487,2488,5,5,3,0.67
2487,15073,5,5,1,0.242
2488,2487,5,5,1,0.67
2488,34021,5,5,1,0.23
2488,163313,5,5,1,0.282
2489,33490,5,5,1,1.099
2489,33491,5,5,1,0.802
2490,2491,5,5,2,0.807
2490,3361,5,5,2,1.091
2491,2490,5,5,3,0.807
2491,2492,5,5,1,1.444
2492,2491,5,5,2,1.444
2492,21617,5,5,1,0.34
3292,34841,5,5,1,0.241
3292,242088,5,5,1,0.316
3297,34836,5,5,1,0.221
3297,137665,5,5,1,0.215
3361,1151,5,5,9,2.088
3361,2490,5,5,2,1.091
3361,3361,5,5,1,0
3361,34607,5,5,5,3.316
3361,34907,5,5,3,1.031
3494,15749,5,5,1,0.215
3494,34908,5,5,1,0.364
4256,12956,5,5,1,0.922
4256,26394,5,5,1,0.56
4256,37363,5,5,1,0.494
4662,32191,5,5,2,1.239
4662,43585,5,5,1,0.346
4662,43587,5,5,1,0.411
4872,4873,5,5,1,0.246
4872,4875,5,5,1,0.274
4872,4877,5,5,1,0.213
4872,24038,5,5,1,0.225
4873,4872,5,5,1,0.246
4873,4878,5,5,1,0.15
4874,4875,5,5,1,0.202
4874,10629,5,5,1,0.203
4874,24029,5,5,1,0.466
4875,4872,5,5,1,0.274
4875,4874,5,5,1,0.202
4876,4876,5,5,1,0
4876,4878,5,5,1,0.309
4876,24033,5,5,1,0.105
4877,4872,5,5,1,0.213
4877,154193,5,5,1,0.126
4878,4873,5,5,1,0.15
4878,4876,5,5,1,0.309
4879,4877,5,5,1,0.18
4879,24033,5,5,1,0.158
4903,4903,5,5,1,0
4903,18793,5,5,3,1.326
4903,18797,5,5,10,5.446
4903,34903,5,5,1,0.647
4903,34912,5,5,3,2.774
4903,42417,5,5,3,2.929
4933,19355,5,5,4,2.948
4933,44577,5,5,1,0.894
4934,1396,5,5,1,0.775
4934,1397,5,5,1,0.343
4934,4934,5,5,1,0
4934,41299,5,5,1,0.398
5453,5454,5,5,1,0.34
5453,5459,5,5,1,0.427
5453,5460,5,5,1,0.342
5454,5453,5,5,1,0.34
5454,5455,5,5,1,0.147
5454,5460,5,5,1,0.64
5455,5454,5,5,1,0.147
5455,5456,5,5,1,0.339
5456,5455,5,5,1,0.339
5456,24575,5,5,1,0.214
5457,5458,5,5,1,0.314
5457,24586,5,5,1,0.249
5458,5457,5,5,1,0.314
5458,5459,5,5,1,0.217
5459,5453,5,5,1,0.427
5459,5458,5,5,1,0.217
5459,5460,5,5,1,0.382
5460,5453,5,5,1,0.342
5460,5459,5,5,1,0.382
6567,1396,5,5,3,2.511
6567,47710,5,5,2,6.494
6567,150134,5,5,1,3.214
6573,1401,5,5,1,0.251
6573,1402,5,5,1,0.374
6573,1403,5,5,1,0.106
6749,8083,5,5,2,1.607
6749,21223,5,5,1,1.334
6749,32316,5,5,2,0.858
6752,32242,5,5,1,0.989
6752,32246,5,5,7,3.713
6752,32247,5,5,1,0.301
6752,36755,5,5,4,2.029
7307,12006,5,5,1,0.108
7307,34055,5,5,1,0.186
7431,29902,5,5,1,0.328
7431,35584,5,5,1,0.151
7851,88188,5,5,1,0.163
8081,13877,5,5,1,0.234
8081,46309,5,5,1,0.257
8081,48827,5,5,1,0.212
8081,48832,5,5,1,0.394
8082,21635,5,5,1,0.582
8082,39267,5,5,1,0.381
8082,216028,5,5,1,0.235
8083,6749,5,5,2,1.607
8083,21223,5,5,1,0.279
8083,21560,5,5,1,0.311
8084,27264,5,5,1,0.411
8084,27267,5,5,2,0.335
8084,39267,5,5,1,0.231
8085,8086,5,5,1,0.268
8085,8088,5,5,1,0.301
8085,27269,5,5,1,0.189
8085,253303,5,5,1,0.123
8086,8085,5,5,1,0.268
8086,27275,5,5,1,0.336
8087,8088,5,5,1,0.272
8087,27275,5,5,1,0.352
8088,8085,5,5,1,0.301
8088,8087,5,5,1,0.272
8228,8233,5,5,1,0.222
8228,50138,5,5,1,0.607
8229,18796,5,5,1,0.151
8229,36864,5,5,2,0.873
8230,8238,5,5,1,0.815
8230,50138,5,5,1,1.207
8231,8232,5,5,1,0.296
8231,8234,5,5,1,0.138
8232,8231,5,5,1,0.296
8232,8234,5,5,1,0.434
8232,33206,5,5,1,0.49
8233,8228,5,5,1,0.222
8233,8234,5,5,1,0.338
8234,8231,5,5,1,0.138
8234,8233,5,5,1,0.338
8238,8230,5,5,1,0.815
8238,8238,5,5,1,0
8238,29940,5,5,2,0.876
8238,41293,5,5,2,0.789
8238,46447,5,5,1,0.336
8239,18796,5,5,2,1.466
8239,34904,5,5,2,0.893
8310,1398,5,5,1,0.299
8310,1400,5,5,1,0.278
8310,6573,5,5,3,0.352
8376,36842,5,5,2,1.793
8376,47710,5,5,1,0.811
8840,8841,5,5,1,0.223
8840,41288,5,5,1,0.339
8841,8840,5,5,1,0.223
8841,8842,5,5,1,0.282
8842,8841,5,5,1,0.282
8842,8843,5,5,1,0.173
8843,8842,5,5,1,0.173
8844,8845,5,5,2,0.272
8844,29898,5,5,1,0.254
8845,8844,5,5,1,0.272
8845,31014,5,5,2,0.457
8846,27264,5,5,1,0.177
8846,31014,5,5,2,0.469
8847,8848,5,5,1,0.347
8847,26486,5,5,1,0.215
8848,8847,5,5,1,0.347
8848,29904,5,5,1,0.194
8849,27266,5,5,1,0.222
8849,29901,5,5,1,0.098
8863,8864,5,5,1,0.198
8863,8866,5,5,1,0.321
8864,8863,5,5,1,0.198
8864,41297,5,5,1,0.284
8866,8863,5,5,1,0.321
8866,41300,5,5,1,0.367
8866,110196,5,5,1,0.159
9169,9169,5,5,1,0
9169,21603,5,5,1,0.72
9169,51315,5,5,1,1.101
9169,51322,5,5,2,1.361
9169,110589,5,5,1,0.945
